commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Federal_nondefense_Gross_investment_in_equipment,F07N_Federal_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,1984,149,0,0,0,0,75,17891,16,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,21,30,92,21,0,0,0,0,0,77,1,63,28,0,83,6,1009,6,16358,0,0,0,0,205,0,-38792,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,223,22230,-22230
113FF_Forestry_fishing_and_related_activities,86,143,0,1,0,0,0,6789,0,31,86,31,33,7,498,1660,1,0,0,0,0,0,0,0,30,167,0,766,4,0,0,0,0,0,37,1,1,73,0,164,470,3406,178,2704,0,0,0,0,44,0,-17997,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,574,15248,-15248
211_Oil_and_gas_extraction,0,0,12396,2,0,5439,0,0,0,0,0,0,0,253556,2426,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,1,4,1,0,7,1,2,5,2,0,0,0,0,0,114,0,-277002,0,0,0,0,0,0,0,0,0,0,0,0,195,0,2839,0,276888,-276888
212_Mining_except_oil_and_gas,83,0,3,231,3,296,367,241,2,0,0,63,0,47,1525,2,535,1574,67,31,2,41,24,20,0,97,4,1,2,0,5,0,0,0,81,1,6,3,3,10,1,8,9,63,239,0,0,0,74,0,-6648,0,0,0,0,0,0,0,0,0,0,0,0,0,29,148,706,6273,-6273
213_Support_activities_for_mining,0,0,171,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,996,0,0,-1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,-219
22_Utilities,16,1,22,22,1,126,27,39,7,0,9,24,7,22,66,27,15,39,22,11,6,4,13,6,3,5,119,226,25,129,40,30,418,5,35,62,16,23,87,19,43,127,24,983,0,0,0,0,0,0,-2992,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,25,2009,-2009
23_Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,736,3,0,0,0,0,0,16616,0,48,0,343,6,52,1667,43,59,0,0,0,0,0,0,0,0,0,97,310,145,0,37,0,0,0,184,1,0,690,1493,544,842,5984,254,48790,0,0,0,0,479,0,-84259,0,0,0,0,0,0,0,0,0,0,0,0,98,296,0,4441,34990,-34990
313TT_Textile_mills_and_textile_product_mills,53,45,0,4,0,0,327,108,1920,458,175,631,78,16,0,1354,146,0,0,92,0,0,639,232,1711,146,1060,3018,30,3,80,0,3,41,103,1,144,6,2998,64,1463,178,927,10195,203,0,128,0,432,0,-30865,0,0,0,0,0,29,0,0,0,1,0,0,0,318,8,1296,19876,-19876
315AL_Apparel_and_leather_and_allied_products,30,0,0,0,0,0,0,9,627,1411,0,0,1411,0,0,1,1,0,0,0,0,0,1735,0,0,42,239,670,0,0,1671,0,0,37,9,10,140,83,1414,77,19,165,1237,131474,0,0,0,0,1755,0,-147556,0,0,0,0,0,0,0,0,0,0,0,0,5,150,0,3134,14327,-14327
321_Wood_products,12,0,0,6,28,0,5017,37,27,0,4349,862,1,0,23,341,8,1,56,292,4,0,554,27,1704,278,193,94,160,38,306,26,331,65,98,0,64,7,133,27,141,170,82,1511,0,0,2,0,140,0,-17828,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,592,16174,-16174
322_Paper_products,155,0,9,32,15,3,320,2917,41,1,25,9029,1232,24,561,519,71,56,84,164,22,71,141,30,36,134,1011,448,536,34,419,136,83,72,331,47,348,22,693,16,342,241,114,1982,0,0,0,0,137,0,-23936,0,0,0,0,0,0,0,0,0,0,0,0,3,91,1,1139,21818,-21818
323_Printing_and_related_support_activities,0,0,0,0,0,0,15,2,0,0,0,0,44,0,48,0,0,0,0,0,0,0,0,0,0,0,128,72,7,2,198,166,19,6,80,15,456,10,110,13,284,39,43,324,0,0,0,0,20,0,-2449,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,274,2105,-2105
324_Petroleum_and_coal_products,3020,153,893,1095,441,14702,2272,208,33,1,128,734,222,2573,4583,129,82,105,228,208,24,129,46,30,11,14,640,414,21598,51,83,480,236,160,196,298,551,127,961,109,202,463,421,9698,0,0,0,0,989,0,-93300,0,0,0,0,0,0,0,0,0,0,0,0,304,5132,3309,14814,82614,-82614
325_Chemical_products,5412,1001,1575,868,509,102,1531,1507,2512,43,489,2600,145,801,48408,14952,981,379,1281,579,422,460,1144,143,139,1458,482,69,142,143,310,36,2956,17,1735,279,1342,92,7797,56,10,119,653,77712,2237,0,0,0,1332,0,-192696,0,0,0,0,0,0,0,0,0,0,0,0,10,816,258,4653,111415,-111415
326_Plastics_and_rubber_products,349,16,18,579,608,9,4068,1775,52,13,157,373,230,31,2159,2586,149,178,509,1948,148,254,5834,386,440,875,1554,640,398,227,671,56,288,487,872,28,250,149,1479,28,18,243,559,14231,25,0,0,0,554,0,-49336,0,0,0,0,0,4,0,0,0,0,0,0,14,393,71,2353,34522,-34522
327_Nonmetallic_mineral_products,0,0,118,12,91,1,4478,1159,54,0,151,17,1,127,454,484,1922,443,468,810,83,416,1484,170,115,199,19,303,30,105,1080,62,2,102,551,39,166,31,1645,32,19,487,139,5163,0,0,0,0,193,0,-24117,0,0,0,0,0,0,0,0,0,0,0,0,0,161,86,444,18761,-18761
331_Primary_metals,90,0,1369,166,247,0,1385,1074,29,0,103,89,8,8,25,364,239,32036,17526,7758,1610,5367,9016,2440,835,2307,517,479,175,0,203,0,848,43,471,13,366,69,171,120,9,14,184,167,0,0,0,0,975,0,-89114,0,0,0,0,0,0,0,0,0,0,0,0,0,88,90,19,87972,-87972
332_Fabricated_metal_products,730,58,2582,179,192,124,7956,1336,46,5,524,656,49,36,1787,875,168,316,4243,5152,411,707,6360,1865,433,576,396,746,614,116,4156,77,901,228,936,160,954,96,676,179,316,559,1103,6555,3905,0,0,0,730,0,-63953,0,181,0,0,0,56,0,0,0,51,0,0,20,1390,385,1104,52474,-52474
333_Machinery,2703,98,3480,1908,2319,499,7096,1974,16,0,188,550,634,42,1856,835,75,364,1306,15280,106,881,11263,1765,35,329,1227,445,2495,343,986,57,6,158,1531,173,3598,712,434,26,25,190,2621,3938,74093,0,0,0,1558,0,-155366,0,291,0,0,0,105,0,0,0,1819,0,0,10,200,644,2076,73562,-73562
334_Computer_and_electronic_products,3,0,22,24,286,36,1663,1358,253,24,367,129,631,127,2231,1132,414,850,2383,4432,15629,2142,13455,7237,424,1106,6084,2625,321,213,15589,1771,494,231,9315,4538,2960,383,2594,93,189,67,2890,74175,110522,0,295,0,2076,0,-318936,0,6673,0,0,0,5512,0,0,0,5160,0,0,1,5993,624,1193,114523,-114523
335_Electrical_equipment_appliances_and_components,1274,183,78,59,408,14,12318,620,37,3,308,287,81,45,541,676,76,748,1340,8555,1132,4669,2450,1871,64,678,159,579,97,87,3226,86,872,56,3048,24,1375,283,900,239,375,242,1509,20587,10485,0,2494,0,849,0,-90331,0,169,0,0,0,190,0,0,0,476,0,0,54,1315,1080,962,55081,-55081
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,496,52,237,345,234,20,853,1323,42,0,307,556,101,38,746,291,266,387,441,7072,223,205,62797,1658,159,313,2611,4674,1370,1353,880,34,0,715,1135,305,2552,150,886,32,51,210,5516,78326,94123,0,0,0,4054,0,-302693,0,6570,0,0,0,1322,0,0,0,11864,0,0,766,2049,215,1765,106433,-106433
3364OT_Other_transportation_equipment,0,2,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31923,0,0,3,6,800,0,0,0,0,0,0,0,2,0,1,0,0,0,45,5346,16672,0,0,0,391,0,-58460,0,227,0,0,0,377,0,0,0,139,0,0,0,2498,11,0,35307,-35307
337_Furniture_and_related_products,0,0,0,0,0,0,13,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,76,2283,0,330,914,0,0,0,0,918,0,206,1,0,0,186,296,0,0,46,18583,10145,0,116,0,430,0,-35462,0,0,0,0,0,2,0,0,0,224,0,0,88,0,24,0,5964,-5964
339_Miscellaneous_manufacturing,15,1,13,15,13,0,162,0,4,39,0,0,2,0,184,20,44,1,9,958,1,272,729,26,0,1681,338,593,93,109,118,54,84,41,736,8,615,198,7817,285,26,413,360,51158,9928,0,0,0,1238,0,-81016,0,14,0,0,0,16,0,0,0,81,0,0,0,131,3,2370,18582,-18582
42_Wholesale_trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441_Motor_vehicle_and_parts_dealers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445_Food_and_beverage_stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452_General_merchandise_stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481_Air_transportation,0,0,1,7,178,215,69,174,12,3,53,54,79,44,113,123,74,74,180,135,17,11,77,60,46,94,1059,36,90,6,948,2114,1385,196,1890,74,1160,141,837,48,57,285,177,30232,0,0,0,0,0,0,-43387,0,0,0,0,0,0,0,0,0,0,0,0,39,215,15,489,13155,-13155
482_Rail_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483_Water_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484_Truck_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485_Transit_and_ground_passenger_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486_Pipeline_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS_Other_transportation_and_support_activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,10,1,2,0,0,1,2,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,-60
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0_Other_retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511_Publishing_industries_except_internet_includes_software,3,0,2,0,0,14,34,0,0,0,0,0,4,0,4,1,0,0,4,3,1,0,1,8,1,3,113,54,14,8,177,98,18,20,297,125,76,37,161,4,7,5,46,2132,0,19,0,0,39,0,-4129,0,0,1,0,0,0,1,0,0,0,0,0,49,157,7,378,1937,-1937
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3848,0,0,106,0,0,0,150,131,5,78,61,2,1691,0,0,0,0,14,0,-6123,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,4417,-4417
513_Broadcasting_and_telecommunications,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,38,3,3,0,4,1,1,0,1,0,0,1,1,78,0,0,0,0,0,0,-170,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,18,91,-91
514_Data_processing_internet_publishing_and_other_information_services,0,0,0,0,0,10,5,3,0,0,1,1,1,0,2,2,2,1,4,4,0,1,1,3,1,2,14,48,5,1,78,71,3,94,162,42,107,50,41,9,6,23,54,221,0,11,0,0,0,0,-1211,0,0,1,0,0,0,1,0,0,0,1,0,1,54,15,53,977,-977
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3
523_Securities_commodity_contracts_and_investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,1,0,0,8,0,0,24,0,0,0,3,0,0,0,0,0,0,2,12,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-49
524_Insurance_carriers_and_related_activities,10,12,94,21,48,7,7,16,1,1,1,1,1,1,13,3,5,3,5,7,3,5,8,13,2,3,352,93,165,13,33,47760,620,57,145,1,78,10,871,28,21,45,33,1486,0,0,0,0,0,0,-52893,0,0,0,0,0,0,0,0,0,0,0,0,3,692,62,35,51407,-51407
525_Funds_trusts_and_other_financial_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5411_Legal_services,3,1,46,8,26,54,52,9,1,1,2,3,2,3,29,6,3,2,11,11,31,2,11,28,2,10,136,41,16,2,89,267,132,8,158,78,57,3,168,27,18,25,27,825,0,0,114,0,0,0,-2663,0,0,0,0,0,0,0,0,0,0,0,0,17,13,6,76,1725,-1725
5412OP_Miscellaneous_professional_scientific_and_technical_services,21,121,364,129,583,279,1762,513,38,16,101,118,123,156,832,207,101,134,245,285,448,66,305,533,82,255,5210,2827,426,141,4550,8019,2110,961,8900,2760,2122,392,6367,477,422,934,1324,295,1355,22574,40,0,0,0,-90286,0,0,2352,0,0,0,1491,0,0,0,38,0,172,2867,629,2718,62141,-62141
5415_Computer_systems_design_and_related_services,32,5,357,18,5,168,326,66,9,2,17,18,30,33,87,37,20,26,95,118,28,8,31,128,14,40,1106,584,172,28,1312,1548,128,62,1890,1384,667,122,1074,65,59,136,185,0,1570,8650,0,0,0,0,-28234,0,57,335,0,0,0,1056,0,0,22,231,0,56,2672,164,1179,16312,-16312
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561_Administrative_and_support_services,0,0,0,0,2,43,11,4,1,1,0,1,6,3,8,3,2,5,15,5,7,1,7,10,0,3,107,48,56,9,166,91,52,20,188,5,97,6,175,7,9,15,12,94,0,0,0,0,0,0,-1348,0,0,0,0,0,0,0,0,0,0,0,0,10,9,5,25,1254,-1254
562_Waste_management_and_remediation_services,0,0,7,0,1,2,4,2,0,0,0,1,0,1,3,1,0,1,1,1,0,0,0,0,0,0,2,4,1,1,0,2,14,2,3,1,30,0,12,1,1,3,1,0,0,0,0,0,0,0,-160,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,49,160,-160
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,697,0,0,0,0,0,0,-1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,646,-646
