commodity,total_output
111CA_Farms,35788
113FF_Forestry_fishing_and_related_activities,5802
211_Oil_and_gas_extraction,9330
212_Mining_except_oil_and_gas,7454
213_Support_activities_for_mining,2643
22_Utilities,25546
23_Construction,83706
311FT_Food_and_beverage_and_tobacco_products,82760
313TT_Textile_mills_and_textile_product_mills,19008
315AL_Apparel_and_leather_and_allied_products,22623
321_Wood_products,8356
322_Paper_products,16904
323_Printing_and_related_support_activities,5495
324_Petroleum_and_coal_products,17349
325_Chemical_products,33189
326_Plastics_and_rubber_products,9500
327_Nonmetallic_mineral_products,12081
331_Primary_metals,35602
332_Fabricated_metal_products,28944
333_Machinery,28485
334_Computer_and_electronic_products,21980
335_Electrical_equipment_appliances_and_components,14563
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,48139
3364OT_Other_transportation_equipment,18877
337_Furniture_and_related_products,6460
339_Miscellaneous_manufacturing,9612
42_Wholesale_trade,51422
44RT_Retail_trade,77919
481_Air_transportation,4794
482_Rail_transportation,11288
483_Water_transportation,3138
484_Truck_transportation,12448
485_Transit_and_ground_passenger_transportation,4622
486_Pipeline_transportation,1701
487OS_Other_transportation_and_support_activities,7339
493_Warehousing_and_storage,2090
511_Publishing_industries_except_internet_includes_software,5487
512_Motion_picture_and_sound_recording_industries,4451
513_Broadcasting_and_telecommunications,15572
514_Data_processing_internet_publishing_and_other_information_services,1466
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,20145
523_Securities_commodity_contracts_and_investments,3468
524_Insurance_carriers_and_related_activities,20499
525_Funds_trusts_and_other_financial_vehicles,2356
531_Real_estate,74900
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,8403
5411_Legal_services,7388
5412OP_Miscellaneous_professional_scientific_and_technical_services,41686
5415_Computer_systems_design_and_related_services,2330
55_Management_of_companies_and_enterprises,13574
561_Administrative_and_support_services,6858
562_Waste_management_and_remediation_services,3142
61_Educational_services,5974
621_Ambulatory_health_care_services,14136
622HO_Hospitals_and_nursing_and_residential_care_facilities,10972
624_Social_assistance,1246
711AS_Performing_arts_spectator_sports_museums_and_related_activities,3230
713_Amusements_gambling_and_recreation_industries,2924
721_Accommodation,4553
722_Food_services_and_drinking_places,26811
81_Other_services_except_government,37548
GFE_Federal_government_enterprises,4995
GFG_Federal_general_government,63138
GSLE_State_and_local_government_enterprises,1373
GSLG_State_and_local_general_government,45233
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,654
Used_Scrap_used_and_secondhand_goods,1194
