commodity,total_output
111CA_Farms,42464
113FF_Forestry_fishing_and_related_activities,6808
211_Oil_and_gas_extraction,10471
212_Mining_except_oil_and_gas,8448
213_Support_activities_for_mining,2685
22_Utilities,28689
23_Construction,95926
311FT_Food_and_beverage_and_tobacco_products,91479
313TT_Textile_mills_and_textile_product_mills,21721
315AL_Apparel_and_leather_and_allied_products,25148
321_Wood_products,9430
322_Paper_products,19899
323_Printing_and_related_support_activities,6497
324_Petroleum_and_coal_products,19292
325_Chemical_products,39852
326_Plastics_and_rubber_products,11812
327_Nonmetallic_mineral_products,13694
331_Primary_metals,43017
332_Fabricated_metal_products,37850
333_Machinery,37547
334_Computer_and_electronic_products,30762
335_Electrical_equipment_appliances_and_components,18594
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,58085
3364OT_Other_transportation_equipment,24380
337_Furniture_and_related_products,7657
339_Miscellaneous_manufacturing,11226
42_Wholesale_trade,66191
44RT_Retail_trade,88382
481_Air_transportation,6522
482_Rail_transportation,12389
483_Water_transportation,3834
484_Truck_transportation,14678
485_Transit_and_ground_passenger_transportation,5143
486_Pipeline_transportation,2044
487OS_Other_transportation_and_support_activities,8589
493_Warehousing_and_storage,2498
511_Publishing_industries_except_internet_includes_software,6998
512_Motion_picture_and_sound_recording_industries,5461
513_Broadcasting_and_telecommunications,18823
514_Data_processing_internet_publishing_and_other_information_services,1843
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,23778
523_Securities_commodity_contracts_and_investments,4584
524_Insurance_carriers_and_related_activities,24113
525_Funds_trusts_and_other_financial_vehicles,2819
531_Real_estate,87236
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,8898
5411_Legal_services,9049
5412OP_Miscellaneous_professional_scientific_and_technical_services,51226
5415_Computer_systems_design_and_related_services,3134
55_Management_of_companies_and_enterprises,16166
561_Administrative_and_support_services,8816
562_Waste_management_and_remediation_services,3678
61_Educational_services,7844
621_Ambulatory_health_care_services,16113
622HO_Hospitals_and_nursing_and_residential_care_facilities,13767
624_Social_assistance,1740
711AS_Performing_arts_spectator_sports_museums_and_related_activities,3717
713_Amusements_gambling_and_recreation_industries,3195
721_Accommodation,5886
722_Food_services_and_drinking_places,31607
81_Other_services_except_government,43773
GFE_Federal_government_enterprises,5555
GFG_Federal_general_government,76486
GSLE_State_and_local_government_enterprises,1609
GSLG_State_and_local_general_government,55391
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,768
Used_Scrap_used_and_secondhand_goods,1385
