commodity,total_output
111CA_Farms,89666
113FF_Forestry_fishing_and_related_activities,15753
211_Oil_and_gas_extraction,29393
212_Mining_except_oil_and_gas,26429
213_Support_activities_for_mining,8067
22_Utilities,72829
23_Construction,178893
311FT_Food_and_beverage_and_tobacco_products,185338
313TT_Textile_mills_and_textile_product_mills,33916
315AL_Apparel_and_leather_and_allied_products,35404
321_Wood_products,22496
322_Paper_products,40258
323_Printing_and_related_support_activities,13389
324_Petroleum_and_coal_products,65598
325_Chemical_products,88520
326_Plastics_and_rubber_products,27953
327_Nonmetallic_mineral_products,25605
331_Primary_metals,74182
332_Fabricated_metal_products,73673
333_Machinery,74900
334_Computer_and_electronic_products,49828
335_Electrical_equipment_appliances_and_components,30753
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,84692
3364OT_Other_transportation_equipment,45116
337_Furniture_and_related_products,12969
339_Miscellaneous_manufacturing,22062
42_Wholesale_trade,130133
44RT_Retail_trade,151559
481_Air_transportation,18517
482_Rail_transportation,18693
483_Water_transportation,8273
484_Truck_transportation,31099
485_Transit_and_ground_passenger_transportation,10257
486_Pipeline_transportation,5777
487OS_Other_transportation_and_support_activities,18500
493_Warehousing_and_storage,4882
511_Publishing_industries_except_internet_includes_software,13617
512_Motion_picture_and_sound_recording_industries,11548
513_Broadcasting_and_telecommunications,49074
514_Data_processing_internet_publishing_and_other_information_services,6334
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,65984
523_Securities_commodity_contracts_and_investments,7294
524_Insurance_carriers_and_related_activities,50027
525_Funds_trusts_and_other_financial_vehicles,7637
531_Real_estate,188605
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,25190
5411_Legal_services,21036
5412OP_Miscellaneous_professional_scientific_and_technical_services,103033
5415_Computer_systems_design_and_related_services,9858
55_Management_of_companies_and_enterprises,31553
561_Administrative_and_support_services,21274
562_Waste_management_and_remediation_services,7666
61_Educational_services,20373
621_Ambulatory_health_care_services,39909
622HO_Hospitals_and_nursing_and_residential_care_facilities,52116
624_Social_assistance,5804
711AS_Performing_arts_spectator_sports_museums_and_related_activities,8086
713_Amusements_gambling_and_recreation_industries,8010
721_Accommodation,12240
722_Food_services_and_drinking_places,72567
81_Other_services_except_government,76800
GFE_Federal_government_enterprises,11245
GFG_Federal_general_government,133876
GSLE_State_and_local_government_enterprises,4177
GSLG_State_and_local_general_government,162848
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,261
Used_Scrap_used_and_secondhand_goods,1902
