commodity,total_output
111CA_Farms,33617
113FF_Forestry_fishing_and_related_activities,3345
211_Oil_and_gas_extraction,5848
212_Mining_except_oil_and_gas,7158
213_Support_activities_for_mining,2823
22_Utilities,9178
23_Construction,43087
311FT_Food_and_beverage_and_tobacco_products,56808
313TT_Textile_mills_and_textile_product_mills,16511
315AL_Apparel_and_leather_and_allied_products,15347
321_Wood_products,7963
322_Paper_products,10331
323_Printing_and_related_support_activities,1210
324_Petroleum_and_coal_products,12433
325_Chemical_products,16470
326_Plastics_and_rubber_products,3892
327_Nonmetallic_mineral_products,5643
331_Primary_metals,19633
332_Fabricated_metal_products,19308
333_Machinery,13920
334_Computer_and_electronic_products,4877
335_Electrical_equipment_appliances_and_components,6477
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,24262
3364OT_Other_transportation_equipment,7494
337_Furniture_and_related_products,3536
339_Miscellaneous_manufacturing,6740
42_Wholesale_trade,26160
44RT_Retail_trade,41289
48_Transportation,30767
493_Warehousing_and_storage,965
51_Information,11229
52_Finance_and_insurance,16338
531_Real_estate,33045
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,3145
54_Professional_scientific_and_technical_services,17809
55_Management_of_companies_and_enterprises,7255
56_Administrative_and_waste_management_services,3101
61_Educational_services,1828
62_Health_care_and_social_assistance,7929
71_Arts_entertainment_and_recreation,2722
721_Accommodation,2252
722_Food_services_and_drinking_places,15942
81_Other_services_except_government,17941
GFE_Federal_government_enterprises,1499
GFG_Federal_general_government,37403
GSLE_State_and_local_government_enterprises,620
GSLG_State_and_local_general_government,16318
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,116
Used_Scrap_used_and_secondhand_goods,1007
