commodity,total_output
111CA_Farms,31813
113FF_Forestry_fishing_and_related_activities,2632
211_Oil_and_gas_extraction,5293
212_Mining_except_oil_and_gas,5996
213_Support_activities_for_mining,2076
22_Utilities,6879
23_Construction,31813
311FT_Food_and_beverage_and_tobacco_products,50583
313TT_Textile_mills_and_textile_product_mills,13174
315AL_Apparel_and_leather_and_allied_products,14274
321_Wood_products,5295
322_Paper_products,6925
323_Printing_and_related_support_activities,627
324_Petroleum_and_coal_products,7628
325_Chemical_products,11570
326_Plastics_and_rubber_products,2431
327_Nonmetallic_mineral_products,3864
331_Primary_metals,12575
332_Fabricated_metal_products,11511
333_Machinery,9752
334_Computer_and_electronic_products,3285
335_Electrical_equipment_appliances_and_components,4646
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,16516
3364OT_Other_transportation_equipment,4365
337_Furniture_and_related_products,2422
339_Miscellaneous_manufacturing,5507
42_Wholesale_trade,18395
44RT_Retail_trade,34749
48_Transportation,24326
493_Warehousing_and_storage,669
51_Information,8906
52_Finance_and_insurance,12386
531_Real_estate,24696
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,2370
54_Professional_scientific_and_technical_services,14334
55_Management_of_companies_and_enterprises,5654
56_Administrative_and_waste_management_services,2226
61_Educational_services,1497
62_Health_care_and_social_assistance,6584
71_Arts_entertainment_and_recreation,2757
721_Accommodation,2014
722_Food_services_and_drinking_places,14038
81_Other_services_except_government,15245
GFE_Federal_government_enterprises,1655
GFG_Federal_general_government,22629
GSLE_State_and_local_government_enterprises,489
GSLG_State_and_local_general_government,12645
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,29
Used_Scrap_used_and_secondhand_goods,768
