commodity,total_output
111CA_Farms,42556
113FF_Forestry_fishing_and_related_activities,7013
211_Oil_and_gas_extraction,11296
212_Mining_except_oil_and_gas,8168
213_Support_activities_for_mining,2660
22_Utilities,30342
23_Construction,98489
311FT_Food_and_beverage_and_tobacco_products,95539
313TT_Textile_mills_and_textile_product_mills,22071
315AL_Apparel_and_leather_and_allied_products,26394
321_Wood_products,9737
322_Paper_products,20624
323_Printing_and_related_support_activities,6893
324_Petroleum_and_coal_products,20786
325_Chemical_products,41224
326_Plastics_and_rubber_products,12535
327_Nonmetallic_mineral_products,13570
331_Primary_metals,40801
332_Fabricated_metal_products,41844
333_Machinery,39455
334_Computer_and_electronic_products,32617
335_Electrical_equipment_appliances_and_components,19105
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,51328
3364OT_Other_transportation_equipment,28396
337_Furniture_and_related_products,7820
339_Miscellaneous_manufacturing,11959
42_Wholesale_trade,68941
44RT_Retail_trade,90435
481_Air_transportation,7891
482_Rail_transportation,12084
483_Water_transportation,4103
484_Truck_transportation,15339
485_Transit_and_ground_passenger_transportation,5529
486_Pipeline_transportation,2261
487OS_Other_transportation_and_support_activities,8995
493_Warehousing_and_storage,2586
511_Publishing_industries_except_internet_includes_software,7251
512_Motion_picture_and_sound_recording_industries,5889
513_Broadcasting_and_telecommunications,20641
514_Data_processing_internet_publishing_and_other_information_services,2017
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,26131
523_Securities_commodity_contracts_and_investments,5262
524_Insurance_carriers_and_related_activities,24307
525_Funds_trusts_and_other_financial_vehicles,3075
531_Real_estate,94215
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,9696
5411_Legal_services,9532
5412OP_Miscellaneous_professional_scientific_and_technical_services,54929
5415_Computer_systems_design_and_related_services,2971
55_Management_of_companies_and_enterprises,16953
561_Administrative_and_support_services,9724
562_Waste_management_and_remediation_services,3781
61_Educational_services,8752
621_Ambulatory_health_care_services,16962
622HO_Hospitals_and_nursing_and_residential_care_facilities,16212
624_Social_assistance,2037
711AS_Performing_arts_spectator_sports_museums_and_related_activities,3967
713_Amusements_gambling_and_recreation_industries,3377
721_Accommodation,6780
722_Food_services_and_drinking_places,32895
81_Other_services_except_government,46992
GFE_Federal_government_enterprises,5953
GFG_Federal_general_government,88059
GSLE_State_and_local_government_enterprises,1729
GSLG_State_and_local_general_government,61291
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,861
Used_Scrap_used_and_secondhand_goods,1347
