commodity,total_output
111CA_Farms,43402
113FF_Forestry_fishing_and_related_activities,7871
211_Oil_and_gas_extraction,11710
212_Mining_except_oil_and_gas,8902
213_Support_activities_for_mining,2804
22_Utilities,32656
23_Construction,109610
311FT_Food_and_beverage_and_tobacco_products,99135
313TT_Textile_mills_and_textile_product_mills,24091
315AL_Apparel_and_leather_and_allied_products,28243
321_Wood_products,11404
322_Paper_products,21836
323_Printing_and_related_support_activities,7381
324_Petroleum_and_coal_products,21879
325_Chemical_products,43975
326_Plastics_and_rubber_products,14177
327_Nonmetallic_mineral_products,14848
331_Primary_metals,44308
332_Fabricated_metal_products,45547
333_Machinery,40927
334_Computer_and_electronic_products,34714
335_Electrical_equipment_appliances_and_components,20452
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,61231
3364OT_Other_transportation_equipment,30884
337_Furniture_and_related_products,8545
339_Miscellaneous_manufacturing,12960
42_Wholesale_trade,72205
44RT_Retail_trade,96809
481_Air_transportation,9017
482_Rail_transportation,12516
483_Water_transportation,4664
484_Truck_transportation,16376
485_Transit_and_ground_passenger_transportation,6033
486_Pipeline_transportation,2451
487OS_Other_transportation_and_support_activities,9709
493_Warehousing_and_storage,2723
511_Publishing_industries_except_internet_includes_software,7764
512_Motion_picture_and_sound_recording_industries,6735
513_Broadcasting_and_telecommunications,22587
514_Data_processing_internet_publishing_and_other_information_services,2369
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,27961
523_Securities_commodity_contracts_and_investments,6529
524_Insurance_carriers_and_related_activities,28250
525_Funds_trusts_and_other_financial_vehicles,3467
531_Real_estate,101394
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,10783
5411_Legal_services,10031
5412OP_Miscellaneous_professional_scientific_and_technical_services,59708
5415_Computer_systems_design_and_related_services,3381
55_Management_of_companies_and_enterprises,18573
561_Administrative_and_support_services,10535
562_Waste_management_and_remediation_services,4232
61_Educational_services,9965
621_Ambulatory_health_care_services,18573
622HO_Hospitals_and_nursing_and_residential_care_facilities,19416
624_Social_assistance,2279
711AS_Performing_arts_spectator_sports_museums_and_related_activities,4384
713_Amusements_gambling_and_recreation_industries,3642
721_Accommodation,7405
722_Food_services_and_drinking_places,36869
81_Other_services_except_government,49547
GFE_Federal_government_enterprises,6954
GFG_Federal_general_government,96845
GSLE_State_and_local_government_enterprises,1928
GSLG_State_and_local_general_government,69435
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,789
Used_Scrap_used_and_secondhand_goods,1438
