commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,15833,1293,0,0,0,0,0,79817,1701,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,37,1007,53,3,0,0,0,20,0,4,2,0,92,290,36,65,1369,40,7,1185,0,567
113FF_Forestry_fishing_and_related_activities,8185,4406,4,88,0,49,146,2926,265,119,7314,2549,11,4,278,953,6,11,8,6,10,19,6,6,23,21,92,125,35,0,22,18,0,5,10,0,40,172,226,93,159,1091,42,24,72,97,195
211_Oil_and_gas_extraction,0,0,4291,0,0,27423,0,0,0,0,0,0,0,122948,1587,127,0,24,0,0,0,0,0,0,0,0,0,0,1716,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,212,0,0
212_Mining_except_oil_and_gas,273,1,1,4696,37,14819,1236,169,46,10,18,528,10,433,2498,57,3361,7458,95,177,111,205,353,113,7,397,15,19,79,0,52,3,269,2,2,2,12,35,16,3,6,7,10,604,204,977,304
213_Support_activities_for_mining,0,0,3868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,2600,55,2643,2354,395,172,1089,4402,1341,524,856,4019,716,5731,7630,1862,3596,8314,2712,1647,2183,893,1868,1088,340,471,3829,9518,1195,88,985,891,183,319,1005,935,1050,659,4292,572,1736,3233,1103,194,1769,9461,9752
23_Construction,190,49,0,106,1,3470,64,111,52,24,70,90,42,199,194,79,122,315,415,244,314,96,273,338,66,72,386,845,1419,57,2334,267,8477,74,111,155,65,1089,587,88,274,195,632,209,2038,2338,11309
311FT_Food_and_beverage_and_tobacco_products,12292,147,7,2,0,1,2,49194,6,529,3,307,4,37,974,5,20,7,9,12,11,4,3,9,28,114,911,3123,231,0,193,4,4,2,34,0,5,175,4746,568,1756,34917,300,1242,1431,4,4438
313TT_Textile_mills_and_textile_product_mills,237,150,1,30,0,51,1117,61,12770,12325,118,849,120,50,143,1511,112,4,44,136,2,58,1356,349,1330,1214,1781,329,778,0,73,106,149,1,13,0,11,12,660,58,259,28,199,47,164,41,445
315AL_Apparel_and_leather_and_allied_products,41,14,16,14,0,10,100,15,227,11032,3,12,19,9,11,15,14,14,24,14,70,5,286,15,132,181,98,134,100,0,68,21,13,42,64,0,30,11,396,103,53,37,345,9,565,33,872
321_Wood_products,578,16,0,52,19,468,11420,89,20,60,5429,2230,1,106,42,165,320,219,458,279,157,169,363,303,2771,876,761,34,233,4,319,14,1309,1,25,2,190,36,239,111,16,27,31,85,31,232,94
322_Paper_products,598,69,26,14,0,166,562,7730,394,311,126,18611,9944,383,2725,1288,1320,130,765,378,978,602,386,64,318,1138,2574,4039,179,10,6413,507,342,69,1199,45,475,730,1276,82,187,1346,469,28,208,56,1852
323_Printing_and_related_support_activities,9,18,99,18,0,166,120,2174,25,59,17,55,2226,15,547,53,54,46,360,78,446,48,67,98,24,150,1644,23,397,4,6953,3219,508,3,2274,148,313,444,1640,76,135,10,2207,157,538,112,2298
324_Petroleum_and_coal_products,8543,1177,1187,1654,2725,6634,11178,1361,538,438,515,2527,678,21023,3758,537,774,1609,1135,822,881,415,909,724,257,510,2925,6787,28124,38,1760,1117,2607,304,2212,141,1639,692,2424,179,417,455,1005,841,6008,3331,8724
325_Chemical_products,7736,1435,663,681,2474,524,2758,3152,8610,951,777,4769,2014,2988,36098,13275,2579,3329,2390,899,2162,1948,1221,529,545,1564,536,151,348,1,534,612,801,94,532,114,961,252,8991,37,182,210,683,40,1495,1008,4380
326_Plastics_and_rubber_products,440,154,23,501,0,484,2139,3900,605,537,215,1380,909,425,3271,2402,243,330,1143,2189,6185,907,4907,878,745,1261,657,544,908,5,614,54,688,211,623,14,216,117,4606,93,340,921,290,35,524,247,994
327_Nonmetallic_mineral_products,234,14,37,102,2537,604,15317,3909,124,8,257,73,9,398,800,419,5004,450,858,577,585,792,1021,383,179,318,224,149,386,0,391,53,1876,67,14,12,9,163,607,10,236,333,230,109,101,448,335
331_Primary_metals,246,1,25,147,6544,321,8351,52,35,6,101,403,271,334,1865,363,389,23213,31596,13165,4829,5924,14120,3823,1493,3394,19,18,389,0,192,12,872,1,12,2,13,34,272,2,10,8,17,53,653,136,68
332_Fabricated_metal_products,889,590,1449,1398,2028,1281,24626,10286,74,127,1349,826,185,693,3411,1062,747,1970,13028,10081,6483,2310,8379,5664,1507,1550,717,934,2918,8,1146,44,3387,102,321,44,244,164,722,80,54,671,1112,220,2534,1221,635
333_Machinery,1232,120,855,1884,3063,1430,7248,295,384,75,141,212,734,59,1005,221,255,1285,1492,7256,499,479,2863,1652,64,179,412,348,1140,10,630,713,988,314,864,5,793,240,575,31,37,116,1234,147,728,353,1746
334_Computer_and_electronic_products,41,8,26,7,0,258,2713,10,19,3,8,30,189,33,1251,58,27,44,221,814,36198,872,1311,5089,14,774,917,161,230,1,4358,363,369,161,1534,448,666,356,445,7,8,14,708,22,6107,86,215
335_Electrical_equipment_appliances_and_components,224,43,384,245,0,658,9312,7,5,8,249,8,5,50,124,77,74,823,482,4412,4004,4122,1562,649,35,231,161,159,632,1,483,33,1291,21,353,16,151,145,324,43,79,94,371,87,553,1005,438
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,481,151,205,710,0,210,246,10,4,31,187,31,27,51,15,39,26,479,363,3541,32,202,44014,2030,43,26,694,3867,1070,6,321,40,133,380,117,26,531,53,66,14,14,16,4288,134,424,221,809
3364OT_Other_transportation_equipment,0,208,0,4,0,8,1,0,0,0,2,0,0,0,0,0,0,2,36,0,0,27,37,11764,0,5,20,0,2024,0,7,24,0,6,0,0,0,4,3,95,2,0,101,6,12372,77,13
337_Furniture_and_related_products,38,0,1,1,0,120,3367,1,0,0,217,4,0,13,2,0,1,17,3,2,744,3,46,95,121,42,5,6,37,0,77,3,322,1,5,1,2,7,13,1,4,2,6,25,9,47,3
339_Miscellaneous_manufacturing,54,18,32,33,0,88,508,50,58,708,17,26,316,11,89,39,52,35,96,116,219,109,74,61,48,3257,346,466,179,2,213,440,138,152,571,1,217,197,3936,103,107,315,1068,41,361,56,3308
42_Wholesale_trade,6039,672,662,1076,1859,1785,9926,19127,2782,3614,1498,3626,1785,5886,8802,3761,1581,4873,6184,6212,9052,3056,7792,2465,1242,2547,5425,2186,5016,10,2285,607,1632,237,1135,121,717,449,4041,196,449,4547,1473,383,2736,948,3991
44RT_Retail_trade,386,55,127,208,131,399,4089,692,363,319,568,387,99,97,526,262,327,337,728,1161,879,478,3050,486,363,268,280,447,956,2,228,67,520,42,145,1,119,58,390,25,49,87,433,0,0,129,0
481_Air_transportation,43,95,165,49,40,313,347,366,52,144,29,271,181,84,438,76,135,128,458,509,1014,360,339,654,52,87,1697,678,1020,9,1200,2876,191,94,1885,19,235,423,436,36,19,65,529,636,1138,53,35
482_Rail_transportation,690,65,39,871,256,2687,1441,2478,239,56,410,816,278,386,1316,353,1055,2179,632,364,236,231,830,161,145,230,169,216,482,1,214,40,218,11,83,5,59,50,312,15,37,395,120,503,340,238,300
483_Water_transportation,122,35,59,92,82,408,259,605,51,19,55,106,30,986,306,87,132,257,71,52,41,20,64,36,20,37,72,97,292,0,32,17,39,18,33,8,45,13,74,136,8,62,31,143,899,121,69
484_Truck_transportation,804,94,83,377,1161,1124,2726,3122,354,317,268,653,310,424,1169,332,490,1102,753,467,470,245,843,240,142,310,552,1288,9105,69,465,486,529,66,263,19,213,101,573,66,118,805,251,1037,1660,180,443
485_Transit_and_ground_passenger_transportation,0,15,44,13,0,50,146,62,19,27,18,24,87,14,60,28,25,27,75,66,131,33,45,59,19,55,405,1158,1029,3,264,635,356,57,164,11,138,73,143,46,82,297,97,14,71,86,2931
486_Pipeline_transportation,68,9,561,16,12,2333,47,11,8,4,5,21,6,16030,266,15,8,20,10,7,8,4,7,5,2,5,24,56,557,0,13,8,21,0,17,1,13,6,22,1,3,4,8,7,60,25,66
487OS_Other_transportation_and_support_activities,0,30,48,45,78,344,146,400,40,16,35,95,28,568,315,103,128,202,67,44,42,14,43,29,13,31,5551,3226,18730,113,24,428,647,459,37,4,52,14,53,419,349,50,33,0,0,28,197
493_Warehousing_and_storage,2331,2,2,4,0,7,4,7,4,1,1,3,11,14,72,1,2,1,46,1,14,1,6,5,1,1,743,3235,778,109,80,80,101,40,100,1,208,17,65,13,19,37,23,0,137,96,378
511_Publishing_industries_except_internet_includes_software,63,9,23,15,0,30,107,30,13,17,12,13,348,9,33,17,17,21,44,36,150,21,22,36,13,36,163,267,96,9,1150,340,26,26,1227,58,71,1085,594,34,57,125,564,61,109,376,2412
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,3,0,0,246,5,23,0,10161,7,0,0,0,15,0,235,132,1,2,0,110,10,237,0,68
513_Broadcasting_and_telecommunications,336,9,192,82,303,261,959,323,85,190,105,181,159,200,354,470,376,426,1326,540,1198,411,271,453,69,145,3680,2866,1474,18,14935,3951,774,342,3812,5931,1122,457,2117,225,571,410,644,59,1259,154,2482
514_Data_processing_internet_publishing_and_other_information_services,0,51,148,68,146,375,78,186,12,48,16,64,231,141,159,88,60,96,119,119,12,55,98,83,23,40,320,191,1276,17,2008,3120,41,458,2735,404,99,214,797,30,30,185,124,27,1142,65,2958
