commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,38947,470,0,43,28,0,1664,168716,2870,0,0,0,0,0,6871,0,0,0,0,0,0,0,0,0,0,311,1351,1053,61,0,0,0,1,0,327,26,398,95,0,233,21,805
113FF_Forestry_fishing_and_related_activities,18331,6069,0,57,0,0,0,6306,0,48,12789,3469,44,5,458,1861,1,0,0,0,0,0,0,0,42,229,0,541,3,0,0,0,0,0,71,9,1,64,0,151,238,2495
211_Oil_and_gas_extraction,0,0,25365,28,6,71830,0,6,0,0,12,13,2,379317,9447,13,1,66,4,1,0,0,1,0,0,0,57,77,197,8,14,0,0,0,31,118,21,12,136,42,42,136
212_Mining_except_oil_and_gas,1996,1,33,5710,66,11333,13259,2501,169,0,14,2245,0,1140,4720,222,10850,17013,643,143,81,162,74,100,41,250,11,1,101,3,301,0,1,0,659,51,348,284,72,805,49,362
213_Support_activities_for_mining,0,0,7775,1585,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0
22_Utilities,5186,145,1482,2944,111,22403,3979,11110,1550,263,1660,6459,1199,2617,18654,4381,4950,7659,4569,2374,3402,1178,3331,1469,798,1344,8374,23339,13720,4186,3051,4212,57286,2087,2464,7556,1648,5042,6329,2050,3776,14683
23_Construction,1730,34,822,1517,1496,5682,188,1265,122,47,231,570,308,7072,1543,471,457,707,667,486,780,190,486,244,136,235,1048,2507,3083,268,2077,8106,111253,116,775,450,311,265,1044,347,487,1167
311FT_Food_and_beverage_and_tobacco_products,21751,308,0,0,0,0,0,136048,6,626,22,1038,740,147,3763,133,232,7,0,0,0,0,0,0,0,7,1315,4226,389,0,92,0,0,0,528,108,0,5198,14693,3729,3646,32239
313TT_Textile_mills_and_textile_product_mills,249,86,0,3,0,0,1147,138,11671,3841,723,2141,369,52,1,2201,333,0,0,712,23,0,1949,725,3688,2536,926,3408,216,1,198,0,52,126,111,5,197,53,3198,667,1592,261
315AL_Apparel_and_leather_and_allied_products,19,0,0,0,0,0,0,10,294,4087,0,0,983,7,0,1,0,0,0,0,0,0,1717,0,0,72,736,921,0,0,1790,0,0,70,25,6,459,68,851,108,20,253
321_Wood_products,365,30,0,82,108,0,41429,254,61,1,23079,4199,6,0,337,2160,487,371,236,985,723,274,2930,309,8236,1155,1728,1293,1505,89,2394,109,4578,229,623,2,541,61,1260,153,390,854
322_Paper_products,400,1,23,182,86,17,2621,21190,659,77,695,43859,11081,192,7300,4707,1969,1441,2150,2119,1638,1241,2276,638,1419,2656,3679,3056,2911,121,3973,1879,458,430,3326,499,2913,278,5140,256,1382,2194
323_Printing_and_related_support_activities,43,0,6,7,0,63,54,330,0,172,18,0,3279,8,1322,0,0,0,3,18,0,5,4,0,0,0,5956,3653,574,7,17381,4942,57,457,7047,1335,2737,1239,4994,1368,688,681
324_Petroleum_and_coal_products,9607,707,1654,5011,3238,23725,45905,3796,336,72,1284,2569,3103,18517,24202,1547,1720,3368,1474,2364,700,1373,741,441,451,866,3928,2729,84767,230,1573,11246,3301,2030,2732,1592,5883,902,4649,1524,812,2962
325_Chemical_products,17322,2005,2139,2271,1465,918,9361,5484,13605,336,2517,10801,5293,6674,227679,59445,4952,1999,7813,4009,6684,3305,6620,1762,2331,7882,1270,794,551,377,1599,240,6295,278,8323,2077,6922,849,67662,727,82,316
326_Plastics_and_rubber_products,1580,70,28,1095,464,8,23723,15458,541,225,1071,2585,676,198,12198,16431,1489,880,2339,6976,4640,1990,21311,3327,4484,5791,6788,5742,3791,137,4199,591,316,647,4627,277,1807,482,9445,242,93,3853
327_Nonmetallic_mineral_products,7,11,310,260,477,36,66492,4312,320,0,1202,333,2,635,1875,1863,17518,2331,1242,2207,989,1497,5742,322,360,929,222,1036,81,67,2686,74,83,195,3502,120,973,120,3072,161,65,1587
331_Primary_metals,111,0,2133,603,706,1,3562,5836,259,0,587,426,41,34,55,1681,1099,79974,78137,35186,10831,20191,40392,11041,4363,9084,1523,1337,1496,0,380,2,755,60,1143,33,824,123,357,277,12,67
332_Fabricated_metal_products,2281,89,1696,977,1156,2978,71655,13462,1006,275,3982,4696,1757,322,10344,7405,3478,5585,38536,28344,13151,9523,35857,10118,3827,6045,1432,1970,4814,264,9826,237,1209,642,5203,798,3839,401,1616,788,501,2217
333_Machinery,3368,368,3282,4374,4556,665,22759,2289,43,10,524,1094,1590,101,2639,1283,191,1433,3241,33357,944,1572,20276,3861,118,1035,1507,844,1613,175,1850,90,57,524,2255,137,4753,1436,840,126,53,516
334_Computer_and_electronic_products,73,1,10,31,350,28,4651,1636,619,77,724,654,1256,202,4145,1754,942,1454,3426,7091,88481,3958,12295,9548,978,2299,4104,2562,541,137,20784,1596,445,201,10456,8630,3131,981,3011,133,468,131
