commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,21340,1827,2,2,0,36,1012,104312,3069,10,0,11,1,3,590,2,1,2,1,2,3,1,3,2,0,32,1542,135,14,0,17,3,196,0,40,3,7,41,324,28,98,1969,81,9,-507,1,989
113FF_Forestry_fishing_and_related_activities,9816,3935,4,77,13,63,154,2540,66,183,9041,3212,23,15,183,748,25,36,32,44,77,30,35,66,25,220,149,368,26,0,98,60,0,16,102,1,61,148,593,53,247,1489,125,15,35,190,175
211_Oil_and_gas_extraction,0,0,2961,0,0,23542,0,0,0,0,0,0,0,77526,4717,35,0,4,0,0,0,0,0,0,0,0,6,0,777,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,466,0
212_Mining_except_oil_and_gas,354,2,4,7725,13,9689,4723,252,54,14,6,822,7,444,3856,41,4852,7828,56,90,105,83,414,75,13,281,18,20,45,0,49,5,582,2,2,4,11,7,25,2,7,10,14,1067,41,1354,284
213_Support_activities_for_mining,0,0,984,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,2709,79,1757,2892,253,128,983,4536,1726,690,910,4115,1078,2549,8296,2633,3161,6593,2631,1876,2202,791,1810,1151,491,827,4591,11785,1491,135,1476,2096,7771,413,1792,1823,1833,698,6265,902,2678,6293,3038,569,2436,6498,18622
23_Construction,398,191,0,61,0,2524,245,255,123,37,50,166,85,191,399,132,119,314,420,302,488,82,233,405,67,75,877,1908,2650,105,3968,561,28823,116,338,649,201,4224,1576,232,684,774,1336,650,3974,12148,20442
311FT_Food_and_beverage_and_tobacco_products,15470,198,1,1,0,0,0,64846,14,812,1,581,1,110,1452,13,21,2,3,5,3,1,1,8,48,143,1674,4802,249,0,182,1,3,1,192,1,4,26,7376,857,3052,54287,777,266,693,1,8376
313TT_Textile_mills_and_textile_product_mills,627,117,2,86,0,54,1469,98,16523,16571,138,784,761,8,81,2020,165,4,3,242,6,21,3253,333,2250,1261,1984,230,703,0,65,95,267,1,33,1,31,13,870,69,454,129,374,123,214,26,626
315AL_Apparel_and_leather_and_allied_products,45,11,3,9,0,5,29,5,82,9166,1,10,360,2,6,16,4,4,29,14,23,2,356,11,88,234,394,208,119,1,111,23,19,74,140,0,119,16,754,122,79,37,752,27,466,41,1267
321_Wood_products,701,21,41,112,7,983,21119,134,56,18,10335,2375,30,72,158,65,429,238,266,369,170,181,555,224,3603,873,1435,181,478,6,551,71,4280,9,120,4,445,48,403,52,52,75,128,61,26,156,133
322_Paper_products,1096,96,6,46,5,136,1701,13196,272,282,183,28900,17324,209,5494,2331,1660,129,1081,835,1154,798,570,58,839,1529,4646,4646,246,16,7096,860,1012,130,1630,100,1640,449,3211,166,378,1728,1040,178,553,47,3142
323_Printing_and_related_support_activities,5,11,5,6,0,73,130,1622,7,21,7,157,6493,6,623,22,17,14,105,29,118,14,19,36,12,63,3983,221,730,7,10707,4269,1196,35,3655,360,1663,659,2892,115,187,377,5279,668,839,142,3640
324_Petroleum_and_coal_products,3606,386,537,1720,924,1968,7894,1253,271,157,336,969,230,10681,2924,360,652,766,580,470,304,251,444,313,226,315,1421,3106,19801,57,614,510,1953,373,858,292,2263,315,1379,212,251,511,1096,952,2759,3847,12292
325_Chemical_products,9182,1423,1045,1294,1131,504,5862,4321,13244,1083,601,9014,2655,2207,74721,28322,2915,1323,3467,947,1857,2091,3584,996,785,2687,1434,411,399,2,834,84,1828,97,1922,252,2538,317,18040,197,271,312,1546,156,3989,1400,9957
326_Plastics_and_rubber_products,1018,171,18,627,4,562,7907,7799,580,621,338,3358,1600,466,7488,6334,771,418,2193,3330,5192,2355,10618,2240,1774,2648,1802,1808,2077,8,977,155,2104,466,862,33,879,187,8614,169,452,1990,1359,45,483,165,1851
