commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,31780,619,0,25,16,0,1679,144464,2870,0,0,0,0,0,4046,0,0,0,0,0,0,0,0,0,0,326,399,873,35,0,0,0,1,0,261,17,328,65,0,172,17,622
113FF_Forestry_fishing_and_related_activities,14503,9312,0,73,0,0,0,5936,0,48,15272,3888,40,3,401,1579,1,0,0,0,0,0,0,0,33,237,0,406,1,0,0,0,0,0,68,7,0,47,0,125,223,2101
211_Oil_and_gas_extraction,0,0,36843,21,4,81422,0,5,0,0,15,12,2,278402,11547,12,1,118,3,1,0,0,1,0,0,0,34,52,152,4,15,0,0,0,23,69,21,6,117,29,34,94
212_Mining_except_oil_and_gas,1627,2,44,5687,61,8639,14124,2561,248,0,18,2314,0,684,4680,237,8127,14782,573,113,97,174,127,100,34,873,13,4,60,1,274,0,0,0,481,35,193,114,68,400,42,297
213_Support_activities_for_mining,0,0,5059,1406,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0
22_Utilities,4483,249,2222,2869,93,19825,5225,10524,1953,647,1668,6168,948,1786,14384,3484,4279,7171,3762,1904,2665,972,2757,1476,680,1074,7194,20358,11270,2073,3421,3072,65568,1964,1978,5799,1947,3765,5485,1455,3760,13204
23_Construction,1223,60,2210,1191,1650,4882,191,825,138,41,197,399,214,2695,1083,368,284,577,418,314,473,118,313,155,118,156,740,1841,2829,113,3009,3662,103107,150,451,279,187,179,638,210,395,853
311FT_Food_and_beverage_and_tobacco_products,16386,520,0,0,0,0,0,129470,20,869,15,967,617,76,2700,121,263,5,0,0,0,0,0,0,0,7,705,3257,400,0,117,0,0,0,482,77,0,5121,13002,4146,3439,28746
313TT_Textile_mills_and_textile_product_mills,169,131,0,3,0,0,1607,277,14726,6863,725,1498,280,22,3,2090,261,0,0,495,13,0,3423,792,3093,2342,705,2799,189,0,194,0,65,140,159,4,192,45,3569,563,1830,269
315AL_Apparel_and_leather_and_allied_products,20,0,0,0,0,0,0,13,949,5006,0,0,1398,1,0,0,0,0,0,0,0,0,1907,0,0,107,673,788,0,0,1709,0,0,105,17,1,299,60,139,90,23,261
321_Wood_products,286,30,0,58,80,0,52325,219,103,0,27556,4462,4,0,301,2288,424,269,245,1230,461,332,2784,249,9084,1464,1445,1061,1226,46,1858,96,3890,251,391,2,453,33,1092,117,386,744
322_Paper_products,285,2,30,183,74,9,3698,20144,884,94,611,40508,12048,104,6276,4807,1727,1154,1697,1911,1452,1169,2158,646,1332,2623,3133,2577,2179,75,4866,1477,449,676,2374,390,2180,177,3429,183,1373,1600
323_Printing_and_related_support_activities,41,0,12,10,0,98,72,321,0,825,16,0,3668,5,1498,0,0,0,5,20,0,6,3,0,0,0,5581,3509,641,4,13738,5395,69,558,7082,1212,2590,1054,5098,1270,700,703
324_Petroleum_and_coal_products,7272,1132,2467,3827,2160,22428,43835,3503,508,102,1396,2620,2687,10665,30368,1420,1422,3526,1546,2297,829,1074,650,381,391,759,2867,2381,66942,114,1367,7760,2843,1605,2294,1310,7716,634,4846,1203,866,2667
325_Chemical_products,15177,1914,2327,1916,981,620,9992,5312,15218,295,2312,9025,4661,3375,173530,54195,4177,1658,6402,3647,6211,3177,6061,1699,2224,7324,893,526,444,192,1757,191,5710,363,6096,1876,3648,600,70221,405,68,281
326_Plastics_and_rubber_products,1291,119,45,881,451,5,25775,13615,792,147,1042,2073,606,115,11077,15881,1408,822,2192,6714,4837,2163,22954,3316,4062,5728,5999,4918,3593,102,4112,583,354,1002,3748,211,1412,334,8433,169,104,3150
327_Nonmetallic_mineral_products,6,26,539,176,409,14,61671,3707,481,0,1021,229,2,315,1573,1665,15267,1867,936,1778,1064,1459,5655,257,364,910,165,674,59,25,1534,67,65,181,2203,95,565,76,2596,87,74,1204
331_Primary_metals,116,0,2176,428,376,0,3982,6188,236,0,400,342,34,11,34,1453,880,55144,60244,27481,7003,14442,37656,7915,4003,6844,789,798,1171,0,322,2,900,59,676,19,496,71,283,165,12,52
332_Fabricated_metal_products,1234,129,2014,831,804,2823,61858,12704,1350,275,3116,3499,1458,160,8316,6710,2593,4543,27689,21065,11760,8352,33532,9019,3503,5234,1216,1597,3640,136,8060,144,828,645,3623,530,2435,211,1153,504,392,1577
333_Machinery,2805,511,4852,3815,4277,574,21717,2050,55,11,442,795,1390,41,2124,1461,135,1320,2695,29265,880,2065,21160,3849,125,867,1076,689,525,182,1621,109,168,625,2031,222,2832,823,650,86,36,348
334_Computer_and_electronic_products,162,1,19,33,160,22,4429,2404,1436,97,933,1085,1647,115,4519,2386,1186,1955,3998,7346,89940,4136,14562,9570,1338,3310,4228,2468,388,79,18515,1212,383,279,9292,3475,2752,770,2780,108,655,266
335_Electrical_equipment_appliances_and_components,232,326,38,21,96,20,24862,580,101,24,1321,272,98,53,651,945,106,1869,2343,8925,5040,8485,4239,1632,73,897,275,850,240,154,2311,238,386,156,3122,97,1492,440,666,118,188,438
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,653,147,385,824,362,18,1548,1903,211,4,876,568,208,45,924,400,556,557,1074,12223,1382,415,155593,4769,361,538,3020,7515,4427,772,2316,38,0,630,1549,374,4213,197,1350,192,74,441
3364OT_Other_transportation_equipment,0,12,0,28,0,0,8,0,0,0,51,0,0,0,0,0,0,0,50,857,0,0,339,33359,0,0,23,6,3435,0,2,0,0,0,115,5,47,0,120,11,0,0
337_Furniture_and_related_products,6,0,0,0,0,0,15761,0,0,0,760,0,0,0,0,379,0,0,0,459,360,2,28,294,3673,337,206,571,5,0,185,0,928,0,124,15,2,0,395,406,2,194
339_Miscellaneous_manufacturing,101,3,12,24,17,0,960,27,346,359,10,1,32,2,637,141,287,42,34,1898,20,754,1627,87,6,7382,742,690,267,76,167,320,280,50,1062,16,1594,310,31072,558,239,398
42_Wholesale_trade,14422,2479,2408,2750,1805,5649,50591,39330,4255,2807,7782,8669,3259,8861,30073,9984,4473,13527,12780,18024,18481,7640,34717,6311,4477,7994,25527,13578,16268,323,12089,3512,2610,7627,7672,1400,5626,1827,34889,1846,1961,8029
441_Motor_vehicle_and_parts_dealers,8,2,31,81,53,7,1129,404,47,1,103,110,43,0,222,72,115,71,128,1232,126,1,1361,653,64,127,79,1639,533,17,335,10,148,143,185,0,398,0,0,6,10,33
445_Food_and_beverage_stores,58,0,0,0,0,80,179,9,0,0,0,1,47,0,33,3,5,0,1,2,1,1,7,0,5,6,11,120,415,0,6,13,49,4,14,0,55,18,21,51,55,1620
452_General_merchandise_stores,110,1,4,7,3,90,1755,119,180,0,9,14,392,2,187,22,14,5,17,97,14,9,130,39,63,69,69,286,489,1,57,71,349,20,93,0,139,106,91,24,115,609
481_Air_transportation,25,1,8,54,217,992,289,1030,120,46,319,291,577,78,489,650,358,350,808,541,372,60,321,148,279,424,2530,201,2283,10,2262,5862,5712,980,6528,259,3326,451,2589,270,193,798
482_Rail_transportation,1212,74,119,1002,71,3099,1988,4498,141,6,1035,2356,166,295,3165,1125,1859,3620,659,359,177,312,982,170,320,261,134,181,3159,20,248,156,124,37,353,23,235,35,329,43,62,255
483_Water_transportation,404,13,335,97,35,120,748,1238,43,1,6,94,3,34,647,86,165,356,68,34,73,45,35,25,11,38,25,39,72,0,16,6,24,13,271,41,64,87,146,9,5,24
484_Truck_transportation,3739,617,434,580,490,505,15687,16430,1232,511,2076,2328,820,3093,4954,2202,2474,3811,2258,2608,2280,1076,5054,1122,1259,1374,2692,11505,15244,60,2018,454,463,270,1846,372,964,322,3396,734,342,1288
485_Transit_and_ground_passenger_transportation,0,2,1,6,47,156,391,213,16,6,70,62,129,17,111,141,75,69,184,125,81,11,67,29,61,124,265,70,239,1,611,2099,1644,313,2447,73,962,157,1371,806,54,256
486_Pipeline_transportation,102,13,3190,34,14,8988,218,31,14,1,10,21,19,4373,413,17,11,17,11,17,7,6,5,3,4,8,22,18,476,1,9,54,25,12,15,10,63,5,41,9,7,20
487OS_Other_transportation_and_support_activities,0,163,9,711,3,3346,0,525,106,0,747,376,505,229,126,405,674,87,64,9,1,2,6,0,131,240,25344,8808,69294,468,4449,3630,0,2171,8309,281,2774,326,3364,758,93,375
493_Warehousing_and_storage,545,0,2,187,0,660,0,68,42,30,35,43,186,12,134,64,37,27,309,147,482,21,68,19,29,145,9737,25704,3163,3380,1348,122,38,449,941,5,775,99,944,165,394,720
4A0_Other_retail,1364,3,21,130,4,1525,71653,848,583,1,119,77,1520,43,2382,119,14,13,91,298,69,76,491,52,518,544,374,2374,8588,2,197,331,2604,57,431,0,512,134,499,406,629,6640
511_Publishing_industries_except_internet_includes_software,46,2,8,0,1,131,338,14,0,0,1,4,89,1,108,12,7,8,37,28,111,13,18,61,6,54,571,737,149,24,18523,878,348,931,3874,1241,980,419,2042,60,99,118
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,419,102,0,50273,24,66,101,843,153,27,523,240,151,191,496
513_Broadcasting_and_telecommunications,462,65,430,224,428,1406,9047,1371,249,161,430,411,660,103,1923,855,446,343,1194,1226,1781,275,466,552,730,918,11290,9677,3718,182,103597,17049,14587,1919,17735,4804,7334,1761,8665,1109,1110,3453
514_Data_processing_internet_publishing_and_other_information_services,0,0,23,6,14,1083,649,768,132,68,337,297,223,22,618,388,331,247,743,739,713,104,207,404,287,442,1786,4415,290,23,5558,7336,415,2008,7072,2121,5601,728,1719,418,192,1218
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,978,243,1049,596,1053,7776,8744,3588,529,290,506,507,764,220,1819,1613,930,887,1473,1215,950,364,809,357,495,949,13242,16038,10644,215,5790,97747,106946,20069,18591,11549,5543,1755,9755,1740,1222,3155
