commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,4287,224,1,3,0,20,354,22571,1903,59,0,0,0,0,66,0,8,1,0,0,0,0,0,0,0,28,321,37,9,0,13,0,40,0,2,1,98,0,77,63,5,415,2,8,-292,6,162
113FF_Forestry_fishing_and_related_activities,1542,1151,0,8,19,2,161,264,22,145,1482,717,0,0,172,210,0,0,0,14,0,3,0,0,1,10,93,23,2,0,1,0,0,0,0,0,0,0,0,9,1,145,1,0,10,1,9
211_Oil_and_gas_extraction,0,0,146,0,0,1868,0,0,0,0,0,0,0,8531,18,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0
212_Mining_except_oil_and_gas,118,0,3,945,6,959,655,35,15,4,2,148,1,113,635,20,916,2967,19,10,5,10,16,4,2,111,0,2,29,0,25,1,43,0,1,0,31,12,9,1,2,0,7,22,142,94,41
213_Support_activities_for_mining,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,174,5,46,257,2,16,208,276,138,67,73,271,56,497,675,85,425,876,248,130,107,102,143,89,30,51,192,2961,261,18,202,677,164,18,488,199,244,316,517,94,92,137,613,25,180,699,940
23_Construction,201,2,0,34,1,253,17,43,17,7,11,29,5,273,65,7,25,50,17,10,8,6,26,10,3,5,22,367,427,12,87,93,4014,4,28,49,43,140,67,27,33,29,198,19,449,316,2290
311FT_Food_and_beverage_and_tobacco_products,4764,110,1,1,0,5,48,16192,82,360,1,212,24,65,721,7,9,14,5,4,7,3,2,4,2,34,318,1454,166,0,27,12,2,2,37,0,4,3,467,150,69,9300,101,104,276,1,644
313TT_Textile_mills_and_textile_product_mills,89,95,2,12,1,9,186,79,6415,5911,21,114,74,0,33,477,58,2,46,11,2,40,426,37,354,295,467,120,54,0,6,0,1,0,2,0,5,0,33,1,23,0,151,9,95,3,30
315AL_Apparel_and_leather_and_allied_products,11,6,0,0,6,17,75,38,7,5212,19,26,6,11,33,14,24,52,66,62,49,27,32,26,22,101,4,62,29,0,11,3,1,17,11,0,9,1,26,13,6,0,442,0,74,3,122
321_Wood_products,110,14,19,66,8,224,3580,77,12,48,1632,254,23,12,50,37,99,73,143,71,27,60,95,53,729,199,39,12,46,1,141,4,89,0,1,0,3,3,26,3,6,0,14,9,11,58,4
