commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,27593,1000,1,24,3,9,1240,118045,3809,2,0,3,0,1,4530,0,0,0,0,0,1,0,1,1,0,229,2776,1147,30,0,3,1,51,0,112,6,380,103,67,132,35,956,44,1,-1503,0,1613
113FF_Forestry_fishing_and_related_activities,11909,8396,1,66,2,12,40,3301,3,65,12098,3413,62,6,253,1214,7,9,8,12,22,7,9,16,22,172,38,408,4,0,23,15,0,4,54,4,12,55,152,111,183,1621,106,31,45,46,1573
211_Oil_and_gas_extraction,0,0,8877,13,0,24158,0,1,0,0,3,3,0,99320,4059,3,0,91,1,0,0,0,0,0,0,0,21,36,215,1,6,0,0,0,13,27,34,2,22,12,15,49,9,144,0,6092,0
212_Mining_except_oil_and_gas,998,3,22,4422,9,7897,7502,859,121,3,6,1202,1,404,3394,93,5189,8762,203,72,104,72,90,54,18,68,9,5,75,0,155,1,114,0,108,20,26,45,24,266,27,233,96,205,522,2208,803
213_Support_activities_for_mining,0,0,1782,518,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,2651,163,1136,2151,48,8644,2416,4621,1414,926,1084,3449,834,1368,8402,2822,2498,4600,2757,1795,3345,690,1671,686,460,775,4832,16658,6241,613,2623,2985,27433,879,2055,2681,2267,1874,4278,1357,2663,8775,2001,683,1186,2024,10849
23_Construction,735,104,214,1135,170,1328,226,1381,313,206,409,841,295,140,1913,735,558,941,895,709,1509,206,454,261,131,324,947,2664,1669,100,2323,5443,24367,249,849,360,261,1235,1335,515,541,1042,2566,684,7068,14638,12680
311FT_Food_and_beverage_and_tobacco_products,17316,360,0,0,0,0,0,92747,33,891,7,706,382,87,1715,65,152,4,0,0,0,0,0,1,11,32,1419,3370,429,0,145,0,0,0,623,8,1,4559,8797,2941,3339,34913,1435,909,944,0,26149
313TT_Textile_mills_and_textile_product_mills,329,169,1,22,0,11,2161,133,18723,19943,379,1232,670,13,12,1919,217,1,1,424,14,2,4676,414,2389,2776,1246,1754,344,1,99,22,83,102,101,1,94,30,2228,185,1303,315,557,17,450,14,1735
315AL_Apparel_and_leather_and_allied_products,24,4,1,1,0,1,0,9,777,11194,0,2,1050,1,1,4,0,0,7,3,1,0,1365,2,16,114,609,818,30,0,669,4,4,114,45,1,335,38,1015,99,27,110,1404,131,166,26,1422
