commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,51969,704,0,60,36,0,1927,244871,1291,0,0,0,0,0,14479,0,0,0,0,0,0,0,0,0,0,353,1802,1832,101,0,0,1,4,0,843,33,784,143,0,415,43,1741
113FF_Forestry_fishing_and_related_activities,22643,5756,0,65,0,0,0,6585,0,33,9764,3712,37,18,710,2171,2,0,0,0,0,0,0,0,40,210,0,698,3,0,0,0,0,0,208,11,1,70,0,160,398,3168
211_Oil_and_gas_extraction,0,0,34594,6,1,30307,0,0,0,0,1,1,0,526391,5334,1,0,26,0,0,0,0,0,0,0,0,10,9,41,1,1,0,0,0,4,11,3,2,18,3,6,15
212_Mining_except_oil_and_gas,1794,1,113,6380,59,11066,11787,1383,85,0,7,1411,0,2684,5302,103,7527,15644,417,157,6,81,53,120,20,169,19,2,118,3,388,0,10,0,681,43,416,237,107,704,56,349
213_Support_activities_for_mining,0,0,13034,1867,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0
22_Utilities,4659,161,7020,3766,192,29043,4147,9925,1486,66,1788,5899,1373,9863,18869,5089,3687,8271,4545,2064,1237,821,2848,1294,564,1189,16623,30648,3658,12724,6439,7048,65127,1750,5057,8079,3064,7160,15934,3317,5938,18702
23_Construction,1728,43,1197,1900,1895,7719,202,1095,85,10,166,678,230,8017,1737,490,336,657,637,427,168,119,455,247,83,189,2171,3526,5644,844,2478,6473,121180,293,812,473,418,632,1617,554,747,1454
311FT_Food_and_beverage_and_tobacco_products,33808,400,0,0,0,0,0,183210,10,942,31,1431,1349,548,4926,152,206,9,0,0,0,0,0,0,0,8,2398,4926,814,0,102,0,0,0,4931,113,0,6930,22411,5051,6569,48584
313TT_Textile_mills_and_textile_product_mills,225,112,0,4,0,0,1363,165,9471,1800,519,3345,396,61,2,2498,360,0,0,1187,1,0,3499,957,2945,2547,1755,4423,287,5,136,0,103,252,245,6,179,43,3050,382,1372,215
315AL_Apparel_and_leather_and_allied_products,19,0,0,0,0,1,0,11,492,1659,0,0,1010,13,0,2,1,0,0,0,0,0,1810,0,0,40,634,1060,0,0,732,0,0,93,37,13,275,86,1139,123,9,80
321_Wood_products,252,62,0,77,121,0,30972,386,39,2,18921,5153,4,0,276,1287,373,349,235,908,326,165,3038,291,6098,1074,2292,1218,1548,178,2235,92,4622,510,622,2,503,48,1466,143,400,805
322_Paper_products,338,0,89,203,87,40,1934,24714,525,42,491,43635,6861,287,7389,4328,1414,1529,2271,2117,542,944,2384,715,1005,2160,5725,3033,4278,564,3028,1913,817,698,3925,704,3811,244,6454,224,1824,2464
323_Printing_and_related_support_activities,26,0,12,4,0,3,34,204,0,19,24,0,1923,13,837,0,0,0,1,11,0,2,4,0,0,0,8858,3426,599,11,10705,4236,56,382,5878,830,2301,937,5040,887,715,544
324_Petroleum_and_coal_products,10839,986,8002,6427,4351,28873,50124,4073,193,22,1054,1929,1778,43373,16226,1303,1016,3097,1428,1811,238,1259,589,402,342,888,6828,3833,124805,349,1848,15271,5018,3148,3038,1634,5618,1020,7905,1237,1326,3577
325_Chemical_products,27569,2797,7786,3106,1922,2071,9913,7278,11742,166,2475,13411,6081,19015,259128,64234,3957,1999,7819,4576,2300,2683,7683,1726,1704,6951,2420,1064,596,682,2155,216,10200,525,11076,1241,7355,715,50591,722,94,460
326_Plastics_and_rubber_products,1355,111,110,1464,1100,25,21626,18169,393,114,671,3149,553,459,12880,19596,1300,978,2617,8668,1548,1618,22412,3483,4022,6575,10730,6357,4999,590,5570,579,260,1935,5936,205,2185,607,10969,208,127,4895
327_Nonmetallic_mineral_products,6,75,1090,400,686,72,45246,5162,128,0,739,440,2,1103,2072,1475,11280,2592,1069,2497,318,1543,6058,344,336,816,223,978,97,147,2865,93,105,494,3049,61,1059,114,3420,132,78,1561
331_Primary_metals,97,0,5993,645,508,3,3929,5924,278,0,368,474,26,41,54,1527,647,80683,73423,36632,4846,16461,42833,10503,3411,7270,1287,946,1525,0,521,2,1545,113,1264,29,834,147,449,275,18,82
332_Fabricated_metal_products,1486,182,6056,1180,1401,446,60404,14981,719,112,2248,5644,1427,746,11156,7258,2834,5625,38132,29134,5828,7886,38234,12838,2962,5663,2367,1935,4832,556,12228,303,1222,1533,5448,661,4676,394,2268,724,672,2339
333_Machinery,2889,234,8469,3501,4069,681,23506,3271,28,17,449,968,1130,132,3697,1530,154,1299,4027,33899,284,1338,20914,4232,71,1691,2326,1093,3046,628,2966,85,93,1541,2940,170,5143,1396,1138,114,67,526
334_Computer_and_electronic_products,68,1,30,25,294,66,4725,2491,596,56,683,906,1257,380,5703,2213,947,2011,4397,9030,31636,4246,16277,14998,948,2582,9482,3587,405,227,21362,1846,414,299,13102,6143,3670,549,6333,96,200,74
335_Electrical_equipment_appliances_and_components,1113,194,141,48,306,18,27062,881,52,4,496,425,104,109,1042,1159,120,2136,2345,13124,2503,8051,5252,2963,82,1304,517,585,315,407,3886,156,636,362,5231,142,2661,383,1376,262,397,517
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,824,106,793,807,422,33,1860,2620,96,1,586,1044,203,184,1455,500,507,776,1191,16197,484,367,173203,3474,322,603,5824,9454,3520,3163,1675,66,0,1367,2649,559,6725,305,2218,91,106,455
3364OT_Other_transportation_equipment,0,23,0,54,0,0,5,0,0,0,30,0,0,0,0,0,0,0,41,186,0,0,337,68468,0,0,12,16,5169,0,4,0,0,0,217,4,53,0,1,7,0,0
337_Furniture_and_related_products,1,0,0,0,0,0,12590,0,0,0,982,0,0,0,0,349,0,0,0,402,104,2,39,175,3351,296,329,1051,10,0,567,0,3072,0,224,6,1,0,423,354,3,266
339_Miscellaneous_manufacturing,158,4,31,32,21,0,669,30,103,135,21,0,8,8,711,107,197,63,51,2401,4,604,1477,53,20,7445,1159,1259,222,267,268,298,269,91,1604,16,1773,398,37616,601,47,532
42_Wholesale_trade,36771,2954,6069,4023,2843,6748,56146,63927,3081,1693,7683,12125,3373,21294,51377,14080,4693,23427,16951,28062,9627,8253,51410,11333,5237,10691,47986,19193,29978,2079,18739,5493,4357,10433,16157,3515,9570,3289,43930,3417,3364,16465
441_Motor_vehicle_and_parts_dealers,6,2,96,114,80,11,1350,605,23,0,86,227,47,1,377,94,120,106,183,2109,42,1,1322,500,65,156,143,2264,495,100,149,19,297,310,397,0,863,0,0,8,16,41
445_Food_and_beverage_stores,46,0,1,0,0,62,154,11,0,0,0,2,32,2,42,2,3,0,1,4,0,1,10,0,5,9,25,160,544,0,9,16,103,5,15,0,94,23,27,52,89,2150
452_General_merchandise_stores,68,1,14,9,5,87,1657,151,144,0,8,31,346,14,255,22,12,8,23,161,7,10,152,30,58,103,158,398,756,7,64,91,773,37,124,0,283,67,118,29,189,909
481_Air_transportation,140,2,19,35,572,959,457,1008,69,21,219,258,388,307,595,593,347,336,849,604,104,66,349,275,220,435,5891,367,2612,56,3832,9510,5872,1071,8197,346,4749,762,3692,325,294,1064
482_Rail_transportation,1634,73,545,1421,168,4887,1809,6021,96,5,729,2535,177,4001,5478,1442,2413,4367,997,575,81,319,1199,314,258,261,345,243,4793,55,416,202,184,64,740,36,389,64,660,66,108,488
483_Water_transportation,502,30,429,247,84,424,1093,1169,32,0,8,183,2,125,1067,218,300,675,138,75,30,82,74,54,17,60,47,49,89,1,37,10,53,13,548,44,105,164,274,14,9,44
484_Truck_transportation,5969,466,1059,825,532,2627,14940,26805,845,205,1836,3354,728,8211,7902,2651,2347,6712,3716,4234,1208,1293,6707,2027,1239,1573,4242,8620,9680,233,2732,653,871,436,2992,438,1596,463,3963,1058,488,2041
