commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,70340,344,0,43,25,0,1938,216271,1358,0,0,0,0,0,7116,0,0,0,0,0,0,0,0,0,0,222,1368,2600,128,0,0,2,7,0,965,34,1565,110,0,611,41,2035
113FF_Forestry_fishing_and_related_activities,22144,4919,0,79,0,0,0,7699,0,46,10349,4891,41,23,330,1633,1,0,0,0,0,0,0,0,36,179,0,826,7,0,0,0,0,0,298,14,3,78,0,267,517,3974
211_Oil_and_gas_extraction,0,0,22528,1,0,22251,0,0,0,0,0,0,0,292244,2627,0,0,12,0,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,1,4,1,0,2,1,2,4
212_Mining_except_oil_and_gas,1692,0,75,5349,64,9190,18083,729,35,0,6,917,0,2644,3482,80,7845,9383,414,104,1,80,56,75,17,118,15,2,196,2,564,0,48,0,1094,41,529,267,97,831,63,275
213_Support_activities_for_mining,0,0,16150,1698,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,0,0,0
22_Utilities,4566,73,6584,3248,152,34255,5279,7926,976,180,1436,4894,971,9177,13950,4666,3334,5125,3912,1917,593,630,2679,685,510,734,15825,32896,4112,10724,6790,4932,123766,1562,4820,9490,3871,6367,15833,3420,6464,20478
23_Construction,1582,22,818,2003,1473,8574,248,1123,87,32,182,664,172,8866,1436,479,340,521,533,370,86,96,504,139,77,120,2148,4458,5869,786,2596,6060,144304,359,937,609,560,552,1596,655,885,1726
311FT_Food_and_beverage_and_tobacco_products,32086,137,0,0,0,0,0,170437,9,478,28,1377,658,503,3081,163,240,5,0,0,0,0,0,0,0,4,2523,5422,1700,0,148,0,0,0,5557,36,0,5414,25036,7186,7951,50775
313TT_Textile_mills_and_textile_product_mills,47,17,0,2,0,0,2092,99,6885,1487,534,3320,392,115,5,2313,527,0,0,1056,2,0,3528,916,2356,2119,2133,5826,165,2,271,0,256,136,390,7,317,50,4345,363,1911,285
315AL_Apparel_and_leather_and_allied_products,53,0,0,0,0,1,0,11,427,1138,0,0,782,13,0,1,1,0,0,0,0,0,1508,0,0,90,759,711,0,0,1235,0,0,108,28,10,357,60,784,153,17,142
321_Wood_products,598,40,0,309,285,0,38808,478,51,4,22169,5427,3,0,271,1743,358,564,237,720,349,519,3341,146,6100,1076,4965,2522,2733,283,2698,84,8581,382,803,3,732,28,1176,152,562,932
322_Paper_products,462,0,121,245,98,76,3112,29269,446,43,603,37647,5680,428,7026,4673,1499,1098,2375,1880,266,999,3012,570,1055,1945,6593,4599,5856,474,3262,2281,1874,1339,5732,1265,4622,223,5323,383,2229,3558
323_Printing_and_related_support_activities,14,0,6,1,0,4,37,98,0,6,4,0,1273,3,283,0,0,0,0,2,0,0,3,0,0,0,8383,5218,769,7,13793,4313,166,237,7112,1324,3207,767,4993,930,581,537
