commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,11646,777,2,0,0,0,0,68426,2337,2,0,0,0,0,235,0,3,0,0,0,0,0,0,0,0,31,1123,47,6,0,2,0,21,0,3,2,0,45,209,120,54,1240,32,6,441,2,664
113FF_Forestry_fishing_and_related_activities,5614,6147,6,28,0,48,486,2013,203,233,7361,1814,8,9,340,647,6,8,13,3,3,11,45,3,21,62,449,53,36,0,17,6,0,1,2,0,8,61,65,81,60,734,30,18,39,50,140
211_Oil_and_gas_extraction,0,0,2139,0,0,13307,0,0,0,0,0,0,0,57730,1410,59,0,24,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,61,0,0
212_Mining_except_oil_and_gas,194,3,21,3935,27,8960,1671,114,35,7,8,357,3,264,2235,52,2484,9584,78,79,41,65,238,54,6,532,3,5,57,0,32,1,212,0,0,1,3,22,6,2,2,1,5,452,42,695,207
213_Support_activities_for_mining,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,1616,153,890,1602,44,87,924,2188,893,327,599,2051,356,2628,4927,1025,2392,5864,1724,979,833,591,1309,640,225,284,2176,5389,987,56,759,1368,1736,134,717,691,601,715,2555,309,784,1325,1173,166,997,4273,5963
23_Construction,285,167,0,137,4,1054,120,433,125,72,95,224,75,441,389,134,276,536,525,221,151,112,283,166,52,67,553,826,1366,38,678,286,9327,26,113,119,86,508,865,160,177,263,788,43,1428,1210,9047
311FT_Food_and_beverage_and_tobacco_products,13374,175,6,3,1,6,10,38687,14,570,4,279,12,42,1265,11,27,12,14,16,13,6,7,9,40,98,1186,1680,104,0,129,9,2,6,14,0,10,100,2921,298,985,25603,362,538,519,1,3664
313TT_Textile_mills_and_textile_product_mills,188,164,20,38,3,42,1269,53,13024,10983,155,684,85,24,131,1466,132,5,26,91,0,64,1540,225,1119,837,1076,134,524,0,62,97,122,1,3,0,7,13,463,33,165,51,240,48,80,27,277
315AL_Apparel_and_leather_and_allied_products,29,22,14,17,2,7,49,15,46,6680,6,12,11,6,14,19,16,24,30,16,50,5,151,18,73,151,86,77,109,0,59,12,6,19,12,0,27,10,375,111,49,5,319,9,243,15,410
