commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,22496,2010,2,6,1,32,1224,103536,3120,8,0,10,1,2,1548,2,1,1,1,2,3,1,4,2,0,83,1779,356,18,0,14,3,175,0,55,4,88,40,243,51,84,1623,71,5,-819,0,1148
113FF_Forestry_fishing_and_related_activities,10327,6138,4,81,12,46,143,2791,13,137,11942,3176,35,10,175,812,25,33,32,45,78,26,38,68,25,229,142,449,16,0,85,59,0,15,104,1,45,97,561,66,248,1500,133,12,28,165,513
211_Oil_and_gas_extraction,0,0,4793,4,0,28666,0,0,0,0,1,1,0,71649,5972,1,0,25,0,0,0,0,0,0,0,0,13,9,754,0,1,0,0,0,3,16,10,0,6,3,4,14,2,38,0,2192,0
212_Mining_except_oil_and_gas,501,3,9,6330,6,8433,5622,417,73,12,3,826,3,297,3575,48,4579,7088,80,65,78,61,263,65,15,59,14,16,45,0,60,2,406,1,26,7,13,12,20,63,10,63,29,736,148,1503,414
213_Support_activities_for_mining,0,0,1002,112,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,2964,129,1647,2500,209,2341,1346,4828,1787,822,1115,3865,1107,1668,7874,2791,2973,5686,2672,1868,2392,816,1862,1092,508,894,4955,13631,2716,258,1775,2528,14054,501,1910,2147,1932,964,5882,1141,2980,7389,2985,626,2152,5466,18186
23_Construction,573,269,53,282,61,1851,312,596,195,84,144,334,150,135,818,298,205,388,461,358,743,101,275,369,76,136,1065,2363,2785,112,3370,1822,30084,175,523,686,217,4387,1787,382,769,987,1656,741,4942,14561,18740
311FT_Food_and_beverage_and_tobacco_products,16714,297,0,0,0,0,0,73884,17,841,2,620,95,83,1474,25,50,1,0,0,0,0,0,6,46,124,1618,4653,294,0,162,0,0,0,302,3,2,1070,7806,1477,3342,51149,946,362,601,0,13503
313TT_Textile_mills_and_textile_product_mills,670,161,2,75,0,46,1787,115,18439,18522,241,828,919,5,37,2150,184,2,2,306,9,8,4075,358,2485,1835,1946,618,626,0,63,83,228,26,52,1,48,17,1206,111,685,201,426,101,278,18,950
315AL_Apparel_and_leather_and_allied_products,48,13,2,4,0,3,0,2,268,10572,0,6,670,1,2,12,0,0,24,10,5,0,680,10,65,273,589,410,106,1,242,17,12,85,139,0,177,23,935,145,67,38,930,54,419,42,1472
321_Wood_products,636,32,45,102,13,902,26639,184,65,15,16843,3139,40,42,218,396,495,233,240,531,330,210,1007,217,4869,1144,1632,402,576,8,789,85,4068,36,146,4,448,37,467,74,93,197,176,0,25,15,440
322_Paper_products,972,97,7,50,7,104,2063,14190,318,249,234,27877,17438,134,4942,2574,1612,267,1132,1150,1328,913,778,126,845,1805,4064,4366,479,25,6183,964,853,136,1566,110,1704,330,3630,193,537,1643,982,168,721,35,4194
323_Printing_and_related_support_activities,15,7,3,4,0,48,127,1143,4,586,8,130,7215,5,602,2,8,8,35,18,60,9,3,26,7,41,4670,850,791,6,10515,4626,833,93,4049,507,1821,698,3179,355,295,494,4870,631,1104,189,5564
324_Petroleum_and_coal_products,3280,436,563,1381,613,1997,8536,1215,226,129,346,712,529,5854,3102,351,543,681,496,538,274,353,339,255,198,332,1233,2530,18488,45,470,863,1299,357,674,282,2473,200,1104,263,230,684,1011,672,2853,3340,13593
325_Chemical_products,10523,1778,1110,1412,991,390,6289,5203,14087,898,829,8300,3228,1530,77617,30167,2755,1023,3946,1548,2849,2320,3919,1078,910,3378,1576,494,402,35,860,196,3399,109,2336,338,2254,337,22506,285,190,310,1765,146,3852,1195,11083
326_Plastics_and_rubber_products,1111,211,23,687,35,451,10633,8778,670,607,533,3087,1430,280,7254,8186,924,452,2259,4288,4721,2695,12877,2650,2170,3457,2778,2814,2351,19,1198,243,1754,417,916,48,834,192,7621,152,309,2286,1570,17,605,265,2504
327_Nonmetallic_mineral_products,169,20,214,207,354,631,25364,4052,384,11,749,147,20,342,1016,902,8074,1241,727,902,1107,1671,2482,368,317,560,305,454,273,4,404,51,3153,65,515,55,172,226,1522,44,287,790,476,3,198,537,650
331_Primary_metals,63,0,1020,475,424,147,3452,843,57,3,108,388,83,19,377,671,455,33683,37128,18912,4582,8808,20724,4444,2049,3725,471,67,471,0,106,7,616,12,51,5,36,10,75,36,9,22,90,0,191,26,133
332_Fabricated_metal_products,764,288,671,812,324,1338,36959,13092,286,151,1706,1151,478,210,4114,2058,804,2925,16574,14733,10827,3801,15106,6429,2730,2298,1079,1437,2675,22,2162,248,5423,381,566,132,568,104,1157,244,120,439,1494,113,3500,218,1552
333_Machinery,1475,153,700,2091,723,600,10955,666,290,137,237,634,1257,57,2276,1145,335,1534,2083,14628,1047,839,7170,2643,110,633,1594,735,1000,26,590,288,1492,270,959,21,997,315,1056,105,73,248,2243,106,1046,823,2372
334_Computer_and_electronic_products,20,14,6,10,30,294,3421,341,233,31,97,114,535,32,1321,357,183,239,796,2100,77820,2529,9033,10928,128,1506,3951,777,449,16,11326,700,596,181,4434,1515,2257,430,2443,39,176,69,1468,5,10680,206,1131
335_Electrical_equipment_appliances_and_components,523,90,88,149,7,759,16237,360,43,46,617,151,63,38,469,320,132,972,906,7402,5134,6242,3248,1578,34,469,465,663,885,19,895,87,2334,90,875,50,745,174,445,98,94,191,1099,69,906,798,888
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,654,206,126,514,21,116,1393,475,49,12,368,121,160,35,167,95,138,782,416,5396,421,407,88011,2757,111,98,2073,9729,2441,71,656,66,277,722,407,97,1994,94,562,155,63,392,8083,954,560,417,2323
3364OT_Other_transportation_equipment,0,3,0,4,0,0,49,0,0,0,15,0,0,0,0,0,0,0,2,23,0,0,22,25849,0,0,39,1,3332,0,0,1,3,0,3,0,1,3,0,65,0,0,104,7,19324,86,19
337_Furniture_and_related_products,20,0,9,7,0,170,7350,13,4,3,549,16,6,7,23,90,6,8,6,91,824,6,41,76,956,96,30,116,54,0,107,5,855,1,64,10,23,2,145,50,8,48,49,345,0,153,5
339_Miscellaneous_manufacturing,120,10,16,30,8,80,2373,51,51,665,716,22,83,6,225,141,110,31,102,925,159,311,602,90,49,4893,903,808,222,10,197,419,476,122,885,4,400,264,11038,275,153,406,1795,31,508,44,3944
42_Wholesale_trade,9880,1111,944,1522,457,2904,21597,36214,4842,5072,4525,6629,3457,4980,19805,7862,2547,7440,8581,11460,17982,5326,17931,4619,2713,5770,14171,5296,8169,40,7128,1074,3576,1272,2451,436,2261,748,9154,592,868,7968,3432,577,4382,1609,11224
44RT_Retail_trade,531,86,128,317,91,425,9550,1835,578,474,1594,854,505,71,1397,1051,627,668,1536,2875,1645,1131,7598,1287,858,714,876,1239,1793,12,851,174,1374,141,468,1,532,120,1286,96,132,797,1019,42,19,44,1181
481_Air_transportation,81,48,118,189,51,478,725,1413,174,154,166,382,243,55,1012,430,255,461,524,614,904,155,865,484,110,206,2233,1369,1022,9,1212,2914,1980,303,2437,69,1563,145,1994,138,162,738,700,1756,2591,84,2835
482_Rail_transportation,728,102,41,1094,32,1489,2300,2452,311,54,470,716,270,137,1979,551,1226,1837,439,334,194,187,1096,140,157,164,207,234,778,4,166,56,323,18,128,13,133,28,523,41,46,384,164,595,583,306,647
483_Water_transportation,132,77,113,113,49,201,244,837,47,6,30,56,23,202,310,85,102,281,42,28,17,15,55,17,10,29,40,44,207,0,13,14,35,12,47,24,57,9,55,167,6,49,37,471,1466,179,485
484_Truck_transportation,1924,300,125,870,319,1297,5663,7527,1069,746,1007,1917,1010,466,3516,1534,1230,2345,1552,1423,1207,727,2761,617,521,843,1993,1694,17861,91,1051,272,1087,179,1382,69,965,239,2605,180,357,1349,857,1106,3021,405,1894
485_Transit_and_ground_passenger_transportation,0,20,48,29,15,90,157,324,37,43,50,84,72,20,221,96,40,72,104,118,179,37,176,103,28,55,375,352,433,3,316,1076,579,95,752,22,501,66,649,234,58,192,169,8,89,87,4123
486_Pipeline_transportation,36,5,933,15,4,5425,52,13,5,2,4,9,6,11146,1202,9,6,12,7,7,3,5,4,3,2,4,15,30,1411,1,4,10,15,4,8,4,28,2,17,3,3,8,12,17,31,471,140
