commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,68574,541,0,43,23,0,2122,215625,1055,0,0,0,0,0,7053,0,0,0,0,0,0,0,0,0,0,226,1330,2950,105,0,0,3,6,0,951,37,1415,105,0,641,44,2119
113FF_Forestry_fishing_and_related_activities,21685,7246,0,95,0,0,0,7594,0,47,12592,6237,40,20,323,1655,1,0,0,0,0,0,0,0,31,164,0,830,6,0,0,0,0,0,294,16,2,83,0,259,512,4133
211_Oil_and_gas_extraction,0,0,35973,1,0,30584,0,0,0,0,0,0,0,345577,4239,0,0,18,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,0,1,3,0,0,0,0,1,3
212_Mining_except_oil_and_gas,1745,1,85,5367,59,10395,17438,929,47,0,5,988,0,2654,4131,89,8532,11393,444,127,1,85,48,135,16,90,16,2,156,2,573,0,37,0,1039,47,503,235,122,816,70,319
213_Support_activities_for_mining,0,0,16469,1322,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0
22_Utilities,4379,118,6966,3209,143,34290,5424,8613,1278,63,1501,5069,1066,6622,14878,4753,3405,6173,4193,2025,663,626,2714,1023,543,823,17998,37200,4311,12173,6641,6181,106114,1643,4833,9896,3814,7269,16351,3416,7123,22463
23_Construction,1491,34,1221,1784,1379,8988,250,1136,108,11,186,607,168,7736,1453,460,340,562,540,390,88,92,476,166,73,126,2301,4661,6167,782,2432,5858,143824,300,865,585,566,575,1536,617,905,1754
311FT_Food_and_beverage_and_tobacco_products,31140,232,0,0,0,0,0,163507,17,277,27,1343,587,517,3716,153,246,7,0,0,0,0,0,0,0,4,2491,5406,1511,0,136,0,0,0,4985,31,0,5547,25155,7176,8364,51020
313TT_Textile_mills_and_textile_product_mills,58,35,0,2,0,0,2153,124,7164,1547,519,3292,406,97,7,2464,490,0,0,1066,2,0,3684,1094,2433,2153,2608,5935,156,2,211,0,272,131,418,8,284,57,4111,360,1947,293
315AL_Apparel_and_leather_and_allied_products,56,0,0,0,0,1,0,10,440,1241,0,0,827,7,0,1,1,0,0,0,0,0,1449,0,0,100,716,753,0,0,1292,0,0,102,25,10,310,77,872,154,17,133
321_Wood_products,466,51,0,277,286,0,43122,832,57,6,26411,6057,3,0,327,1593,278,721,283,867,396,549,3587,224,7091,1380,4859,2374,2485,308,2750,123,7235,389,757,3,743,34,1319,166,713,1044
322_Paper_products,400,0,126,233,89,65,3024,31300,468,63,613,37592,6227,396,7211,4251,1477,1342,2271,1935,280,934,2894,723,1039,1914,6855,4913,5358,471,3121,2617,1576,1006,5114,883,4377,215,5626,363,2324,3656
323_Printing_and_related_support_activities,14,0,7,1,0,3,42,96,0,4,4,0,1627,3,372,0,0,0,0,4,0,1,3,0,0,0,8914,5344,801,7,13157,4394,133,240,6547,1444,3126,836,5057,890,633,555
324_Petroleum_and_coal_products,7236,470,7178,4028,2997,27070,48714,3608,111,17,890,1500,1059,18251,11397,948,645,1779,623,1117,70,1610,524,229,268,613,5619,4075,80933,217,2037,14236,6824,2068,3090,1673,6971,728,7526,1525,1391,3663
325_Chemical_products,22941,1629,7819,2904,1478,2599,13400,9444,9557,191,2014,12750,5353,14123,214053,68917,4307,1258,6918,3614,1483,2368,9233,1686,1659,5955,2255,1566,594,864,2424,286,16096,382,14884,1992,10663,695,47010,1163,142,855
326_Plastics_and_rubber_products,1516,110,88,1309,853,28,30353,22588,367,176,702,2979,761,553,12773,18719,1190,743,2391,6476,673,1432,24688,3197,3273,5113,20710,10249,3652,495,6685,432,572,1632,6844,174,2428,523,14856,326,186,6288
327_Nonmetallic_mineral_products,27,42,1426,494,901,113,67507,4878,220,0,744,355,2,1820,1769,1854,13317,2097,1189,2296,159,1511,7792,441,329,777,120,1817,129,228,4172,138,190,418,4234,80,1243,74,4993,139,136,2355
331_Primary_metals,106,0,7249,697,526,6,4967,5607,195,0,550,759,30,59,71,1682,1200,72178,72834,33263,2371,13243,53875,10614,4245,5904,1234,719,1239,0,706,1,3215,87,1455,42,945,121,413,309,21,151
332_Fabricated_metal_products,1923,128,7831,1246,1105,557,86190,15356,697,159,2684,5440,1628,826,10777,7086,2905,5172,41126,25599,2974,7525,45078,13538,3032,5201,3556,2826,5717,719,14673,454,1958,1335,6557,1027,5165,402,3461,536,1154,3164
333_Machinery,2970,142,11402,4300,4819,1586,35729,4218,36,0,480,957,1687,181,3472,1653,179,1120,4383,33152,307,1740,27789,4620,79,516,2968,1530,3966,581,2994,798,258,757,4006,442,6587,1614,1636,195,83,855
334_Computer_and_electronic_products,38,0,37,26,280,164,5251,2462,657,80,839,838,2111,500,6332,2394,1099,1830,4615,8501,19819,3552,20109,18945,1032,2571,13668,4893,404,319,30576,2427,1036,369,17157,8744,5112,1193,11199,213,285,105
335_Electrical_equipment_appliances_and_components,3007,166,149,78,611,29,39602,773,50,4,2252,338,112,163,1157,1037,122,1668,2348,14853,1126,9482,7688,2433,77,1079,1863,1204,503,158,6191,235,1671,226,6204,84,3275,659,1740,492,685,567
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,910,103,965,829,342,46,2005,2498,63,1,696,886,205,253,1162,469,535,634,1119,12490,227,367,219402,3551,290,460,8391,11313,4458,3821,1825,77,0,1175,3376,930,8374,307,3379,922,159,765
3364OT_Other_transportation_equipment,0,70,0,15,0,0,25,0,0,0,15,0,0,0,0,0,0,0,42,5,0,0,227,71865,0,0,8,111,6940,0,10,0,0,0,623,15,118,0,0,2,0,0
337_Furniture_and_related_products,0,0,0,0,0,0,18880,0,0,0,268,1,0,0,0,251,1,0,0,240,29,2,32,271,4709,166,640,1971,1,0,676,0,3540,0,374,3,3,0,444,392,3,301
339_Miscellaneous_manufacturing,111,2,41,35,22,0,1658,6,8,123,8,0,6,2,419,103,116,22,38,2101,1,567,1914,55,40,5382,1020,1625,269,335,346,193,231,55,1997,23,1586,340,36002,533,43,571
42_Wholesale_trade,39400,2770,8702,4546,3313,8391,87000,66170,2803,1207,10191,13123,3460,16575,50062,15060,5792,26401,18727,29501,5389,8693,66236,13353,5515,8885,61869,31983,27660,2650,26002,7187,7840,9396,21231,4768,13392,3790,49733,4533,5027,19204
