commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,55665,653,0,83,46,0,1913,234457,2004,0,0,0,0,0,16525,0,0,0,0,0,0,0,0,0,0,297,1693,1875,86,0,0,1,3,0,897,34,734,135,0,387,37,1534
113FF_Forestry_fishing_and_related_activities,23105,4970,0,66,0,0,0,6174,0,56,8544,3419,41,23,787,2770,3,0,0,0,0,0,0,0,46,232,0,679,3,0,0,0,0,0,208,10,1,57,0,155,359,2992
211_Oil_and_gas_extraction,0,0,30457,15,2,24851,0,1,0,0,2,2,0,539764,5601,2,0,29,1,0,0,0,0,0,0,0,24,19,56,3,3,0,0,0,10,28,6,4,53,8,15,38
212_Mining_except_oil_and_gas,2325,1,95,6226,59,10709,10726,1395,82,0,8,1606,0,2369,6284,107,6553,16312,429,158,7,98,52,92,22,157,20,2,112,3,441,0,8,0,795,47,405,233,105,690,57,387
213_Support_activities_for_mining,0,0,12433,2007,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0
22_Utilities,4764,148,5225,4332,203,26498,3795,9528,1313,69,1823,6250,1418,8082,17322,4959,3640,8131,4376,2122,1304,968,2606,1357,611,990,15748,29184,3516,12025,6856,5798,56909,1614,4935,8023,2646,6963,15895,3195,5691,18682
23_Construction,1673,38,941,2229,2184,7329,204,1137,77,11,170,624,249,8046,1783,497,347,686,648,483,198,145,414,197,97,175,2178,3496,5670,857,2586,5442,113490,300,870,501,396,666,1713,576,763,1552
311FT_Food_and_beverage_and_tobacco_products,33461,434,0,0,0,0,0,185566,23,923,44,1420,1288,587,4318,127,156,8,0,0,0,0,0,0,0,7,2409,4792,877,0,102,0,0,0,4203,125,0,6221,22454,4777,5925,44903
313TT_Textile_mills_and_textile_product_mills,223,98,0,4,0,0,1353,131,8782,1898,507,3288,378,60,2,2620,301,0,0,1086,2,0,2986,975,2974,2235,1604,4111,291,5,139,0,87,228,233,5,171,41,2842,356,1184,217
315AL_Apparel_and_leather_and_allied_products,20,0,0,0,0,1,0,14,211,1340,0,0,588,14,0,1,1,0,0,0,0,0,1943,0,0,44,580,832,0,0,410,0,0,40,42,8,264,57,774,58,5,39
