commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,11103,424,2,1,0,5,233,54985,1899,1,0,17,1,0,159,1,1,1,1,2,3,1,1,3,0,34,564,51,12,0,5,6,97,1,5,1,1,22,183,167,51,964,11,2,-90,5,471
113FF_Forestry_fishing_and_related_activities,3412,3390,2,66,0,62,280,1146,70,145,4756,1452,2,4,182,333,10,13,24,20,5,9,15,3,9,38,157,67,10,0,66,3,0,1,3,0,2,51,38,102,39,351,15,3,15,15,67
211_Oil_and_gas_extraction,0,0,1518,0,0,7216,0,0,0,0,0,0,0,31572,621,15,0,8,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0
212_Mining_except_oil_and_gas,193,23,19,2908,15,3617,1114,96,29,7,31,333,3,215,1664,65,1937,8531,93,47,21,25,96,28,8,488,1,4,86,0,80,0,119,3,6,1,15,33,24,6,14,0,21,170,28,363,121
213_Support_activities_for_mining,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,792,89,389,991,3,27,296,1126,507,211,368,1025,198,1137,2612,496,1172,2950,940,585,390,355,585,358,114,167,750,4535,487,46,480,976,959,65,301,399,312,475,1284,225,533,564,681,118,504,1370,2998
23_Construction,603,92,0,210,1,130,99,197,54,30,50,239,53,547,364,100,129,223,178,81,43,37,97,68,14,24,260,998,577,44,246,446,9078,81,116,91,127,283,864,154,128,185,425,23,1354,670,7915
311FT_Food_and_beverage_and_tobacco_products,9880,142,7,4,0,6,81,35342,61,683,7,286,13,63,1081,16,22,19,26,44,45,16,15,50,47,88,672,1882,200,0,120,75,14,9,58,0,15,43,1941,286,914,19223,228,149,292,3,3018
313TT_Textile_mills_and_textile_product_mills,118,159,10,28,0,13,1012,62,10783,9811,155,409,194,14,68,1134,77,9,40,62,1,83,906,140,746,526,562,112,147,0,36,71,28,1,7,0,8,4,293,27,88,28,179,18,80,9,126
315AL_Apparel_and_leather_and_allied_products,14,10,4,9,0,5,21,16,12,3978,6,11,19,3,12,13,7,17,30,16,26,9,45,16,34,70,23,42,53,0,24,6,3,20,13,0,11,3,174,49,24,0,251,2,82,9,107
321_Wood_products,167,37,137,102,11,281,10289,85,62,43,4333,758,2,20,62,85,170,263,358,195,54,153,320,202,1477,449,106,19,136,2,213,5,378,6,14,1,43,13,70,27,34,5,35,24,17,188,38
322_Paper_products,150,147,10,57,1,56,539,4800,450,443,132,11106,4199,335,1914,757,771,124,679,393,368,480,314,47,219,796,567,1615,136,5,2929,414,64,46,269,22,122,165,311,24,70,521,234,20,90,39,739
323_Printing_and_related_support_activities,3,12,1,4,0,49,30,783,11,88,6,21,1197,3,129,9,19,30,253,23,148,20,298,59,8,23,290,148,142,2,2817,1572,103,47,706,68,121,157,170,39,49,42,612,39,186,28,1075
324_Petroleum_and_coal_products,2319,540,240,659,126,2721,3945,567,222,130,256,853,90,4818,1474,289,465,973,452,477,209,172,281,293,69,179,510,2133,6533,21,438,371,766,41,546,75,633,320,565,104,159,56,479,87,1277,827,2883
325_Chemical_products,4576,440,243,456,136,326,722,1074,5478,493,485,1877,550,1600,18492,6027,899,1751,1181,611,510,999,592,327,206,759,187,145,212,1,290,48,322,8,104,54,226,93,2589,40,101,122,376,31,769,496,1832
326_Plastics_and_rubber_products,486,93,31,294,28,182,1405,1532,474,450,177,700,234,92,1596,1357,317,255,823,1293,1315,926,2864,304,701,906,238,397,705,2,185,45,351,206,234,7,138,40,870,36,100,205,338,20,145,149,306
327_Nonmetallic_mineral_products,56,24,140,143,170,394,10588,2054,70,9,295,53,8,108,479,198,2878,484,425,291,434,429,1014,177,137,177,58,128,227,0,264,11,418,29,44,6,44,68,128,19,63,91,141,26,25,281,169
331_Primary_metals,21,28,315,448,810,134,3779,50,27,23,361,210,88,77,1232,344,267,25984,20882,10432,2149,5945,11608,3218,806,2160,2,9,283,0,94,4,169,5,12,1,14,7,41,5,7,12,16,11,158,80,18
332_Fabricated_metal_products,249,633,511,646,162,599,18057,5292,95,139,965,331,65,513,1714,501,385,2056,5737,5552,2534,1513,5955,2776,913,664,138,344,868,3,450,13,744,17,234,22,224,39,211,31,38,167,670,52,1089,419,194
333_Machinery,492,97,260,931,193,481,1986,158,221,46,302,174,372,71,729,152,160,1056,771,4228,271,302,940,801,27,58,138,202,301,5,454,74,267,202,412,2,323,58,508,29,27,42,783,19,289,242,377
334_Computer_and_electronic_products,3,10,37,9,2,91,634,6,20,2,17,23,2,19,206,22,19,133,82,479,13169,470,700,2652,5,164,445,58,160,1,1295,105,55,72,293,212,104,87,112,7,5,0,474,5,2162,49,80
335_Electrical_equipment_appliances_and_components,136,47,211,170,39,405,5155,24,13,29,241,17,5,14,68,35,70,739,370,2752,1401,2927,921,325,18,152,44,132,392,0,256,38,340,50,121,8,88,53,85,22,27,12,243,22,149,323,118
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,89,116,94,234,7,31,112,7,1,8,186,2,3,25,10,26,27,284,121,2647,30,88,24976,825,7,4,179,2960,542,2,71,13,16,211,37,11,51,6,6,4,3,1,2193,9,113,45,106
3364OT_Other_transportation_equipment,0,213,5,15,0,7,4,1,1,0,11,1,0,1,1,1,0,46,42,2,1,12,63,9204,0,15,18,0,2503,0,22,26,6,31,62,0,46,6,27,44,3,0,89,7,7636,42,18
337_Furniture_and_related_products,4,1,23,11,0,51,1809,3,1,0,156,2,0,2,4,1,2,28,3,3,481,6,42,105,93,2,0,2,20,0,37,0,64,1,1,0,4,3,5,1,3,0,5,4,8,31,15
339_Miscellaneous_manufacturing,14,31,15,55,3,52,146,27,57,888,35,27,150,11,109,60,82,103,96,182,163,94,84,64,45,1605,123,265,112,1,86,201,56,44,378,0,118,138,1633,83,54,96,725,13,152,37,866
42_Wholesale_trade,3442,461,212,606,108,1071,4915,9434,1879,1895,1087,1784,625,1912,3506,1221,740,2954,2107,2777,2172,1351,3464,1289,529,1108,1163,1169,2121,7,878,256,443,105,415,67,294,188,1161,120,190,1951,801,67,1019,399,1659
44RT_Retail_trade,656,57,59,119,18,407,2490,447,173,78,513,263,41,75,495,166,202,310,286,453,254,219,1173,176,206,119,113,396,852,3,120,46,125,22,95,0,69,47,190,22,35,128,162,0,0,25,0
481_Air_transportation,24,104,76,49,11,63,151,310,109,143,67,181,115,93,504,215,118,201,488,304,343,157,156,244,64,110,328,183,187,4,506,954,49,53,898,10,145,149,260,16,3,51,95,176,476,24,16
482_Rail_transportation,450,40,35,469,24,557,1266,1535,235,72,409,545,145,141,863,230,517,1921,402,293,116,171,644,132,112,181,98,147,351,0,147,31,79,28,77,3,62,34,129,13,22,222,87,202,280,94,159
483_Water_transportation,157,33,26,117,15,167,264,380,50,16,63,66,11,451,190,44,87,373,54,40,18,23,46,20,13,35,20,55,109,0,21,9,28,1,13,3,14,10,35,57,6,27,19,38,162,30,67
484_Truck_transportation,523,82,31,289,176,410,2058,2002,316,261,148,359,177,182,626,185,371,1098,440,361,277,190,514,206,89,296,284,833,5384,35,322,135,159,57,367,9,258,129,402,36,34,355,185,307,699,108,197
485_Transit_and_ground_passenger_transportation,1,41,18,43,5,22,57,131,72,86,39,98,45,11,223,99,62,150,177,96,181,79,82,126,50,89,210,48,220,1,306,108,9,31,555,4,52,22,152,30,10,14,51,5,29,6,1054
486_Pipeline_transportation,20,5,163,6,0,465,15,5,2,1,2,7,1,3402,88,2,5,16,4,5,2,2,2,3,1,2,5,19,94,0,3,3,7,0,5,1,5,3,5,1,1,0,4,1,13,7,24
487OS_Other_transportation_and_support_activities,0,6,2,0,28,3,131,1,1,2,0,3,2,2,9,5,1,2,5,4,12,3,3,15,0,0,1454,1889,11340,76,10,333,143,41,100,2,4,4,7,181,104,0,28,50,246,13,36
493_Warehousing_and_storage,621,1,1,2,0,2,2,3,2,1,1,1,4,4,31,0,1,1,19,1,5,1,2,2,0,1,267,2510,413,41,31,48,41,13,63,0,61,7,22,5,7,13,13,0,63,26,124
