commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,18654,1615,1,1,0,20,590,101144,3374,9,0,5,0,1,412,1,0,1,1,1,2,0,2,1,0,26,1447,112,9,0,9,1,106,0,25,2,3,64,299,29,96,1803,77,11,-319,3,778
113FF_Forestry_fishing_and_related_activities,10721,3966,2,41,5,76,162,2796,179,271,9471,3320,19,9,257,967,17,30,19,27,45,36,24,37,28,229,130,250,50,0,82,47,0,12,57,0,68,216,461,61,271,1579,115,26,52,176,179
211_Oil_and_gas_extraction,0,0,3308,0,0,22626,0,0,0,0,0,0,0,74217,4311,103,0,13,0,0,0,0,0,0,0,0,3,0,1045,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,219,0
212_Mining_except_oil_and_gas,353,2,2,6199,20,9888,4396,203,53,10,12,839,11,359,3808,53,4956,9683,75,131,154,144,642,82,11,626,21,19,67,0,71,5,584,3,1,3,13,14,26,2,11,9,18,1054,47,1200,239
213_Support_activities_for_mining,0,0,1123,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,2249,66,1389,2746,141,137,1200,4424,1781,661,1037,4065,962,1941,9754,2658,3234,8293,2638,1938,2371,947,2148,1113,504,821,4387,11099,1617,112,1250,2023,3477,472,1555,1617,1750,723,5844,836,2512,5279,2938,438,2059,6246,15821
23_Construction,299,127,0,165,1,3680,179,253,127,51,101,182,82,163,451,150,190,622,664,471,539,150,379,496,109,111,733,1726,2584,100,4078,691,24149,73,231,494,196,2749,1194,170,652,583,1576,488,3661,9693,22530
311FT_Food_and_beverage_and_tobacco_products,14567,187,2,3,0,1,0,68387,24,969,4,509,4,63,1637,18,28,8,9,14,8,4,4,8,35,153,1844,4757,282,0,145,3,7,3,141,1,8,73,7006,834,3190,50989,813,347,975,3,7201
313TT_Textile_mills_and_textile_product_mills,390,120,1,54,0,44,1457,92,17174,17268,128,893,423,14,148,1871,149,6,3,210,5,47,3184,367,2116,1167,1860,189,784,0,72,93,225,1,23,1,22,13,845,49,479,75,387,101,176,35,558
315AL_Apparel_and_leather_and_allied_products,30,8,3,11,0,6,65,10,68,8032,2,13,130,2,9,15,8,9,26,15,41,4,280,8,96,146,176,100,101,0,78,25,19,62,80,0,74,10,496,77,80,51,659,16,330,29,895
321_Wood_products,796,20,18,142,7,873,23702,100,69,24,10338,2341,16,69,114,70,450,317,393,400,222,252,615,274,3813,1019,1333,128,551,5,603,50,4059,7,77,3,387,68,419,58,50,63,138,151,27,443,117
322_Paper_products,921,104,7,61,2,133,1437,13596,499,385,233,30803,17879,158,6521,2425,1818,182,1043,803,1117,922,625,56,888,1486,5298,4430,264,14,8445,913,839,129,1512,93,1304,524,2573,133,410,1741,1065,108,398,63,2851
323_Printing_and_related_support_activities,8,22,10,12,0,101,128,2242,12,40,17,140,5364,4,868,60,31,27,225,61,204,30,57,46,21,91,3679,165,706,6,10558,4577,1379,31,4027,311,1706,670,2841,117,272,303,5503,515,759,154,3390
324_Petroleum_and_coal_products,2650,367,364,1394,738,2558,9146,867,252,147,350,975,241,7945,2637,341,520,941,514,442,314,262,513,262,175,245,1306,2758,19362,49,622,621,1938,238,849,254,1606,367,1267,146,298,226,934,881,2429,4094,10376
325_Chemical_products,7681,1540,781,1066,670,561,5789,3888,13946,1410,874,8891,2920,1722,75865,27569,3161,2261,3223,1149,2147,2463,3876,890,965,2521,1026,309,445,2,944,81,1515,130,1545,226,2535,327,16630,117,401,247,1511,112,2783,1373,8101
