commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government
111CA_Farms,17845,1599,0,0,0,14,386,97477,3517,8,0,3,0,1,334,0,0,1,0,0,1,0,1,1,0,24,1527,111,8,0,6,1,78,0,20,2,2,75,308,30,102,1850,76,12,-238,4,718
113FF_Forestry_fishing_and_related_activities,11177,4107,2,24,3,95,165,2775,233,318,9623,3269,18,8,287,1101,14,25,13,17,30,40,17,22,29,237,129,208,57,0,80,39,0,10,36,0,69,248,437,73,298,1696,109,31,61,180,184
211_Oil_and_gas_extraction,0,0,3024,0,0,19095,0,0,0,0,0,0,0,63343,3065,108,0,13,0,0,0,0,0,0,0,0,1,0,937,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,85,0
212_Mining_except_oil_and_gas,342,1,1,5590,24,11047,4099,167,49,8,15,794,13,358,3579,58,5012,9800,83,138,172,169,708,85,9,750,23,20,69,0,82,5,595,3,1,3,13,17,27,2,12,9,18,1035,49,1158,216
213_Support_activities_for_mining,0,0,1336,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,1958,59,1370,2661,116,154,1251,3975,1682,614,1045,3736,893,1832,9745,2619,3232,8282,2593,1803,2345,968,2132,1061,483,793,4346,10887,1633,101,1180,1911,1823,468,1352,1512,1631,707,5735,840,2438,4890,2714,381,1886,6164,14200
23_Construction,248,94,0,212,1,4643,138,231,120,56,121,177,79,165,446,156,222,718,765,505,542,175,419,527,123,122,685,1674,2355,97,4179,719,22628,51,175,438,183,2087,1068,151,643,514,1594,423,3512,8770,22679
311FT_Food_and_beverage_and_tobacco_products,13324,174,3,4,0,2,0,62701,26,984,5,427,5,45,1592,19,30,10,12,17,10,6,5,8,26,150,1916,4689,279,0,166,3,8,4,108,1,8,89,6762,822,3195,48886,764,363,1065,3,6368
313TT_Textile_mills_and_textile_product_mills,275,120,1,39,0,43,1386,82,16391,16871,117,879,270,18,168,1780,141,7,3,180,4,58,2897,373,1948,1099,1840,174,816,0,83,90,210,1,18,1,17,12,840,47,494,55,372,92,160,40,515
315AL_Apparel_and_leather_and_allied_products,38,11,5,18,0,10,114,16,92,11112,4,19,97,3,14,23,14,16,37,22,67,7,366,12,145,180,179,108,142,0,112,38,30,85,91,0,89,12,653,109,123,84,916,20,439,40,1168
321_Wood_products,794,18,10,154,8,872,23501,75,70,26,9576,2105,10,72,84,70,450,321,441,375,233,270,583,286,3644,1036,1290,104,511,5,631,38,3933,6,52,3,343,74,429,66,48,57,132,178,27,572,105
322_Paper_products,769,102,8,66,1,137,1159,12062,561,406,237,28204,17107,141,6335,2332,1806,184,967,693,1011,894,576,50,829,1371,5461,4206,255,13,8713,863,742,115,1305,86,1031,518,2292,118,410,1690,972,76,317,68,2537
323_Printing_and_related_support_activities,8,27,13,15,0,125,120,2318,13,48,21,123,4768,3,924,77,38,31,278,70,236,36,72,50,24,100,3592,141,663,5,10452,4461,1466,27,3824,292,1605,652,2862,124,315,273,5279,449,718,161,3185
324_Petroleum_and_coal_products,2086,342,321,1203,729,2986,9048,615,219,130,328,875,232,7240,2275,317,443,897,463,381,294,243,484,225,139,203,1227,2541,17689,44,605,599,1871,166,755,230,1236,359,1201,120,309,118,782,805,2202,4077,9037
325_Chemical_products,6554,1552,736,936,562,634,5386,3305,13209,1498,961,8082,2956,1623,70833,26453,3214,2500,3013,1132,2169,2480,3653,802,992,2354,845,263,430,1,996,73,1379,136,1273,212,2348,316,16218,84,460,218,1387,93,2251,1353,7011
326_Plastics_and_rubber_products,763,154,8,627,1,559,6608,6476,593,616,380,2593,1798,397,7287,5393,475,506,1828,2413,7073,2036,11468,1325,1564,1957,1128,727,1606,6,1305,98,1747,587,1184,27,725,157,9837,280,828,1616,1232,91,382,263,1513
