commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFGD_Federal_general_government_defense,GFGN_Federal_general_government_nondefense,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,T001_Total_Intermediate,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Federal_nondefense_Gross_investment_in_equipment,F07N_Federal_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,T004_Total_Final_Uses_GDP
483_Water_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484_Truck_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485_Transit_and_ground_passenger_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486_Pipeline_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS_Other_transportation_and_support_activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,4,0,0,1,11,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,57,2,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,-57
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511_Publishing_industries_except_internet_includes_software,3,0,1,0,0,12,44,0,0,0,3,2,1,0,1,7,1,2,0,0,0,0,3,0,4,1,105,15,4,7,31,0,5,0,1,0,0,9,8,37,2,47,75,20,66,5,3,1,18,14,63,47,167,133,84,1,37,51,55,6,33,1,3,6,5,43,103,45,36,369,8,1856,2231,0,-20,0,0,57,0,-4123,0,0,-1,0,0,0,-1,0,0,0,0,0,-1856
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,1515,3316,0,0,0,0,0,0,0,93,0,0,0,0,0,0,477,0,1,111,47,0,11,320,217,2,3,31,0,97,0,6253,1796,0,0,0,0,20,0,-8069,0,0,0,0,0,0,0,0,0,0,0,0,-6253
513_Broadcasting_and_telecommunications,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31,1,2,1,0,0,1,2,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,19,1,85,74,0,0,0,0,0,0,-159,0,0,0,0,0,0,0,0,0,0,0,0,-85
514_Data_processing_internet_publishing_and_other_information_services,0,0,0,0,0,10,6,1,2,1,3,3,0,0,1,3,1,2,2,0,0,1,1,0,1,1,13,11,7,6,26,0,0,0,0,0,0,4,1,7,1,23,43,36,16,5,11,0,4,63,24,13,118,44,109,4,55,12,14,3,14,5,6,5,24,57,40,12,0,58,16,949,249,0,11,0,0,0,0,-1211,0,0,0,0,0,0,0,0,0,0,1,0,-949
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,-2
523_Securities_commodity_contracts_and_investments,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46,11,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,-46
524_Insurance_carriers_and_related_activities,8,8,44,14,39,6,7,1,4,2,3,5,2,3,7,12,1,2,11,1,0,1,1,0,9,2,282,19,12,8,43,3,0,4,85,5,6,15,11,5,9,9,6,0,99,45955,1,76,548,39,40,8,74,1,64,10,10,70,597,20,40,14,14,17,40,34,0,595,2,34,52,49168,1257,0,0,0,0,0,0,-50425,0,0,0,0,0,0,0,0,0,0,0,0,-49168
525_Funds_trusts_and_other_financial_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS_Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE_Other_real_estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5411_Legal_services,3,1,32,8,24,53,66,2,3,2,12,9,24,2,11,28,2,10,8,1,1,3,2,2,26,5,125,5,3,7,28,2,6,1,2,1,0,5,2,27,6,34,23,33,90,120,18,5,157,6,20,31,100,83,60,3,4,44,110,11,7,16,19,21,28,29,11,2,14,87,6,1751,837,0,0,133,0,0,0,-2721,0,0,0,0,0,0,0,0,0,0,0,0,-1751
5415_Computer_systems_design_and_related_services,33,4,276,22,5,155,426,18,19,23,96,125,27,7,34,119,14,40,58,7,2,17,27,20,77,35,1057,192,53,71,329,7,112,0,42,7,0,17,28,373,36,455,567,560,797,148,67,15,150,50,334,362,1161,1523,738,17,139,367,592,88,89,19,63,57,152,219,1763,928,44,1379,182,17038,0,1423,8753,0,0,0,0,-29113,0,41,388,0,0,0,1152,0,0,15,304,0,-17038
5412OP_Miscellaneous_professional_scientific_and_technical_services,21,106,219,149,538,247,2284,108,100,117,235,243,364,57,309,514,81,251,457,34,15,115,119,105,702,191,4714,496,233,285,1984,11,78,47,127,57,7,141,130,977,295,1771,1370,3424,3578,400,144,14,2544,772,384,1238,7119,2885,2058,234,422,2175,3208,644,452,309,235,403,1014,1380,2386,419,149,3090,751,62237,330,1299,23917,48,0,0,0,-91641,0,0,2270,0,0,0,1498,0,0,0,43,0,-62237
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561_Administrative_and_support_services,0,0,0,0,3,54,17,1,2,5,17,4,7,1,7,11,0,4,4,1,1,1,7,2,8,3,115,8,6,4,44,4,0,1,34,2,2,17,12,33,5,94,53,48,32,15,0,6,68,19,12,68,119,6,124,6,6,62,120,20,6,6,4,11,19,15,10,0,8,32,6,1441,105,0,0,0,0,0,0,-1546,0,0,0,0,0,0,0,0,0,0,0,0,-1441
562_Waste_management_and_remediation_services,0,0,5,0,1,2,5,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,3,1,2,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,17,1,0,0,3,1,3,32,0,6,4,2,2,0,2,1,3,2,2,1,0,62,4,185,0,0,0,0,0,0,0,-185,0,0,0,0,0,0,0,0,0,0,0,0,-185
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,645,0,667,675,0,0,0,0,0,0,-1342,0,0,0,0,0,0,0,0,0,0,0,0,-667
621_Ambulatory_health_care_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622_Hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499,0,0,0,0,0,0,-3499,0,0,0,0,0,0,0,0,0,0,0,0,0
623_Nursing_and_residential_care_facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624_Social_assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,2,0,0,0,1,2,3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,13,0,0,0,2,0,0,0,0,0,0,0,0,2,39,10,5,9,10,2,1,0,25,2,5,5,14,1,17,1,32,7,1,1,1,132,2,1,4,3,0,0,1,11,0,377,935,0,0,0,0,0,0,-1312,0,0,0,0,0,0,0,0,0,0,0,0,-377
713_Amusements_gambling_and_recreation_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721_Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722_Food_services_and_drinking_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81_Other_services_except_government,0,5,6,5,26,9,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,15,28,17,73,0,1,0,49,0,0,128,10,11,2,32,24,7,20,15,0,0,11,93,29,17,110,59,406,58,28,45,145,7,5,4,12,13,88,21,0,0,63,207,342,2536,1269,0,0,0,0,0,0,-3804,0,0,0,0,0,0,0,0,0,0,0,0,-2536
GFGD_Federal_general_government_defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFGN_Federal_general_government_nondefense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE_Federal_government_enterprises,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,106,4,3,2,25,0,0,17,23,1,0,7,2,5,2,2,7,4,18,0,0,0,2,4,3,1,15,1,8,1,4,6,10,2,3,1,1,6,22,9,0,0,0,11,1,350,43,0,0,0,0,0,0,-392,0,0,0,0,0,0,0,0,0,0,0,0,-350
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE_State_and_local_government_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Used_Scrap_used_and_secondhand_goods,0,0,0,0,0,32,65,0,32,3656,26,0,0,0,0,0,0,0,0,10,0,1488,0,0,25,29,0,37,0,0,0,8,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,71,0,0,117,0,0,0,0,68,72,0,0,66,16,0,0,0,0,6107,7992,1869,0,0,0,150,0,-16121,0,0,0,0,0,0,0,0,0,2,0,0,-6107
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,979,59,1163,60,400,1196,1937,202,208,692,738,1274,1186,353,1617,640,127,475,2333,102,24,491,244,2231,2547,601,5468,61,524,618,2564,13984,224,2563,1150,17,51,448,90,1010,366,9262,761,3107,28187,1647,202,1306,2848,860,398,1196,2847,1349,1404,107,570,0,0,268,0,230,223,728,1605,459,10232,3175,1140,0,0,125126,95379,0,8374,0,0,0,0,-228880,0,0,0,0,0,0,0,0,0,0,0,0,-125126
