code_name,code,name
111CA_Farms,111CA,Farms
113FF_Forestry_fishing_and_related_activities,113FF,Forestry_fishing_and_related_activities
211_Oil_and_gas_extraction,211,Oil_and_gas_extraction
212_Mining_except_oil_and_gas,212,Mining_except_oil_and_gas
213_Support_activities_for_mining,213,Support_activities_for_mining
22_Utilities,22,Utilities
23_Construction,23,Construction
321_Wood_products,321,Wood_products
327_Nonmetallic_mineral_products,327,Nonmetallic_mineral_products
331_Primary_metals,331,Primary_metals
332_Fabricated_metal_products,332,Fabricated_metal_products
333_Machinery,333,Machinery
334_Computer_and_electronic_products,334,Computer_and_electronic_products
335_Electrical_equipment_appliances_and_components,335,Electrical_equipment_appliances_and_components
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3361MV,Motor_vehicles_bodies_and_trailers_and_parts
3364OT_Other_transportation_equipment,3364OT,Other_transportation_equipment
337_Furniture_and_related_products,337,Furniture_and_related_products
339_Miscellaneous_manufacturing,339,Miscellaneous_manufacturing
311FT_Food_and_beverage_and_tobacco_products,311FT,Food_and_beverage_and_tobacco_products
313TT_Textile_mills_and_textile_product_mills,313TT,Textile_mills_and_textile_product_mills
315AL_Apparel_and_leather_and_allied_products,315AL,Apparel_and_leather_and_allied_products
322_Paper_products,322,Paper_products
323_Printing_and_related_support_activities,323,Printing_and_related_support_activities
324_Petroleum_and_coal_products,324,Petroleum_and_coal_products
325_Chemical_products,325,Chemical_products
326_Plastics_and_rubber_products,326,Plastics_and_rubber_products
42_Wholesale_trade,42,Wholesale_trade
44RT_Retail_trade,44RT,Retail_trade
481_Air_transportation,481,Air_transportation
482_Rail_transportation,482,Rail_transportation
483_Water_transportation,483,Water_transportation
484_Truck_transportation,484,Truck_transportation
485_Transit_and_ground_passenger_transportation,485,Transit_and_ground_passenger_transportation
486_Pipeline_transportation,486,Pipeline_transportation
487OS_Other_transportation_and_support_activities,487OS,Other_transportation_and_support_activities
493_Warehousing_and_storage,493,Warehousing_and_storage
511_Publishing_industries_except_internet_includes_software,511,Publishing_industries_except_internet_includes_software
512_Motion_picture_and_sound_recording_industries,512,Motion_picture_and_sound_recording_industries
513_Broadcasting_and_telecommunications,513,Broadcasting_and_telecommunications
514_Data_processing_internet_publishing_and_other_information_services,514,Data_processing_internet_publishing_and_other_information_services
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,521CI,Federal_Reserve_banks_credit_intermediation_and_related_activities
523_Securities_commodity_contracts_and_investments,523,Securities_commodity_contracts_and_investments
524_Insurance_carriers_and_related_activities,524,Insurance_carriers_and_related_activities
525_Funds_trusts_and_other_financial_vehicles,525,Funds_trusts_and_other_financial_vehicles
531_Real_estate,531,Real_estate
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,532RL,Rental_and_leasing_services_and_lessors_of_intangible_assets
5411_Legal_services,5411,Legal_services
5415_Computer_systems_design_and_related_services,5415,Computer_systems_design_and_related_services
5412OP_Miscellaneous_professional_scientific_and_technical_services,5412OP,Miscellaneous_professional_scientific_and_technical_services
55_Management_of_companies_and_enterprises,55,Management_of_companies_and_enterprises
561_Administrative_and_support_services,561,Administrative_and_support_services
562_Waste_management_and_remediation_services,562,Waste_management_and_remediation_services
61_Educational_services,61,Educational_services
621_Ambulatory_health_care_services,621,Ambulatory_health_care_services
622HO_Hospitals_and_nursing_and_residential_care_facilities,622HO,Hospitals_and_nursing_and_residential_care_facilities
624_Social_assistance,624,Social_assistance
711AS_Performing_arts_spectator_sports_museums_and_related_activities,711AS,Performing_arts_spectator_sports_museums_and_related_activities
713_Amusements_gambling_and_recreation_industries,713,Amusements_gambling_and_recreation_industries
721_Accommodation,721,Accommodation
722_Food_services_and_drinking_places,722,Food_services_and_drinking_places
81_Other_services_except_government,81,Other_services_except_government
GFG_Federal_general_government,GFG,Federal_general_government
GFE_Federal_government_enterprises,GFE,Federal_government_enterprises
GSLG_State_and_local_general_government,GSLG,State_and_local_general_government
GSLE_State_and_local_government_enterprises,GSLE,State_and_local_government_enterprises
