industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,5415_Computer_systems_design_and_related_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,Other_Noncomparable_imports_and_rest_of_the_world_adjustment,Used_Scrap_used_and_secondhand_goods
111CA_Farms,60787,133,0,0,0,0,0,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,11465,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,13897,0,41,0,0,0,0,0,0,0,0,997,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,12109,22,0,347,0,0,0,0,0,0,15,259,0,22,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,33,0,0,37795,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_Construction,0,0,0,0,0,0,148565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,120525,0,0,0,0,0,0,158,17,0,0,0,0,0,0,0,0,0,0,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,30,0,29693,91,0,45,5,0,57,104,0,0,0,0,0,0,23,0,14,38,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,0,0,168,31735,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,27,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
321_Wood_products,0,0,0,0,0,0,8,0,0,0,19587,0,0,0,0,22,0,0,55,0,0,0,0,0,64,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322_Paper_products,0,0,0,0,0,0,18,0,63,0,49,27261,160,0,138,164,0,0,71,0,119,0,0,0,6,66,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
323_Printing_and_related_support_activities,0,0,0,0,0,0,1,0,2,3,0,85,9118,0,0,4,0,0,33,0,0,0,0,0,0,13,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4891,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
324_Petroleum_and_coal_products,0,0,0,0,0,0,8,0,0,0,0,1,0,26072,16,0,42,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,99,153,0,0,0,78,0,13,51456,489,40,0,0,40,105,0,1,0,0,152,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1795,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,5,0,96,0,6,55,11,0,274,19501,41,0,160,106,2,3,0,0,42,74,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
327_Nonmetallic_mineral_products,0,0,0,0,0,0,21,0,13,0,0,27,0,32,23,41,19820,17,61,33,5,37,0,0,0,3,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331_Primary_metals,0,0,0,0,0,0,160,0,0,0,0,11,0,0,217,29,16,51580,2212,180,0,312,0,0,3,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
332_Fabricated_metal_products,0,0,0,0,0,0,79,0,0,0,25,0,52,0,49,123,41,902,48054,684,166,128,471,111,102,68,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
333_Machinery,0,0,0,0,0,0,46,0,0,0,0,7,0,0,52,45,65,225,903,49060,122,764,936,189,30,31,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
334_Computer_and_electronic_products,0,0,0,0,0,0,23,0,0,0,0,0,0,0,94,0,5,0,270,218,38191,338,90,121,22,117,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,21,0,0,0,0,0,0,0,10,41,31,250,417,548,311,23451,182,0,9,34,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,46,0,37,0,0,0,0,0,0,24,0,0,453,515,204,412,76490,136,48,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
3364OT_Other_transportation_equipment,0,0,0,0,0,0,38,0,7,0,0,0,0,0,0,0,0,0,182,395,270,85,253,30067,0,16,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
337_Furniture_and_related_products,0,0,0,0,0,0,4,0,26,0,61,0,0,0,2,48,37,0,31,16,5,0,45,0,11498,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,0,18,0,12,27,28,0,191,167,11,0,62,95,91,0,0,0,56,16245,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
42_Wholesale_trade,0,205,0,0,0,0,16,5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,0,0,345,88042,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,1801,0,83,299,0,27,0,0,0,0,0,0,0,0,0,2909,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,66,1339,0,201,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,90,0,122589,0,0,0,0,0,0,181,0,0,0,0,0,287,0,0,0,0,0,0,174,68,0,340,0,0,0,0,0,0,51,0,3287,9493,0,0,0,0,0,0
48_Transportation,0,0,0,0,0,167,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,77,13273,15090,4832,25527,7041,3326,13312,374,0,0,0,0,0,0,0,0,0,90,0,25,18,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,47,0,0,0,0,0,0,0,0,10173,8804,34716,4041,0,0,0,0,0,234,0,13806,423,0,0,0,112,0,0,0,0,0,0,0,164,0,0,0,0,0,0
52_Finance_and_insurance,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,18,43664,7898,38491,4498,113,2512,10,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,6809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14492,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,67,0,0,0,0,0,0,0,0,5,0,0,188,0,0,0,0,0,1,15881,34502,3971,0,41,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,304,23830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56_Administrative_and_waste_management_services,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,43,0,14025,5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,94,0,0,0,12214,0,0,0,56,0,325,371,12,0,0,0,0,0,0
62_Health_care_and_social_assistance,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,195,35,0,0,0,0,26282,30161,3953,0,0,0,110,0,0,0,0,0,0,0
71_Arts_entertainment_and_recreation,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,132,0,0,0,0,36,0,0,0,5922,4295,95,825,31,0,0,0,0,0,0
721_Accommodation,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,8939,2999,0,0,0,0,0,0,0
722_Food_services_and_drinking_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,116,48,42816,0,0,0,0,0,0,13
81_Other_services_except_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,20,0,0,0,0,0,0,0,0,0,0,521,46951,0,0,0,0,0,0
GFE_Federal_government_enterprises,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,0,24,0,0,0,0,18,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,9578,0,0,0,0,0
GFG_Federal_general_government,0,384,0,309,0,0,363,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,5147,198,0,0,0,46,0,111,0,0,0,0,0,0,0,112297,0,0,203,0
GSLE_State_and_local_government_enterprises,0,0,0,0,0,7907,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,641,0,0,374,0,1437,0,245,0,0,0,0,0,9,0,37,0,1209,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,201,0,0,2838,0,0,0
GSLG_State_and_local_general_government,0,169,0,29,0,70,1560,69,0,0,0,10,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,100,0,0,0,770,0,0,0,2796,155,0,767,821,3217,1020,4426,191,52,475,656,1297,33,0,0,0,113202,0,264
