industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,4A0_Other_retail,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,5415_Computer_systems_design_and_related_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFGD_Federal_general_government_defense,GFGN_Federal_general_government_nondefense,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,HS_Housing,ORE_Other_real_estate,Other_Noncomparable_imports_and_rest_of_the_world_adjustment,Used_Scrap_used_and_secondhand_goods
111CA_Farms,433926,5190,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,0,0,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,18,54497,0,0,0,0,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,379408,89,63284,0,1434,0,0,0,0,0,0,28579,296,0,0,0,25,232,0,0,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,95174,9437,0,8750,0,0,0,0,0,0,82,2790,0,328,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,99,47,140235,0,9364,0,0,0,0,0,0,3,0,0,0,0,1141,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,113,0,0,530295,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273,0,0,19,0,0,0,0,0,0,0,0,0,0,144,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623,0,0,0,0,0
23_Construction,0,0,0,0,0,0,1258342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,209,930465,0,30,0,96,0,0,3999,2,0,0,0,0,0,0,0,0,0,0,10108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3772,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,77,0,50458,180,0,33,87,0,3346,71,0,3,83,55,0,0,24,2,274,121,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,2,0,29,18154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,676,0,0,0,94632,134,0,0,13,180,54,0,260,0,0,0,0,0,335,1,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
322_Paper_products,0,0,0,0,0,0,146,0,125,0,131,179451,302,0,149,699,125,1,6,0,726,0,0,0,0,93,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363
323_Printing_and_related_support_activities,0,0,0,0,0,0,8,0,605,28,0,961,60916,0,0,499,0,0,141,0,57,0,0,0,0,517,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17453,201,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
324_Petroleum_and_coal_products,0,0,49,222,0,0,235,0,0,0,0,12,0,732087,27485,2,256,0,0,0,0,4,0,0,0,0,6556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,3,0,0,238,9111,35,0,0,203,1,2120,754974,3863,25,65,128,236,1030,129,1,3,0,474,12045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45214,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,150,0,739,0,181,1492,179,6,755,218944,137,30,454,665,135,106,240,288,209,619,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2709,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
327_Nonmetallic_mineral_products,0,0,3,548,1,0,903,0,432,0,1,231,0,25,123,184,108288,0,232,3,0,220,0,12,110,1,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
331_Primary_metals,0,0,0,0,0,0,318,0,26,0,0,2,0,2594,276,0,4,257571,1399,223,1,874,0,0,0,0,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727
332_Fabricated_metal_products,0,0,0,0,0,0,1964,0,4,0,223,3,155,7,98,1231,96,3016,338455,3939,474,239,1599,603,123,188,4043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704,254,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,1141
333_Machinery,0,0,0,0,0,0,787,6,85,0,0,8,0,0,136,234,127,26,2751,382755,1023,999,1170,265,5,302,9153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8201,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
334_Computer_and_electronic_products,0,0,0,0,0,0,37,0,1,0,8,6,7,0,252,279,25,30,185,611,285434,897,17,2987,11,951,4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50841,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,101,0,47,0,0,68,0,1,146,17,22,1087,279,596,821,117976,222,38,3,92,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,650,0,80,0,0,0,0,0,7,226,4,27,679,1568,71,81,608564,419,26,78,3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12232,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732
3364OT_Other_transportation_equipment,0,0,0,0,0,0,1131,0,25,0,0,0,0,0,14,56,0,0,300,2376,1626,378,58,296194,0,0,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20421,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
337_Furniture_and_related_products,0,0,0,0,0,0,402,0,199,1,387,18,9,0,10,127,122,6,261,50,0,1,1,0,65284,283,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,1325,0,68,30,60,142,319,32,300,985,26,74,353,172,519,72,63,302,249,140625,5164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11485,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42_Wholesale_trade,0,800,0,0,0,0,2818,3708,0,0,0,0,0,0,0,0,0,0,9,499,130,0,337,12,24,1663,1718099,0,0,0,0,0,0,0,0,1090,1019,14,0,0,0,0,0,0,0,0,0,11960,0,784,14372,0,25,0,0,0,0,0,0,0,0,0,0,61772,0,0,0,0,0,0,0,0,0
44RT_Retail_trade,189,0,0,0,0,0,8059,11100,0,273,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,2189,0,174038,192580,204844,0,0,0,27,0,0,3295,319,804134,0,652,85,0,4890,0,0,0,5286,0,2380,1082,0,2439,0,212,1754,0,0,0,0,490,0,37723,92871,0,0,0,0,0,0,0,0,0
48_Transportation,0,743,0,0,0,127,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,7,0,208550,86252,52898,323881,62062,41567,208015,5474,13,0,0,0,0,0,0,81,0,702,0,1814,680,0,79,2001,0,50,0,0,0,0,191,0,76,970,0,0,0,0,0,0,7,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559,0,0,339,114116,0,0,0,0,0,0,0,0,0,7,0,82,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,1527,0,0,0,0,0,1616,0,0,0,0,0,0,0,9,0,0,0,0,0,14207,0,0,0,0,0,0,0,0,0,0,0,2058,227448,134563,672845,173591,0,0,0,0,10299,0,235144,28562,0,1281,0,6766,0,0,0,0,0,62,0,0,2393,0,0,0,0,0,0,106,0,0
52_Finance_and_insurance,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741381,561876,945703,144937,62187,350,2847,6116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,15641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,151,116,0,0,0,0,0,0,0,0,0,0,18,0,55,0,0,0,0,0,1819777,1029543,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,65,256,0,0,0,0,761,32,0,0,0,864,0,0,0,0,0,6,835,0,330621,0,38,158,0,0,0,2,0,0,0,0,0,0,0,0,1742,0,0,0,0,0,0,2271,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,343,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,3399,0,0,461,0,0,0,0,0,0,0,0,4434,2279,0,162,14931,0,539,0,0,339,317411,1210684,352742,0,6090,0,1638,0,0,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,0,0
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4110,10522,516630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56_Administrative_and_waste_management_services,0,0,79,0,0,0,915,0,0,0,0,0,2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1199,0,0,0,0,0,0,63,0,458,0,11263,8155,0,733474,88575,148,11,0,0,42,0,0,0,0,0,0,0,0,0,0,0,280,0,582
61_Educational_services,0,0,0,0,0,0,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334,0,0,0,0,0,0,95,0,81,0,25533,3761,0,0,0,259216,0,0,0,0,1485,0,24529,12524,16,0,0,0,0,0,0,67,0,0
62_Health_care_and_social_assistance,0,0,0,0,0,0,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,10127,0,0,0,0,0,0,0,0,4107,0,5864,3105,0,0,0,0,903605,738664,221610,177252,0,0,0,2778,0,0,0,0,0,0,0,104,0,0
71_Arts_entertainment_and_recreation,0,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,3490,0,0,0,0,0,0,0,0,1397,0,7225,108,0,0,0,1136,0,0,0,746,141802,112558,409,16315,1374,0,0,0,0,0,0,1013,0,0
721_Accommodation,0,0,0,0,0,0,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,375,391,0,0,0,0,0,0,0,0,776,0,0,225,0,0,0,0,0,1212,0,1,23,0,0,0,0,0,0,0,0,1366,31859,164045,39988,1614,0,0,0,0,0,0,1004,0,0
722_Food_services_and_drinking_places,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,154,674995,0,0,0,0,0,0,0,0,0,145
81_Other_services_except_government,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,1730,0,114,0,0,0,0,0,0,0,0,3360,0,0,0,428,0,0,0,0,250,0,1235,650,0,0,0,28,0,0,0,296,0,0,0,3312,606956,0,0,0,0,0,0,1236,0,0
GFE_Federal_government_enterprises,0,0,0,0,0,14001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3341,0,0,0,0,0,0,0,0,33,0,19,0,0,0,0,1781,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,1532,0,72421,0,0,0,0,0,763,0,0
GFG_Federal_general_government,0,137,0,0,0,70,266,0,0,0,0,0,11,0,9,0,0,1,0,2,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,240,44,0,15,0,0,0,107,0,0,36363,4397,0,0,0,242,0,3319,0,0,22,0,0,0,0,596,598672,353528,0,0,0,0,3120,0
GSLE_State_and_local_government_enterprises,0,0,0,0,0,131567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4753,0,0,154,299,0,15919,0,11811,0,0,0,0,0,0,25,0,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,167,29182,0,0,2911,0,0,0,90706,0,6864,25223,0,0
GSLG_State_and_local_general_government,534,3119,0,474,0,1144,17036,1821,0,1142,201,562,1437,0,93,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,476,1,0,2053,0,0,0,23239,0,0,47641,5066,0,7365,13128,87089,29504,179345,0,3044,2819,2408,9241,17272,1020,0,0,0,0,1614052,0,0,0,3759
