industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,5415_Computer_systems_design_and_related_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,Other_Noncomparable_imports_and_rest_of_the_world_adjustment,Used_Scrap_used_and_secondhand_goods
111CA_Farms,53097,296,0,0,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,8886,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,13838,0,40,0,0,0,0,0,0,0,0,978,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,11394,21,0,418,0,0,0,0,0,0,12,254,0,37,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,32,0,0,33743,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_Construction,0,0,0,0,0,0,128647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,108904,0,0,0,0,0,0,160,14,0,0,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,30,0,25626,72,0,42,6,0,41,91,0,0,0,0,0,0,19,0,13,30,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,0,0,147,30395,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,25,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
321_Wood_products,0,0,0,0,0,0,8,0,0,0,15087,0,0,0,0,17,0,0,43,0,0,0,0,0,50,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322_Paper_products,0,0,0,0,0,0,18,0,56,0,42,24592,145,0,125,138,0,0,65,0,99,0,0,0,5,61,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
323_Printing_and_related_support_activities,0,0,0,0,0,0,1,0,2,3,0,88,8064,0,0,4,0,0,25,0,0,0,0,0,0,17,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4281,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
324_Petroleum_and_coal_products,0,0,0,0,0,0,17,0,0,0,0,1,0,24447,443,0,41,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,103,128,0,0,0,68,0,19,46136,427,35,0,0,35,89,0,1,0,0,130,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,5,0,76,0,6,45,9,0,223,16292,35,0,128,90,3,3,0,0,35,70,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
327_Nonmetallic_mineral_products,0,0,0,0,0,0,22,0,15,0,0,22,0,26,22,38,17223,14,54,31,5,30,0,0,0,3,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331_Primary_metals,0,0,0,0,0,0,162,0,0,0,0,10,0,0,192,23,12,45568,1945,166,0,270,0,0,3,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312
332_Fabricated_metal_products,0,0,0,0,0,0,78,0,1,0,21,0,83,0,54,105,37,807,42999,633,151,106,393,128,85,62,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
333_Machinery,0,0,0,0,0,0,46,0,0,0,0,5,0,0,45,38,61,184,772,42043,105,579,754,168,28,32,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
334_Computer_and_electronic_products,0,0,0,0,0,0,23,0,0,0,0,0,0,0,74,0,5,0,256,190,34293,297,85,119,21,97,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,21,0,0,0,0,0,0,0,9,32,24,215,336,564,280,20762,180,0,9,30,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,53,0,31,0,0,0,0,0,0,26,0,0,474,566,168,380,68760,144,46,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
3364OT_Other_transportation_equipment,0,0,0,0,0,0,40,0,6,0,0,0,0,0,0,0,0,0,223,390,289,89,235,29613,0,19,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
337_Furniture_and_related_products,0,0,0,0,0,0,4,0,20,0,48,0,0,0,1,34,29,0,35,13,7,0,40,0,9458,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,0,21,0,11,23,19,0,147,122,8,0,51,80,91,0,0,0,45,13775,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
42_Wholesale_trade,0,189,0,0,0,0,18,4749,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1012,0,0,265,79548,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,1579,0,75,214,0,24,0,0,0,0,0,0,0,0,0,2726,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,71,1275,0,189,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,86,0,111906,0,0,0,0,0,0,172,0,0,0,0,0,273,0,0,0,0,0,0,168,49,0,306,0,0,0,0,0,0,49,0,2947,9126,0,0,0,0,0,0
48_Transportation,0,0,0,0,0,156,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,75,11896,14336,4426,23159,6644,2970,12174,339,0,0,0,0,0,0,0,0,0,85,0,23,12,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,43,0,0,0,0,0,0,0,0,9389,7811,30556,3412,0,0,0,0,0,210,0,12725,308,0,0,0,104,0,0,0,0,0,0,0,147,0,0,0,0,0,0
52_Finance_and_insurance,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,15,40443,6667,34091,4110,79,1943,9,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,6241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12577,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,0,0,0,0,0,0,0,0,5,0,0,171,0,0,0,0,0,1,14432,30904,3892,0,39,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,279,21855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
