commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,27443,540,0,21,5,0,1210,0,0,0,0,0,0,0,0,0,0,266,109730,2204,0,0,0,0,3844,0,940,244,362,70,73,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,231,8,324,0,80,0,0,0,0,0,184,14,566
113FF_Forestry_fishing_and_related_activities,11898,7642,0,50,0,0,0,12454,1,0,0,0,0,0,0,0,24,146,4808,0,25,3331,34,4,224,993,0,0,308,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4,0,0,55,0,0,0,0,0,119,182,1631
211_Oil_and_gas_extraction,0,0,10909,10,0,35453,0,3,0,89,1,0,0,0,0,0,0,0,1,0,0,4,0,125372,4303,3,15,5,4,2,13,0,0,0,0,0,67,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,3,22,4,2,3,5,1,7,3,1,9,17,43
212_Mining_except_oil_and_gas,1310,2,21,3289,17,8186,9715,6,5559,6970,235,41,89,57,49,92,23,146,1234,118,0,1368,0,899,2573,99,6,0,0,0,1,0,48,0,3,0,0,0,1,59,50,70,9,0,0,0,0,0,0,0,0,0,226,19,63,4,81,0,2,11,9,30,152,33,232
213_Support_activities_for_mining,0,0,2080,1194,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,3663,173,1031,1776,24,15043,3694,1535,3314,6996,3894,1775,3053,1006,2918,1249,681,887,9083,1842,753,5559,1275,3273,11125,3905,5301,2409,4165,2154,6675,61,63,2342,842,38,976,749,1694,660,600,5911,228,972,317,343,674,5,38799,1209,346,356,1632,3259,1951,166,3918,1651,3264,1386,496,502,1751,2870,10436
23_Construction,816,67,975,1107,391,2841,201,368,523,989,1006,640,840,247,746,274,272,260,1415,254,106,841,467,1479,1890,768,777,467,281,226,929,57,853,26,224,28,983,1345,275,151,180,4787,27,5645,672,275,102,31167,22688,145,111,44,436,216,169,12,363,382,275,261,235,89,281,411,940
321_Wood_products,309,19,0,22,19,0,38252,20860,427,207,234,941,613,234,2370,146,7628,1257,179,126,0,3950,4,0,232,1910,1107,106,284,64,400,0,853,0,67,0,9,75,32,602,630,721,299,50,2,8,0,0,1522,174,12,11,205,1,213,7,42,195,75,3,613,5,103,297,651
327_Nonmetallic_mineral_products,7,40,253,131,95,15,47550,764,12966,1036,838,1437,1152,1456,4936,216,457,841,3812,615,0,191,2,385,1548,1327,196,166,45,82,335,0,11,0,18,0,2,36,28,21,9,1289,157,30,16,15,0,0,28,91,0,70,1277,169,330,107,163,1747,490,145,134,9,79,85,1033
331_Primary_metals,112,0,899,287,66,0,2430,234,661,32359,39446,17938,6173,10350,31151,6212,2776,4075,4271,140,0,254,30,19,31,1109,538,2,0,0,172,0,470,0,0,0,0,13,0,75,49,128,21,0,0,2,0,0,231,23,0,3,276,9,115,71,80,110,13,8,62,7,108,12,38
