commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,2187,191,1,2,0,9,192,4,3,2,4,3,5,1,3,2,1,25,17720,1657,148,3,2,1,27,2,104,319,8,0,10,3,28,0,3,0,1,12,32,8,1,338,2,1,95,46,0
113FF_Forestry_fishing_and_related_activities,1306,140,2,10,29,18,370,990,12,23,20,19,3,2,7,11,57,36,847,38,158,79,1,2,125,199,47,144,4,0,14,1,12,0,1,0,0,1,3,3,0,236,2,65,1,2,3
211_Oil_and_gas_extraction,0,0,129,0,0,1893,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7593,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
212_Mining_except_oil_and_gas,86,0,2,1157,9,869,612,12,356,1824,186,15,4,7,30,7,3,100,49,22,11,138,0,827,223,16,3,7,73,0,25,5,35,0,31,0,9,2,5,0,1,0,17,242,12,128,46
213_Support_activities_for_mining,0,0,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,207,6,31,230,2,962,154,54,172,429,229,99,46,47,183,94,26,46,265,130,80,207,32,372,202,45,522,1620,97,10,121,120,297,9,236,190,71,81,222,42,60,29,305,311,12,532,131
23_Construction,257,0,0,2,1,0,6,1,2,4,7,5,1,0,41,9,0,7,102,1,3,22,13,1,9,0,145,448,334,8,27,57,4661,1,0,35,0,70,194,47,1,39,64,467,0,1826,56
321_Wood_products,86,169,12,66,9,122,2533,1739,34,37,106,40,21,25,62,95,378,171,94,11,91,545,3,16,32,3,25,78,52,0,100,7,81,0,15,9,5,5,14,8,10,1,39,34,4,30,20
327_Nonmetallic_mineral_products,27,3,16,41,124,177,3091,37,514,162,193,102,110,82,395,79,83,60,394,8,35,16,1,137,87,29,43,134,25,0,113,4,94,49,2,8,0,5,14,2,11,2,123,7,6,7,24
331_Primary_metals,12,4,18,174,1124,146,2517,122,30,7235,6110,1553,684,922,2956,1332,170,765,58,10,7,55,16,1248,178,9,2,5,102,0,155,6,109,0,29,1,9,4,10,1,4,0,51,254,2,1,15
332_Fabricated_metal_products,289,17,65,116,155,510,6689,121,64,1148,1997,778,365,385,2264,1074,225,289,1585,18,83,138,11,464,252,56,23,71,101,1,275,10,243,17,164,26,49,12,33,3,10,1,259,230,8,69,54
333_Machinery,3,2,25,117,122,15,310,32,7,115,503,904,68,87,529,751,8,39,13,49,2,43,34,51,45,3,4,12,73,1,60,1,5,0,216,1,65,10,28,12,20,0,108,1311,0,30,1
334_Computer_and_electronic_products,12,3,10,10,0,67,290,18,13,56,191,153,1185,124,459,464,48,194,18,3,19,46,3,57,18,11,19,60,38,0,180,7,8,0,29,10,9,31,87,0,51,0,172,991,0,50,3
335_Electrical_equipment_appliances_and_components,6,0,9,17,4,33,486,12,8,37,113,231,72,213,260,140,1,48,10,2,3,12,1,20,7,3,6,20,24,0,20,2,19,3,2,2,1,1,4,2,13,0,73,272,1,10,6
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,75,3,16,48,2,27,481,27,13,116,376,332,114,186,9625,360,9,58,69,3,7,20,2,43,11,7,238,733,128,1,28,5,15,148,66,6,20,4,12,0,8,1,667,220,3,148,8
3364OT_Other_transportation_equipment,2,14,13,244,0,7,126,23,1,7,8,61,5,0,37,2364,0,3,2,1,0,1,0,6,9,0,1,3,236,0,11,5,3,0,31,0,9,7,18,1,3,0,39,3908,0,4,0
337_Furniture_and_related_products,0,0,3,5,0,26,608,6,0,2,4,5,189,1,18,57,112,17,0,0,0,0,0,1,1,0,0,1,1,0,21,8,18,0,0,2,0,1,2,0,5,0,20,2,0,1,1
339_Miscellaneous_manufacturing,17,4,2,10,2,31,221,54,7,25,65,63,110,38,168,117,12,599,74,106,313,23,27,12,169,4,45,139,54,0,84,66,27,0,196,2,59,36,99,75,107,2,317,210,2,259,4
311FT_Food_and_beverage_and_tobacco_products,2472,30,8,14,0,26,89,22,20,34,83,60,70,35,64,54,42,73,9410,76,708,113,51,31,294,12,323,996,111,0,80,82,24,2,69,0,21,74,204,75,14,8163,57,57,41,310,2
313TT_Textile_mills_and_textile_product_mills,47,23,2,4,1,0,7,18,14,29,17,12,20,9,254,13,228,480,67,3988,2848,68,10,1,1370,323,176,541,18,0,21,25,0,0,22,0,7,7,19,3,44,0,141,107,0,12,1
