commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,3306,204,1,3,0,18,312,1,8,1,2,2,4,1,2,1,0,25,20984,1813,108,1,2,1,36,0,178,149,9,0,13,2,38,0,3,0,63,12,31,25,1,323,2,-86,57,121,3
113FF_Forestry_fishing_and_related_activities,1330,639,1,3,19,8,230,1148,7,6,7,17,2,2,2,4,27,17,510,25,135,392,0,1,150,235,58,71,3,0,6,0,4,0,0,0,0,0,1,1,0,140,1,22,0,2,2
211_Oil_and_gas_extraction,0,0,140,0,0,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7810,17,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
212_Mining_except_oil_and_gas,102,0,2,1001,6,928,589,5,741,2246,80,12,5,8,19,5,2,107,41,17,6,137,1,389,421,21,0,1,28,0,23,3,35,0,18,0,18,3,8,1,1,0,12,147,15,88,65
213_Support_activities_for_mining,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,211,5,36,253,2,521,214,60,367,668,224,114,87,77,146,108,32,47,290,135,75,245,74,504,464,79,296,2380,188,13,165,425,242,17,414,188,153,155,398,69,66,75,493,196,15,792,383
23_Construction,216,1,0,12,1,116,10,4,7,18,6,2,0,0,26,6,0,4,68,7,3,18,13,163,26,2,61,368,368,8,40,67,4277,2,3,40,11,64,165,34,12,26,137,350,10,2140,142
321_Wood_products,97,75,12,60,7,176,2752,1512,84,43,110,50,25,38,66,71,601,171,83,10,67,358,27,14,40,22,23,38,49,0,107,4,81,0,8,4,4,6,16,5,7,0,26,12,5,20,34
327_Nonmetallic_mineral_products,39,2,19,57,101,298,4521,50,1195,114,200,105,214,165,361,63,86,93,576,16,19,16,0,96,172,39,23,155,38,0,164,2,94,95,2,6,3,8,22,3,10,1,177,15,9,34,53
331_Primary_metals,7,13,17,172,581,160,2346,91,107,8083,5909,1977,817,1528,2924,1313,251,648,28,8,5,45,20,491,291,36,1,5,176,0,111,2,82,0,17,1,5,5,12,1,3,0,28,102,3,2,32
