commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,1879,177,0,1,0,5,165,14,1,1,1,1,1,0,1,0,0,36,17395,2946,136,10,1,0,61,7,118,350,15,0,6,1,18,0,1,0,0,37,132,4,0,137,1,0,19,74,0
113FF_Forestry_fishing_and_related_activities,1292,142,2,21,23,15,455,705,13,62,28,11,1,4,15,6,57,49,616,118,195,58,0,2,207,239,16,48,8,0,16,1,25,0,0,0,0,2,6,2,0,91,1,15,1,11,2
211_Oil_and_gas_extraction,0,0,68,0,0,737,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4580,28,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
212_Mining_except_oil_and_gas,42,0,1,961,5,500,340,15,308,1312,164,13,2,8,33,5,3,120,36,27,11,87,1,407,148,8,14,42,323,0,12,2,47,0,5,0,2,4,14,2,2,1,11,48,3,155,19
213_Support_activities_for_mining,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,71,4,10,138,1,601,61,35,108,188,137,63,8,32,123,28,13,28,100,75,39,81,16,131,89,19,228,687,95,8,48,66,196,4,48,107,15,19,69,57,37,5,190,59,3,313,52
23_Construction,170,0,1,3,0,0,5,2,9,8,16,6,1,2,24,5,1,5,28,10,11,10,3,0,7,1,58,174,369,5,6,25,2765,0,0,15,0,13,47,17,2,10,18,119,1,1417,20
321_Wood_products,103,127,10,115,6,82,2497,1348,29,67,142,57,9,39,114,52,289,203,81,21,68,330,3,21,41,2,16,48,73,0,87,10,135,0,6,6,2,3,11,9,6,1,27,21,3,20,10
327_Nonmetallic_mineral_products,21,4,16,34,80,88,2194,35,374,125,126,85,22,102,381,27,40,39,189,6,24,17,3,84,70,13,35,103,36,0,76,10,78,33,2,5,1,3,9,2,2,1,37,2,3,16,11
331_Primary_metals,18,15,16,126,533,105,1760,127,25,4038,3355,918,127,674,2404,384,75,537,27,9,21,41,14,665,171,7,4,10,164,0,92,16,90,0,16,0,5,2,7,2,3,0,42,44,1,2,6
