commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,2454,220,1,1,0,6,172,17,1,1,2,1,1,1,1,1,0,38,19979,3101,156,11,1,1,72,7,121,387,17,0,7,1,23,0,1,0,0,41,129,5,0,199,1,2,21,80,1
113FF_Forestry_fishing_and_related_activities,1422,150,2,23,25,15,389,827,13,56,33,13,1,4,12,10,54,46,632,103,187,66,0,3,215,227,18,59,8,0,15,1,24,0,0,0,0,2,5,2,0,115,2,54,0,9,2
211_Oil_and_gas_extraction,0,0,81,0,0,774,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5281,28,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
212_Mining_except_oil_and_gas,52,0,1,1121,5,517,327,17,319,1340,200,14,1,9,29,7,3,114,37,26,11,102,1,506,170,9,12,37,310,0,13,2,49,0,7,0,2,4,12,1,2,1,12,177,3,149,21
213_Support_activities_for_mining,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,95,5,13,165,1,604,61,41,115,202,174,69,7,38,113,45,13,28,111,79,42,100,15,171,106,20,230,755,98,9,53,72,214,5,64,123,20,23,74,50,41,7,202,217,3,322,57
23_Construction,193,0,1,3,0,0,4,2,8,8,18,6,0,2,22,7,1,5,32,8,10,12,3,0,7,1,59,193,375,6,7,28,3033,0,0,17,0,17,53,17,2,13,22,392,1,1389,22
321_Wood_products,122,154,14,139,7,91,2420,1712,33,70,183,64,7,48,104,89,312,213,90,21,76,426,3,25,49,3,17,55,82,0,96,11,151,0,8,7,2,4,12,9,7,1,32,67,2,23,12
327_Nonmetallic_mineral_products,28,5,21,45,102,105,2283,45,446,143,182,102,21,131,380,50,47,45,232,7,28,21,3,114,88,16,37,118,41,0,89,11,95,39,2,7,1,3,10,2,4,1,53,8,2,17,14
331_Primary_metals,20,15,20,156,655,112,1691,148,27,4446,4558,1070,113,845,2270,664,84,567,31,9,21,49,13,849,197,8,3,10,174,0,102,17,103,0,19,1,6,2,7,1,4,0,46,171,1,2,7
