commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,1790,189,1,2,0,6,140,10,1,1,2,1,3,1,1,1,0,28,18373,2261,125,7,1,0,48,3,84,296,11,0,7,1,24,0,1,0,0,31,83,4,0,193,1,2,40,53,0
113FF_Forestry_fishing_and_related_activities,1252,158,2,21,28,15,358,877,12,51,32,14,2,3,10,10,58,43,791,85,177,72,0,2,193,170,23,84,7,0,15,1,24,0,1,0,0,2,5,2,0,143,2,107,1,7,2
211_Oil_and_gas_extraction,0,0,97,0,0,1239,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5791,32,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
212_Mining_except_oil_and_gas,61,0,1,1361,7,636,403,16,340,1686,239,15,3,8,29,7,3,118,50,28,11,123,1,508,202,9,9,30,255,0,18,3,55,0,13,0,4,4,11,1,2,1,14,387,6,144,28
213_Support_activities_for_mining,0,0,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,121,6,15,211,1,706,82,46,130,284,224,76,22,40,126,56,18,33,174,104,53,135,22,186,139,21,279,1005,101,11,74,86,275,6,100,144,32,41,110,46,51,12,227,464,6,362,74
23_Construction,180,0,1,3,1,0,4,2,6,7,16,5,1,2,23,7,1,5,51,6,8,14,6,0,7,1,67,240,341,7,12,32,3671,0,0,20,0,29,78,21,2,17,29,687,1,1321,27
321_Wood_products,98,170,11,131,8,97,2266,1690,32,65,177,54,16,38,83,87,348,197,104,18,79,466,3,18,44,2,17,60,71,0,99,10,147,0,9,8,3,5,12,8,8,1,32,89,4,23,13
327_Nonmetallic_mineral_products,25,5,17,49,118,122,2372,42,453,159,213,99,59,108,356,55,62,49,315,8,30,20,3,97,91,15,34,122,36,0,99,9,107,41,2,7,1,4,11,2,6,1,71,14,4,13,16
331_Primary_metals,17,13,18,188,873,125,1851,145,28,5713,5902,1193,336,845,2348,814,116,636,44,10,18,54,17,790,207,6,3,9,160,0,123,16,123,0,21,1,7,3,8,1,4,0,48,369,2,2,9
