commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,68574,541,0,43,23,0,2122,0,0,0,0,0,0,0,0,0,0,226,215625,1055,0,0,0,0,7053,0,1330,568,1595,388,399,0,0,0,0,0,0,105,0,0,0,0,0,3,0,0,0,1,5,0,2,1,948,37,1415,0,105,0,0,0,0,0,641,44,2119
113FF_Forestry_fishing_and_related_activities,21685,7246,0,95,0,0,0,12592,1,0,0,0,0,0,0,0,31,164,7594,0,47,6237,40,20,323,1655,0,0,828,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,16,2,0,83,0,0,0,0,0,259,512,4133
211_Oil_and_gas_extraction,0,0,35973,1,0,30584,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,345577,4239,0,2,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,3
212_Mining_except_oil_and_gas,1745,1,85,5367,59,10395,17438,5,8532,11393,444,127,1,85,48,135,16,90,929,47,0,988,0,2654,4131,89,16,0,0,0,2,0,148,0,5,1,0,2,2,26,15,194,338,0,0,0,0,37,0,0,0,0,1039,47,442,61,235,0,45,33,44,256,560,70,319
213_Support_activities_for_mining,0,0,16469,1322,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,4379,118,6966,3209,143,34290,5424,1501,3405,6173,4193,2025,663,626,2714,1023,543,823,8613,1278,63,5069,1066,6622,14878,4753,17998,4483,8718,5618,18381,106,119,109,2060,176,782,959,12173,717,309,3938,1677,2779,1116,855,1431,21,106093,1643,488,271,4074,9896,3299,515,7269,3045,9936,2175,1195,790,2626,7123,22463
23_Construction,1491,34,1221,1784,1379,8988,250,186,340,562,540,390,88,92,476,166,73,126,1136,108,11,607,168,7736,1453,460,2301,748,521,551,2841,275,2499,33,353,227,943,1837,782,61,24,2184,163,3936,1234,431,257,72653,71171,300,96,27,742,585,531,35,575,313,779,214,230,208,409,905,1754
321_Wood_products,466,51,0,277,286,0,43122,26411,278,721,283,867,396,549,3587,224,7091,1380,832,57,6,6057,3,0,327,1593,4859,123,773,142,1336,0,2253,0,129,0,2,101,308,63,78,1111,1498,109,6,8,0,104,7131,389,16,18,723,3,722,21,34,310,289,6,714,8,158,713,1044
327_Nonmetallic_mineral_products,27,42,1426,494,901,113,67507,744,13317,2097,1189,2296,159,1511,7792,441,329,777,4878,220,0,355,2,1820,1769,1854,120,382,85,281,1069,0,20,0,70,0,0,39,228,5,2,2979,1186,75,56,7,0,118,72,418,0,82,4152,80,1064,179,74,2393,2047,229,324,10,129,136,2355
331_Primary_metals,106,0,7249,697,526,6,4967,550,1200,72178,72834,33263,2371,13243,53875,10614,4245,5904,5607,195,0,759,30,59,71,1682,1234,6,0,0,713,0,858,0,0,0,0,381,0,21,11,254,420,0,0,1,0,2,3213,87,0,1,1454,42,466,479,121,89,24,21,279,18,291,21,151
