commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,62872,815,0,54,41,0,1851,0,0,0,0,0,0,0,0,0,0,296,256575,2586,0,0,0,0,9918,0,1690,333,826,180,264,0,0,0,0,0,0,105,0,0,0,0,0,1,0,0,0,0,3,0,2,1,698,26,783,0,142,0,0,0,0,0,383,51,1886
113FF_Forestry_fishing_and_related_activities,24811,7577,0,94,0,0,0,11311,2,0,0,0,0,0,0,0,35,191,7452,0,43,4395,38,8,570,1905,0,0,837,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,12,1,0,79,0,0,0,0,0,180,515,3732
211_Oil_and_gas_extraction,0,0,49701,2,0,42436,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,502842,12607,0,4,1,1,0,2,0,0,0,0,0,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,1,1,3,1,0,0,1,3,6
212_Mining_except_oil_and_gas,1984,2,111,6407,82,12440,12646,8,9079,15189,418,150,5,101,65,113,19,184,1362,75,0,1437,0,2077,5017,105,20,0,0,0,2,0,134,0,5,1,0,3,3,25,14,147,310,0,0,0,0,15,0,0,0,0,759,49,343,53,223,0,62,24,48,182,479,57,347
213_Support_activities_for_mining,0,0,14313,1879,1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,5896,221,7360,4670,281,34977,4849,1947,3966,8729,4974,2248,1234,942,3141,1345,570,1103,10201,1481,63,6476,1356,7566,19083,5440,17904,3268,8895,5380,16262,127,139,113,1254,112,1329,981,13341,934,342,4108,1381,2504,1317,450,2120,10,78505,2060,630,332,4512,9223,2726,499,7410,3206,10073,2484,1185,708,2594,6904,19952
23_Construction,1821,48,2645,2157,2926,8494,213,172,344,605,615,423,142,128,441,177,80,165,1030,84,9,638,194,6636,1686,495,2092,473,470,468,2101,306,2203,37,313,249,1570,1796,805,92,29,2236,130,4076,1485,376,333,68964,59749,306,108,29,665,482,383,37,635,336,801,249,216,180,343,780,1390
321_Wood_products,315,63,0,85,166,0,33743,20969,373,348,233,1075,306,195,3469,329,5979,1107,373,43,2,5019,4,0,249,1447,2780,84,496,96,796,0,1590,0,81,0,11,101,197,99,85,791,1343,68,5,6,0,48,4877,598,13,17,653,2,714,17,45,233,221,4,904,4,145,461,844
327_Nonmetallic_mineral_products,5,89,1103,421,934,68,50498,823,12034,2521,1226,2585,257,1728,6684,369,327,812,5049,127,0,403,2,593,2420,1742,254,204,70,174,667,0,15,0,42,0,2,52,167,7,2,2620,724,54,49,6,0,46,103,616,5,106,3032,60,1025,99,106,1831,1639,186,221,9,131,103,1717
331_Primary_metals,110,0,6446,662,773,3,4101,386,743,77726,75805,36486,4025,17370,46214,10880,3404,6585,6162,271,0,484,33,19,55,1578,1213,4,0,0,907,0,1357,0,0,0,0,390,0,25,12,227,374,0,0,1,0,1,1895,135,0,11,1287,33,422,480,154,146,47,17,240,17,272,19,76
332_Fabricated_metal_products,1772,196,6468,1354,1780,449,65924,2406,2831,5436,39303,29422,5091,8672,41353,13555,2872,5595,15092,653,106,5527,1437,304,10788,7629,2472,372,148,133,1450,271,449,1576,965,147,1129,992,567,1389,21,11016,1562,137,161,2,17,39,1583,1794,30,1526,4307,727,2398,2325,371,309,562,22,1298,27,668,767,2331
333_Machinery,3663,265,9033,4129,5734,713,25919,495,148,1280,4078,35646,259,1471,23978,4655,68,1111,3657,28,10,979,1073,85,4034,1683,2387,197,120,122,730,7,272,23,215,159,181,2439,659,135,40,2359,734,10,51,81,0,18,90,1717,28,965,2064,287,2335,3253,1299,463,422,161,102,23,87,73,585
334_Computer_and_electronic_products,107,1,35,30,420,81,5263,771,943,1941,4726,9255,28303,4599,19687,16265,906,2591,2620,540,52,877,1307,206,5334,2357,10026,562,304,276,2688,5,178,3,175,4,19,148,259,3069,711,15722,3994,464,921,23,628,91,468,356,1461,5607,7134,6739,3360,843,583,6245,431,167,301,14,93,259,83
335_Electrical_equipment_appliances_and_components,1523,209,173,66,506,23,30873,670,126,1986,2476,14221,2220,9094,6613,2941,81,1216,890,49,3,433,106,60,1068,1315,505,179,34,261,312,2,143,27,36,94,7,31,474,2,0,4423,385,96,57,5,0,15,881,408,1,1322,4488,153,2070,744,472,28,414,610,422,45,285,495,539
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,1041,130,954,1045,597,39,2055,632,558,752,1281,16862,438,411,198424,3680,313,603,2674,80,0,1078,208,99,1454,555,6173,5449,1067,266,3450,0,57,0,3834,272,2,142,3301,441,61,1483,195,44,21,0,0,0,0,1657,0,28,2906,631,6214,1378,327,316,586,92,1265,76,59,126,495
3364OT_Other_transportation_equipment,0,18,0,56,0,0,7,28,0,0,40,216,0,0,383,75683,0,0,0,0,0,0,0,0,0,0,20,14,0,0,0,1371,1730,1605,12,12,0,1439,0,0,0,4,0,0,0,0,0,0,0,0,0,0,267,5,32,25,0,0,0,0,2,0,23,0,0
337_Furniture_and_related_products,1,0,0,0,0,0,14310,1158,0,0,0,490,79,3,47,237,3579,294,0,0,0,0,0,0,0,414,368,189,0,3,1043,0,0,2,0,0,0,10,0,1,0,225,368,0,0,0,0,2417,47,0,13,1,261,9,2,0,0,295,63,1,95,101,287,4,286
339_Miscellaneous_manufacturing,235,5,34,37,32,0,900,25,181,61,54,2539,3,714,1723,75,18,6658,30,131,118,0,6,5,641,112,1174,131,95,8,1093,0,2,0,6,17,1,233,288,8,3,169,122,161,50,13,0,0,333,115,65,67,1692,19,1504,437,431,15744,16553,921,1216,127,545,59,598
311FT_Food_and_beverage_and_tobacco_products,33578,429,0,0,0,0,0,30,203,9,0,0,0,0,0,0,0,7,183927,14,940,1226,770,235,5484,148,2317,5,3075,853,1400,393,2,367,18,0,0,46,0,48,9,0,72,0,0,0,0,0,0,0,0,0,5028,108,0,0,7232,17,9472,6671,8549,598,4794,7649,53680
