commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,38947,470,0,43,28,0,1664,0,0,0,0,0,0,0,0,0,0,311,168716,2870,0,0,0,0,6871,0,1351,142,607,169,135,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,1,0,1,0,326,26,398,0,95,0,0,0,0,0,233,21,805
113FF_Forestry_fishing_and_related_activities,18331,6069,0,57,0,0,0,12789,1,0,0,0,0,0,0,0,42,229,6306,0,48,3469,44,5,458,1861,0,0,538,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9,1,0,64,0,0,0,0,0,151,238,2495
211_Oil_and_gas_extraction,0,0,25365,28,6,71830,0,12,1,66,4,1,0,0,1,0,0,0,6,0,0,13,2,379317,9447,13,57,9,15,8,45,0,0,0,0,0,197,0,8,5,1,8,0,0,0,0,0,0,0,0,0,1,30,118,9,12,12,20,66,40,10,11,31,42,136
212_Mining_except_oil_and_gas,1996,1,33,5710,66,11333,13259,14,10850,17013,643,143,81,162,74,100,41,250,2501,169,0,2245,0,1140,4720,222,11,0,0,0,1,0,96,0,5,0,0,0,3,62,34,170,35,0,0,0,0,1,0,0,0,0,659,51,295,53,284,0,32,30,10,229,576,49,362
213_Support_activities_for_mining,0,0,7775,1585,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,5186,145,1482,2944,111,22403,3979,1660,4950,7659,4569,2374,3402,1178,3331,1469,798,1344,11110,1550,263,6459,1199,2617,18654,4381,8374,1766,6237,4008,11328,133,89,100,1168,270,2092,9868,4186,459,240,1608,744,1931,807,339,1135,4,57282,2087,290,365,1809,7556,1358,290,5042,1448,2983,1429,469,517,1533,3776,14683
23_Construction,1730,34,822,1517,1496,5682,188,231,457,707,667,486,780,190,486,244,136,235,1265,122,47,570,308,7072,1543,471,1048,291,377,394,1445,47,739,50,255,114,1706,172,268,78,56,1863,80,6215,1347,388,156,63468,47785,116,79,28,668,450,288,23,265,308,332,235,169,80,267,487,1167
321_Wood_products,365,30,0,82,108,0,41429,23079,487,371,236,985,723,274,2930,309,8236,1155,254,61,1,4199,6,0,337,2160,1728,56,430,107,700,0,1344,0,72,0,23,66,89,323,186,906,979,89,5,15,0,3,4575,229,9,6,608,2,524,17,61,305,157,4,794,6,147,390,854
327_Nonmetallic_mineral_products,7,11,310,260,477,36,66492,1202,17518,2331,1242,2207,989,1497,5742,322,360,929,4312,320,0,333,2,635,1875,1863,222,161,60,170,645,0,12,0,29,0,1,39,67,13,2,1952,719,46,17,11,0,3,80,195,11,56,3435,120,861,112,120,2072,719,117,164,14,147,65,1587
331_Primary_metals,111,0,2133,603,706,1,3562,587,1099,79974,78137,35186,10831,20191,40392,11041,4363,9084,5836,259,0,426,41,34,55,1681,1523,4,0,0,1333,0,1346,0,0,0,0,150,0,50,23,217,90,0,0,2,0,0,755,60,0,7,1136,33,274,550,123,149,61,12,135,45,232,12,67
332_Fabricated_metal_products,2281,89,1696,977,1156,2978,71655,3982,3478,5585,38536,28344,13151,9523,35857,10118,3827,6045,13462,1006,275,4696,1757,322,10344,7405,1432,224,133,99,1514,125,294,1994,838,196,1032,335,264,1613,23,7190,1000,114,104,4,15,2,1207,642,22,559,4622,798,1482,2357,401,391,399,16,810,25,763,501,2217
333_Machinery,3368,368,3282,4374,4556,665,22759,524,191,1433,3241,33357,944,1572,20276,3861,118,1035,2289,43,10,1094,1590,101,2639,1283,1507,185,99,88,472,3,29,10,173,79,193,1126,175,313,94,1113,330,17,46,27,0,2,55,524,33,403,1819,137,1717,3036,1436,317,290,161,72,33,93,53,516
334_Computer_and_electronic_products,73,1,10,31,350,28,4651,724,942,1454,3426,7091,88481,3958,12295,9548,978,2299,1636,619,77,654,1256,202,4145,1754,4104,331,270,247,1714,2,70,1,153,1,37,277,137,2064,1281,15471,1968,659,589,43,305,114,331,201,1223,2324,6909,8630,2613,518,981,2449,212,100,250,17,116,468,131
335_Electrical_equipment_appliances_and_components,448,226,24,27,126,25,27396,1805,130,2326,2536,10741,6158,9280,5511,2333,82,1072,538,59,11,289,99,125,812,1085,361,151,58,443,395,2,167,39,60,37,4,17,368,1,0,3088,321,165,115,25,0,1,361,172,2,506,4072,121,1728,678,651,59,365,318,236,25,161,262,598
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,790,78,201,680,371,20,1274,786,677,617,1079,11851,1407,412,151818,3965,377,549,1832,150,2,697,219,96,1074,405,3527,4716,801,177,2726,0,34,0,3335,330,2,61,1261,981,61,757,29,36,17,0,0,0,0,387,0,22,1875,491,4046,1440,420,249,313,63,798,94,52,67,432
3364OT_Other_transportation_equipment,0,33,0,43,0,0,12,70,0,0,55,398,0,0,356,54245,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,1043,1072,1266,7,26,0,534,0,0,0,2,0,0,0,0,0,0,0,0,0,0,245,16,25,25,0,0,0,0,178,0,18,0,0
337_Furniture_and_related_products,7,0,0,0,0,0,16720,570,0,0,0,514,345,2,38,270,3679,324,0,0,0,0,0,0,0,490,201,117,0,1,611,0,0,2,0,0,0,7,0,0,0,163,320,0,0,0,0,2997,13,0,2,0,189,5,0,0,0,259,34,1,61,315,225,3,275
339_Miscellaneous_manufacturing,120,2,8,25,19,0,864,12,324,48,34,2298,16,852,1321,35,53,6645,34,104,343,1,12,4,806,113,768,63,82,6,615,0,1,0,4,17,6,227,131,9,2,98,70,244,116,18,0,0,163,29,20,16,1382,19,1720,806,403,14771,13704,879,2187,146,578,232,491
311FT_Food_and_beverage_and_tobacco_products,21751,308,0,0,0,0,0,22,232,7,0,0,0,0,0,0,0,7,136048,6,626,1038,740,147,3763,133,1315,2,2494,694,1036,167,1,193,5,0,0,23,0,81,9,0,2,0,0,0,0,0,0,0,0,0,528,108,0,0,5198,14,5055,4413,5211,734,2995,3646,32239
313TT_Textile_mills_and_textile_product_mills,249,86,0,3,0,0,1147,723,333,0,0,712,23,0,1949,725,3688,2536,138,11671,3841,2141,369,52,1,2201,926,42,150,1492,1724,0,0,143,11,0,4,58,1,25,158,8,7,0,0,0,0,0,52,126,0,0,111,5,111,86,53,52,495,1922,729,1,666,1592,261
315AL_Apparel_and_leather_and_allied_products,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1717,0,0,72,10,294,4087,0,983,7,0,1,736,8,0,685,228,0,0,0,0,0,0,0,0,24,17,1749,0,0,0,0,0,0,0,70,0,0,25,6,293,166,68,138,228,0,485,59,49,20,253
322_Paper_products,400,1,23,182,86,17,2621,695,1969,1441,2150,2119,1638,1241,2276,638,1419,2656,21190,659,77,43859,11081,192,7300,4707,3679,75,1186,316,1479,17,33,10,140,351,140,2220,121,3267,166,383,157,1433,255,185,6,0,458,430,307,201,2818,499,2688,225,278,1610,2035,987,508,97,159,1382,2194
323_Printing_and_related_support_activities,43,0,6,7,0,63,54,18,0,0,3,18,0,5,4,0,0,0,330,0,172,0,3279,8,1322,0,5956,109,239,156,3149,7,26,0,195,54,24,268,7,13536,989,572,2284,674,2197,2071,0,0,57,457,923,288,5836,1335,2719,18,1239,1843,1558,158,1435,1060,308,688,681
324_Petroleum_and_coal_products,9607,707,1654,5011,3238,23725,45905,1284,1720,3368,1474,2364,700,1373,741,441,451,866,3796,336,72,2569,3103,18517,24202,1547,3928,508,523,135,1563,33433,6412,6619,27827,2618,26,7832,230,397,138,635,403,8130,2396,60,660,6,3295,2030,151,720,1861,1592,4221,1662,902,801,2255,1141,452,312,1212,812,2962
325_Chemical_products,17322,2005,2139,2271,1465,918,9361,2517,4952,1999,7813,4009,6684,3305,6620,1762,2331,7882,5484,13605,336,10801,5293,6674,227679,59445,1270,70,62,50,612,1,163,6,161,13,4,203,377,684,217,542,156,102,114,24,0,179,6116,278,209,81,8033,2077,6165,757,849,29129,35278,2654,601,133,594,82,316
326_Plastics_and_rubber_products,1580,70,28,1095,464,8,23723,1071,1489,880,2339,6976,4640,1990,21311,3327,4484,5791,15458,541,225,2585,676,198,12198,16431,6788,769,1411,314,3248,7,5,1,773,28,84,2893,137,752,70,3192,185,235,98,257,1,1,315,647,73,259,4295,277,1470,337,482,5829,1914,1003,699,30,212,93,3853
