commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,3842,212,2,4,0,23,369,1,10,1,1,1,2,1,1,1,0,26,22047,1960,90,0,1,0,43,0,222,102,11,0,15,2,41,0,2,0,94,16,41,35,1,352,2,-126,31,152,5
113FF_Forestry_fishing_and_related_activities,1424,826,0,1,19,5,192,1298,4,3,4,16,1,2,1,2,15,13,383,25,133,540,0,0,173,230,68,51,3,0,3,0,2,0,0,0,0,0,1,1,0,130,1,23,0,3,1
211_Oil_and_gas_extraction,0,0,151,0,0,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8118,17,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
212_Mining_except_oil_and_gas,107,0,2,941,6,940,562,4,811,2406,50,10,5,8,18,5,2,112,37,15,5,141,1,246,492,19,0,1,31,0,23,2,35,0,10,0,22,4,10,1,1,0,10,205,15,64,77
213_Support_activities_for_mining,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,198,4,35,246,1,286,224,62,387,724,226,111,97,83,147,107,31,45,265,128,66,254,81,516,544,78,228,2746,227,16,185,547,194,19,473,191,179,174,452,86,69,92,529,266,14,795,498
23_Construction,202,1,0,16,1,170,11,5,10,24,6,1,0,1,23,5,0,4,48,9,4,17,9,212,34,3,39,365,410,9,48,73,3924,3,4,45,16,55,144,30,18,24,160,535,13,2103,188
321_Wood_products,105,44,12,63,8,204,2892,1507,96,50,125,55,25,43,85,65,686,179,77,10,56,303,37,14,44,29,24,27,53,1,122,4,87,0,5,2,4,7,18,4,6,0,20,14,5,13,43
327_Nonmetallic_mineral_products,42,1,21,60,99,331,4794,54,1273,87,201,97,236,188,380,52,74,99,577,18,10,16,0,75,196,32,17,167,44,0,187,2,83,110,3,4,4,9,24,4,8,0,175,26,9,44,67
331_Primary_metals,6,16,18,177,513,177,2353,92,134,8677,6412,2147,828,1761,3549,1347,283,647,15,7,6,46,19,283,350,47,1,6,225,0,107,2,72,0,13,0,4,5,13,2,3,0,19,120,4,3,42
