commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,36700,598,0,57,30,0,2059,0,0,0,0,0,0,0,0,0,0,470,168874,1678,0,0,0,0,6678,0,1320,40,750,185,162,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,1,0,1,1,391,20,580,0,96,0,0,0,0,0,322,23,892
113FF_Forestry_fishing_and_related_activities,19130,5374,0,77,0,0,0,9068,1,0,0,0,0,0,0,0,28,178,5777,0,74,3287,31,6,303,1324,0,0,434,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,7,1,0,53,0,0,0,0,0,132,276,2274
211_Oil_and_gas_extraction,0,0,17542,25,3,42120,0,5,0,37,2,1,0,0,1,0,0,0,4,0,0,6,1,304080,5526,6,27,2,9,5,21,0,0,0,0,0,191,0,4,3,0,3,0,0,0,0,0,0,0,0,0,1,18,63,4,7,6,12,44,17,8,4,20,35,89
212_Mining_except_oil_and_gas,2251,1,37,6761,54,12664,11588,11,7175,13963,558,138,20,146,86,81,25,254,2684,133,0,1905,0,1278,5100,183,10,0,0,0,1,0,61,0,3,0,0,1,2,44,11,126,56,0,0,0,0,0,0,0,0,0,693,52,251,38,182,0,40,25,15,198,499,71,447
213_Support_activities_for_mining,0,0,6098,1799,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,4838,142,1472,3147,102,24335,4724,1472,3498,5934,4691,2369,2134,989,4026,1337,670,1376,11590,1290,260,5278,1288,2270,13271,4274,7103,591,6428,4577,10082,100,59,91,821,204,1842,5070,6266,690,216,2024,887,2434,769,343,1125,3,52050,1754,294,406,2622,7133,1430,345,5856,2294,4836,1761,976,662,2096,5170,16972
23_Construction,1601,40,673,1786,1346,4557,278,176,389,587,721,528,497,170,564,263,118,247,1584,92,58,552,304,6196,1418,502,976,96,434,503,1458,90,1229,57,294,145,1526,384,450,129,39,1972,102,5774,1181,548,219,57950,43786,112,80,35,792,478,316,33,575,435,587,301,348,133,377,750,1515
321_Wood_products,327,35,0,74,75,0,29121,12620,264,241,178,565,249,187,1835,310,4822,925,247,43,2,3405,5,0,247,929,1193,23,363,83,537,0,1073,0,53,0,16,40,83,170,55,512,685,50,3,11,0,1,1712,106,3,4,305,2,350,10,36,201,118,2,681,4,90,295,555
327_Nonmetallic_mineral_products,15,36,230,336,366,21,43902,531,9768,1833,848,1697,410,1181,4519,256,203,711,4466,152,0,303,1,723,1425,1002,131,58,42,60,399,0,7,0,23,0,1,23,61,10,1,1568,464,39,9,11,0,1,27,86,9,53,2178,87,649,90,73,1324,696,80,136,10,90,56,1188
331_Primary_metals,79,0,1275,488,311,1,3471,281,688,43974,48941,21372,4476,11194,26792,8888,2134,6777,4085,247,0,243,24,29,30,975,1156,2,0,0,1070,0,846,0,0,0,0,150,0,28,6,141,97,0,0,2,0,0,340,62,0,6,714,29,199,282,74,110,42,9,144,23,168,15,47
