commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,64162,706,0,34,18,0,1945,0,0,0,0,0,0,0,0,0,0,192,214788,1879,0,0,0,0,7108,0,1371,445,1318,311,340,0,0,0,0,0,0,130,0,0,0,0,0,2,0,0,0,1,4,0,2,1,788,33,1023,0,131,0,0,0,0,0,571,43,1903
113FF_Forestry_fishing_and_related_activities,22531,7765,0,81,0,0,0,11395,1,0,0,0,0,0,0,0,39,172,7862,0,34,5639,50,19,383,1740,0,0,812,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,14,2,0,81,0,0,0,0,0,233,489,3728
211_Oil_and_gas_extraction,0,0,20585,0,0,23911,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,285152,3289,0,17,1,0,1,28,0,0,0,0,0,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0,10,1,0
212_Mining_except_oil_and_gas,1935,1,55,5921,54,9624,16435,7,7918,10047,395,107,2,69,48,188,17,78,943,52,0,1099,0,2566,3945,112,15,0,0,0,2,0,133,0,6,1,0,3,2,35,15,198,389,0,0,0,0,32,0,0,0,0,960,49,487,61,240,0,65,35,39,256,591,70,332
213_Support_activities_for_mining,0,0,11461,1265,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,4462,155,3883,2733,114,28534,5088,1509,3219,5946,4007,1968,812,651,2703,1112,556,824,8416,1074,57,5183,1108,6330,14964,4594,15664,3664,8140,4797,16358,107,101,115,1797,143,720,1374,11874,906,324,4589,1571,2565,1197,731,1695,17,94966,1226,542,291,4271,8840,3380,642,7073,3219,10470,2433,1240,776,2623,6375,19690
23_Construction,1603,50,1242,1876,1411,9712,276,220,360,571,588,415,109,105,576,208,87,138,1247,94,10,653,194,7687,1691,495,2423,740,597,571,2900,256,2442,36,341,192,929,1981,903,91,30,2199,191,3711,1189,431,368,76766,62590,312,122,36,882,646,527,51,655,387,971,272,269,213,445,992,1888
321_Wood_products,506,72,0,425,309,0,43115,24983,250,435,225,752,246,362,3333,206,6513,1148,456,46,5,5766,4,0,231,1344,4455,100,746,145,1204,0,2018,0,134,0,1,92,263,76,62,883,1298,75,4,7,0,84,5070,343,11,12,666,3,644,16,27,297,229,4,812,7,146,503,890
327_Nonmetallic_mineral_products,23,63,849,485,847,84,65343,705,13449,1874,1090,2429,168,1417,6719,405,306,799,4664,137,0,365,2,1741,1802,1611,153,322,84,306,958,0,19,0,101,0,0,44,194,7,2,2795,1025,74,68,9,0,107,81,413,1,77,3324,95,1073,164,68,2393,1761,211,305,9,127,135,2224
331_Primary_metals,81,0,4340,639,453,6,4786,443,949,60624,62952,29568,2651,13341,49885,10199,3640,5392,4919,152,0,655,31,67,64,1524,1018,5,0,0,647,0,684,0,0,0,0,394,0,28,11,283,426,0,0,1,0,2,2214,79,0,2,1323,42,444,431,108,93,25,18,256,16,276,17,132
