commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,9000,312,1,1,0,5,317,0,1,1,2,2,3,1,2,3,0,28,37261,1245,0,16,1,0,78,1,380,36,9,1,0,0,0,0,1,0,1,1,2,0,3,1,3,0,114,1,1,0,3,1,1,0,15,29,117,9,110,22,39,835,4,-349,1,307,5
113FF_Forestry_fishing_and_related_activities,2699,2514,1,58,0,68,264,3740,11,12,26,22,5,8,4,3,6,26,761,16,79,1130,1,1,94,198,45,67,2,0,0,0,0,0,0,0,4,1,73,0,2,1,0,0,0,1,0,0,2,0,1,2,59,3,35,0,82,18,35,289,12,7,0,44,6
211_Oil_and_gas_extraction,0,0,658,0,0,3222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12651,71,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,143,26,9,1316,11,1969,842,33,1326,4702,74,25,10,12,52,11,7,339,60,18,5,206,2,99,804,45,1,3,0,50,2,4,1,22,2,0,1,0,69,0,0,0,0,0,76,3,1,0,6,1,4,13,33,1,21,3,5,1,16,0,25,24,82,59,171
213_Support_activities_for_mining,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,568,68,177,598,1,19,185,314,929,1793,744,420,269,263,547,240,97,141,799,378,161,662,158,545,1612,320,472,3867,37,79,47,18,97,105,41,28,65,58,213,20,665,19,111,71,815,50,20,5,144,331,88,187,433,223,691,178,125,58,495,514,604,354,123,2221,714
23_Construction,690,57,0,159,0,0,113,27,60,46,29,18,5,0,48,28,1,7,49,8,1,190,38,376,259,66,173,903,37,83,60,33,32,177,40,30,52,57,20,14,417,5,36,17,10463,104,0,4,102,80,77,64,238,84,796,6,101,23,107,177,297,1358,25,7268,545
321_Wood_products,96,18,32,30,4,218,9251,3181,130,209,264,132,43,112,307,113,1099,357,74,71,35,386,2,8,41,48,13,8,1,62,1,6,1,30,8,1,1,0,136,0,2,0,1,1,98,8,1,0,16,1,11,16,16,4,24,33,7,1,23,0,42,16,15,18,175
327_Nonmetallic_mineral_products,10,20,45,73,103,357,10466,240,1914,286,290,175,290,286,919,88,127,131,1349,56,8,33,6,48,289,95,33,100,2,114,2,8,15,52,3,0,3,1,209,0,6,2,2,0,172,32,12,0,41,4,25,29,58,17,93,7,14,3,47,57,117,15,19,80,269
331_Primary_metals,7,30,98,247,458,100,3510,327,155,14085,13089,5913,1279,3796,8398,1820,503,1544,49,12,23,105,72,44,607,149,1,4,0,85,9,2,2,13,6,0,2,0,60,0,2,1,0,0,43,5,1,0,11,1,8,7,7,1,11,36,3,1,7,11,18,131,6,5,67
