commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,1592,113,0,0,0,3,68,13,0,0,0,0,1,0,0,0,0,25,18549,2453,124,10,0,0,48,7,70,227,12,0,3,0,8,0,0,0,0,39,128,2,0,129,0,0,6,49,0
113FF_Forestry_fishing_and_related_activities,1053,85,2,14,11,9,193,374,8,52,17,6,1,3,7,4,41,30,532,96,172,40,0,2,135,171,2,6,6,0,10,1,14,0,0,0,0,1,5,1,0,76,1,0,1,7,4
211_Oil_and_gas_extraction,0,0,63,0,0,389,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3274,21,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,34,0,1,748,3,398,151,15,256,1264,125,13,2,8,18,4,3,102,46,26,13,84,1,327,112,6,13,43,359,0,8,1,36,0,0,0,0,5,15,2,4,2,11,4,2,120,16
213_Support_activities_for_mining,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,38,3,10,106,0,535,21,30,86,159,98,61,7,32,60,23,11,21,107,53,39,66,12,88,59,13,115,372,93,5,31,60,137,3,14,81,4,14,44,82,60,2,195,4,3,208,35
23_Construction,196,0,2,3,0,0,3,2,10,11,16,7,1,3,11,5,2,5,24,13,18,9,1,0,6,2,28,91,380,3,2,22,1900,0,0,10,0,7,23,14,3,11,10,48,2,1085,0
321_Wood_products,129,96,13,100,4,67,1422,1104,23,75,118,61,11,43,69,46,270,170,104,22,74,303,2,22,36,2,10,31,70,0,72,10,104,0,4,4,1,3,11,11,8,1,26,16,4,12,27
327_Nonmetallic_mineral_products,26,4,23,29,54,72,1196,34,310,133,91,89,21,118,215,23,32,30,222,4,28,20,3,81,61,9,25,82,38,0,64,11,58,29,1,4,0,3,9,3,2,1,19,1,3,15,15
331_Primary_metals,28,18,23,110,352,104,1077,137,24,4223,2531,934,135,734,1412,341,68,468,35,9,34,49,14,681,166,8,3,11,188,0,82,19,72,0,14,0,4,2,7,2,6,0,51,6,2,2,11
332_Fabricated_metal_products,134,29,63,90,58,116,2362,128,38,591,1145,605,77,383,1098,244,86,178,601,9,73,59,9,118,131,24,26,84,184,1,136,28,231,8,25,11,8,6,19,4,12,3,120,4,5,32,45
333_Machinery,5,10,24,89,61,6,120,87,21,91,379,609,17,93,457,211,8,41,35,37,1,51,36,28,14,8,6,18,47,1,56,1,4,0,72,1,22,9,29,35,37,1,135,37,1,21,0
334_Computer_and_electronic_products,11,5,8,11,0,7,109,22,6,25,106,60,202,57,152,40,18,61,11,2,16,23,2,7,12,5,9,30,21,0,124,17,14,0,11,5,4,12,40,1,14,0,47,10,0,17,4
335_Electrical_equipment_appliances_and_components,8,1,13,12,3,21,190,16,14,11,124,313,21,312,186,68,1,40,9,1,6,21,1,6,13,4,9,29,44,0,13,5,20,3,6,1,2,1,3,17,4,1,81,11,1,15,4
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,67,6,14,42,1,16,131,48,20,41,199,227,25,161,3630,85,10,45,54,4,24,17,6,11,17,6,125,406,177,0,24,14,10,58,24,2,7,1,3,1,13,6,298,6,1,55,8
