commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,2376,207,1,2,0,7,159,14,1,1,2,1,2,1,1,1,0,36,19087,2638,152,9,1,1,62,5,107,350,14,0,8,1,25,0,1,0,0,40,117,5,0,235,1,2,39,69,0
113FF_Forestry_fishing_and_related_activities,1404,145,2,21,27,15,356,835,13,48,32,13,2,3,8,11,51,45,653,87,184,63,0,3,200,165,20,69,7,0,15,1,24,0,0,0,0,2,5,2,0,143,2,83,1,8,2
211_Oil_and_gas_extraction,0,0,65,0,0,869,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5501,26,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
212_Mining_except_oil_and_gas,59,0,1,1164,6,567,343,16,321,1327,210,14,2,8,22,8,3,116,39,25,11,101,1,563,179,7,10,32,264,0,15,2,52,0,9,0,3,4,12,1,2,1,12,281,5,144,23
213_Support_activities_for_mining,0,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,115,5,12,180,1,665,69,43,123,218,195,74,13,38,92,59,14,31,130,86,48,108,17,204,121,18,255,853,95,10,64,70,249,5,77,131,24,33,95,49,44,10,214,350,5,344,63
23_Construction,194,0,1,3,0,0,4,2,7,7,16,6,1,2,17,9,1,5,37,7,9,12,4,0,7,1,61,205,334,6,9,26,3332,0,0,18,0,23,66,19,2,17,24,553,1,1332,23
321_Wood_products,118,155,11,132,8,96,2279,1702,33,62,179,60,12,41,72,105,305,211,92,18,80,416,3,24,47,2,17,57,73,0,101,10,154,0,8,7,2,4,13,9,8,1,32,84,4,23,12
327_Nonmetallic_mineral_products,27,4,16,45,112,113,2220,42,444,135,191,101,37,113,278,61,49,47,250,7,29,19,2,118,87,13,35,114,36,0,94,9,102,40,2,7,1,4,11,2,4,1,60,11,4,15,14
331_Primary_metals,18,12,14,150,707,108,1546,132,25,4118,4622,1038,187,731,1598,786,82,554,31,8,18,43,13,841,181,5,3,8,144,0,103,13,104,0,17,1,5,2,7,1,3,0,42,250,1,2,7
332_Fabricated_metal_products,252,33,61,161,151,290,5295,178,64,867,2532,853,146,496,1753,843,151,299,968,16,85,103,12,327,252,32,33,105,200,1,250,29,420,14,81,22,25,10,28,3,11,3,200,319,6,62,33
333_Machinery,4,7,18,128,114,9,215,73,17,90,603,748,25,94,463,539,7,45,22,44,2,46,35,41,30,4,5,16,62,1,64,1,6,0,121,1,38,10,28,20,23,0,118,1731,0,28,1
334_Computer_and_electronic_products,8,3,4,9,0,17,128,15,6,21,126,65,245,57,160,138,18,79,7,2,10,20,1,20,11,3,9,29,20,0,103,9,11,0,11,5,4,12,36,0,15,0,61,835,0,21,1
335_Electrical_equipment_appliances_and_components,6,1,8,17,4,24,324,15,11,18,155,261,26,255,188,127,1,44,7,1,3,15,1,13,12,2,8,25,34,0,16,3,25,3,4,1,1,1,3,7,6,0,68,375,1,14,3
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,66,5,10,54,1,19,261,42,18,56,345,254,35,165,4957,218,8,52,46,3,14,17,4,23,17,4,160,524,157,1,27,10,15,85,36,3,11,2,5,0,8,3,389,244,1,92,4
3364OT_Other_transportation_equipment,1,8,3,80,0,2,46,11,1,2,12,33,1,0,11,903,0,2,0,0,0,1,0,2,2,0,0,1,125,0,4,1,2,0,17,0,5,1,3,0,3,0,21,2752,0,1,0
