commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,39317,637,0,62,33,0,1905,0,0,0,0,0,0,0,0,0,0,362,181635,2338,0,0,0,0,7900,0,1421,277,733,155,221,0,0,0,0,0,0,51,0,0,0,0,0,1,0,0,0,0,2,0,1,1,436,16,671,0,128,0,0,0,0,0,303,24,991
113FF_Forestry_fishing_and_related_activities,19240,5998,0,82,0,0,0,9317,2,0,0,0,0,0,0,0,42,268,6418,0,103,4238,47,13,567,2263,0,0,613,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,9,1,0,61,0,0,0,0,0,146,329,2873
211_Oil_and_gas_extraction,0,0,38478,16,2,45906,0,3,0,48,1,0,0,0,0,0,0,0,2,0,0,4,0,404863,6375,3,29,5,7,4,17,0,0,0,0,0,78,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,11,43,2,4,5,8,33,10,5,2,12,23,62
212_Mining_except_oil_and_gas,2141,2,80,5865,53,13629,10721,9,7073,17590,514,112,17,111,59,84,18,196,1945,95,0,1655,0,1216,5033,128,15,0,0,0,1,0,108,0,4,0,0,1,2,34,11,138,80,0,0,0,0,0,0,0,0,0,787,48,299,39,232,0,40,24,16,202,546,71,419
213_Support_activities_for_mining,0,0,8266,1867,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,5318,191,4048,3540,128,31952,4272,1727,3791,7370,4584,2308,1666,1004,3298,1655,607,1201,11501,1154,201,5960,1301,2504,14920,4368,13396,2729,8681,6615,13898,138,113,115,1453,184,1920,4276,9476,639,275,2588,1026,3026,898,473,1703,4,59926,2366,375,416,3127,8421,1613,363,6646,3065,7142,2149,1383,800,2662,5996,20480
23_Construction,1434,40,1874,1698,1597,6266,220,185,368,726,679,485,309,143,492,327,107,209,1523,78,31,626,292,5496,1582,491,1659,433,506,628,1757,68,1557,46,318,129,1156,631,630,98,37,2166,106,3694,902,605,309,58465,45113,154,92,34,709,488,324,23,677,478,731,305,366,140,379,757,1591
321_Wood_products,244,51,0,60,92,0,27231,14254,329,294,193,691,194,176,2315,282,4913,969,285,46,1,4176,6,0,250,1024,1699,59,375,82,560,0,1207,0,61,0,8,44,102,123,66,649,787,56,3,9,0,1,2844,186,6,8,419,2,381,10,54,198,170,2,940,4,109,246,681
327_Nonmetallic_mineral_products,6,45,521,361,410,29,40324,543,9928,2362,915,1947,352,1372,4960,279,281,680,4308,182,0,367,2,813,1637,1108,200,160,52,41,472,0,11,0,36,0,1,28,103,6,1,1884,501,50,9,11,0,1,42,162,9,75,2780,90,697,93,101,1449,1121,295,204,10,98,63,1337
331_Primary_metals,116,0,4052,587,456,1,3641,327,729,70310,58846,27557,4486,13573,36800,9224,2513,6992,4697,324,0,351,28,30,44,1241,1328,4,0,0,924,0,933,0,0,0,0,184,0,22,6,194,123,0,0,2,0,0,690,92,0,13,1081,31,246,266,108,118,57,10,237,26,196,17,64
332_Fabricated_metal_products,1602,157,3566,991,944,1012,55375,1803,2436,5357,32795,23469,7096,7153,32951,9146,2413,4751,14407,690,152,4519,1451,463,9150,5535,1598,298,127,88,1212,158,319,1448,870,77,745,387,375,1001,14,8128,924,150,142,5,15,1,586,649,21,1041,4133,634,1596,1582,342,285,503,20,1307,26,580,589,2103
333_Machinery,3856,419,5125,3050,3192,371,19024,334,175,1232,2816,27794,471,867,15743,3641,75,1468,2493,30,8,862,1137,111,2220,984,1700,193,108,143,612,5,134,18,135,40,137,1091,382,152,36,1442,410,15,48,19,0,1,80,828,39,692,1725,121,1808,2029,1428,344,411,196,120,44,88,38,495
334_Computer_and_electronic_products,54,1,22,28,321,39,5301,451,789,1666,3190,7022,45170,3330,11604,9309,653,2033,2072,502,59,720,1153,180,4253,1540,6279,391,250,296,2001,3,121,2,136,1,19,88,157,2305,787,17201,2371,670,500,20,406,55,215,169,1267,4465,5980,7348,2178,362,696,4307,276,136,337,15,86,275,108
335_Electrical_equipment_appliances_and_components,675,254,40,26,124,10,23269,490,100,2171,1709,10433,3121,7262,4223,2118,54,915,678,45,8,322,94,89,806,841,357,102,26,300,214,1,133,35,41,43,3,27,321,1,0,3503,296,106,48,12,0,0,266,150,1,894,3407,120,1541,430,496,27,405,406,295,24,120,214,512
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,741,101,421,660,308,13,1670,325,381,504,890,9176,636,318,127755,2812,180,359,1668,62,2,583,158,119,765,271,4028,4552,790,192,2206,0,39,0,3270,140,1,79,2131,479,39,778,46,36,16,0,0,0,0,482,0,30,2037,416,3717,1139,679,262,494,77,1232,38,44,79,381
3364OT_Other_transportation_equipment,0,12,0,47,0,0,2,25,0,0,40,505,0,0,273,44649,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,1247,1362,1788,1,7,0,640,0,0,0,4,0,0,0,0,0,0,0,0,0,0,333,8,29,24,0,0,0,0,201,0,2,0,0
337_Furniture_and_related_products,0,0,0,0,0,0,9416,866,2,0,0,346,142,2,29,159,3612,223,0,0,0,2,0,0,0,307,440,158,0,0,743,0,0,1,0,0,0,5,0,2,0,188,290,0,0,0,0,732,58,0,35,5,232,11,6,0,0,312,60,1,99,220,229,3,268
339_Miscellaneous_manufacturing,222,4,17,26,15,0,1264,13,472,40,37,2678,4,583,1207,67,23,5405,32,105,177,0,8,5,559,81,1887,59,83,8,524,0,1,0,4,8,2,125,184,5,1,116,65,264,86,15,0,0,198,29,45,34,1260,12,1155,408,314,14586,18278,584,2074,154,440,174,367
