commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,1948,170,0,2,0,6,167,9,2,1,2,1,3,1,2,1,0,27,18941,2026,133,6,1,1,39,3,113,291,10,0,8,2,26,0,1,0,0,29,88,6,0,205,1,1,64,52,0
113FF_Forestry_fishing_and_related_activities,1196,125,1,17,29,14,366,866,11,45,22,13,2,2,8,11,50,37,761,63,161,67,0,2,147,140,33,87,5,0,14,1,20,0,1,0,0,2,5,2,0,137,2,65,1,5,2
211_Oil_and_gas_extraction,0,0,78,0,0,1368,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5990,26,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
212_Mining_except_oil_and_gas,65,0,1,1236,8,637,470,15,319,1756,179,13,3,7,27,8,3,106,49,24,11,119,1,519,176,8,9,23,184,0,18,3,50,0,15,0,5,4,11,1,2,1,14,243,9,133,32
213_Support_activities_for_mining,0,0,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,144,5,13,214,2,748,108,50,137,340,190,75,23,39,136,75,18,35,199,106,60,149,25,212,137,22,417,1097,92,5,85,98,293,7,122,147,39,52,155,50,53,14,253,314,9,398,91
23_Construction,198,0,1,3,1,0,5,2,5,7,11,5,1,1,26,9,1,6,61,5,7,15,8,0,7,1,101,265,306,3,14,38,3961,1,0,22,0,38,113,28,1,19,36,450,1,1393,34
321_Wood_products,95,146,8,111,9,97,2488,1717,31,62,128,46,15,32,75,103,324,182,102,15,80,465,3,16,36,2,23,60,59,0,97,10,133,0,9,8,3,5,14,8,8,1,34,50,5,23,15
327_Nonmetallic_mineral_products,24,3,12,43,121,120,2570,39,420,158,160,84,56,88,331,65,58,46,315,7,29,17,2,93,74,14,42,108,28,0,94,8,100,42,1,7,0,4,12,2,6,1,77,8,5,11,17
331_Primary_metals,16,9,13,176,984,123,2119,140,27,6254,4794,1126,341,777,2350,1038,115,625,47,9,16,52,17,808,173,6,3,7,130,0,126,15,120,0,21,1,7,3,10,1,4,0,49,240,2,1,10
332_Fabricated_metal_products,226,22,43,137,152,310,5660,144,55,1017,1851,660,198,379,1933,858,161,253,1195,16,75,108,12,271,205,30,31,79,135,1,232,24,341,14,94,20,30,10,30,3,10,2,201,232,7,56,38
333_Machinery,3,4,15,126,125,10,258,56,12,111,481,688,37,82,523,607,7,39,21,45,2,45,38,34,30,3,5,14,60,1,60,1,6,0,140,1,44,10,30,16,22,0,111,1370,1,26,1
334_Computer_and_electronic_products,9,3,4,10,0,30,198,17,9,37,138,84,501,75,280,242,28,112,12,2,13,30,2,26,12,5,15,39,25,0,132,10,12,0,16,6,5,19,58,0,26,0,97,855,0,29,2
335_Electrical_equipment_appliances_and_components,6,1,7,18,5,26,423,14,10,29,125,227,42,227,242,139,1,44,9,2,3,15,1,13,9,2,9,22,28,0,18,3,25,4,3,2,1,1,4,5,8,0,71,310,1,12,4
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,68,5,10,59,2,22,386,41,17,94,342,270,63,173,7669,293,9,56,65,3,13,20,5,26,15,5,235,611,146,0,30,11,18,113,46,4,14,3,9,0,9,2,513,231,2,113,6
3364OT_Other_transportation_equipment,2,14,6,182,0,4,103,21,1,5,14,52,2,1,27,1882,0,3,1,1,1,1,0,3,5,0,1,3,209,0,8,3,4,0,30,0,9,4,11,0,4,0,38,3948,0,3,0
337_Furniture_and_related_products,0,0,1,4,0,14,433,8,1,3,4,4,101,3,21,51,70,25,1,0,1,1,0,1,1,0,0,0,2,0,15,25,51,0,0,1,0,1,2,0,3,0,13,2,0,1,1
339_Miscellaneous_manufacturing,13,4,2,8,2,18,168,66,9,28,64,53,60,34,114,112,11,587,57,80,263,26,19,9,158,2,53,136,47,0,57,77,50,0,105,1,33,29,87,63,95,2,283,216,4,207,3
311FT_Food_and_beverage_and_tobacco_products,3138,32,4,13,0,20,83,25,17,34,72,44,41,28,51,41,45,112,11595,139,1060,144,41,30,588,7,413,1072,184,0,65,63,23,2,51,0,16,97,292,107,11,7630,48,127,34,387,2
313TT_Textile_mills_and_textile_product_mills,48,37,2,5,1,0,14,27,28,43,23,17,17,13,255,21,247,464,125,4360,2555,84,14,1,1467,214,234,600,20,0,22,21,0,0,13,0,4,5,14,3,31,1,111,133,0,11,1
315AL_Apparel_and_leather_and_allied_products,5,0,0,1,5,0,2,11,4,5,28,13,5,5,36,9,8,61,12,12,2867,4,3,2,229,2,6,15,4,0,5,5,1,6,3,0,1,3,8,4,16,0,43,44,0,30,0
322_Paper_products,9,20,6,39,1,20,264,96,219,71,213,97,67,89,168,78,59,293,854,130,230,3266,1011,72,313,28,244,629,38,1,1058,109,37,2,76,2,24,19,58,7,29,6,95,134,7,85,5
323_Printing_and_related_support_activities,6,2,1,2,0,8,8,19,8,16,21,9,6,6,14,13,2,11,59,10,27,29,445,8,21,4,47,125,33,0,499,161,14,2,86,36,27,34,102,8,2,0,24,86,4,111,5
324_Petroleum_and_coal_products,808,42,21,133,179,359,1132,30,55,365,118,83,30,38,108,74,7,41,143,35,45,143,21,722,123,6,120,1225,1179,3,210,74,123,4,443,9,121,32,96,19,14,5,249,0,0,0,0
325_Chemical_products,692,13,22,165,54,49,736,139,150,294,269,122,54,107,306,96,69,202,275,1092,1158,333,82,231,2243,315,69,176,84,0,125,23,165,49,45,7,14,76,227,4,51,3,206,960,2,380,26
326_Plastics_and_rubber_products,74,6,4,32,8,9,127,37,13,23,118,77,30,68,491,95,52,97,53,39,212,63,5,12,33,37,24,62,89,0,16,18,30,59,23,9,7,5,15,2,7,0,128,93,0,39,3
42_Wholesale_trade,1057,64,20,214,140,225,1618,317,148,794,833,541,233,242,1321,368,136,546,1954,620,718,516,149,492,589,70,347,1288,607,1,314,79,140,39,254,14,72,40,118,26,36,428,315,515,7,121,11
44RT_Retail_trade,453,23,9,63,29,111,1080,212,43,185,245,120,68,69,580,196,57,101,1038,73,227,101,15,50,158,17,75,359,261,1,89,27,68,14,97,2,31,19,54,16,15,0,91,9,5,30,7
48_Transportation,1267,109,63,361,313,228,1856,715,157,873,405,146,66,98,503,166,65,154,1898,293,271,336,111,697,295,37,352,989,4847,24,202,412,79,42,155,10,47,65,104,51,17,278,128,262,445,94,24
493_Warehousing_and_storage,48,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,1,0,0,0,1,0,3,0,17,49,423,5,8,149,21,12,65,0,8,1,4,1,1,3,5,93,0,32,2
