commodity,import_PCE
111CA_Farms,1285.9760337798486
113FF_Forestry_fishing_and_related_activities,531.84848709033065
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,4.941081058308055
213_Support_activities_for_mining,-0
22_Utilities,848.2206119859884
23_Construction,-0
311FT_Food_and_beverage_and_tobacco_products,12745.968483991257
313TT_Textile_mills_and_textile_product_mills,1593.0756396765619
315AL_Apparel_and_leather_and_allied_products,33257.83765034546
321_Wood_products,85.79657125620056
322_Paper_products,894.5228812492129
323_Printing_and_related_support_activities,18.146079732302546
324_Petroleum_and_coal_products,5567.9561588945435
325_Chemical_products,6226.680686029475
326_Plastics_and_rubber_products,906.6334602845143
327_Nonmetallic_mineral_products,410.57850287325823
331_Primary_metals,86.79828487961174
332_Fabricated_metal_products,425.93316678204854
333_Machinery,1011.7039429179828
334_Computer_and_electronic_products,6425.044277537652
335_Electrical_equipment_appliances_and_components,3044.7189203218272
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,33271.50062517568
3364OT_Other_transportation_equipment,707.9467901494422
337_Furniture_and_related_products,1889.3129916981788
339_Miscellaneous_manufacturing,9919.831678341416
42_Wholesale_trade,0
44RT_Retail_trade,-0
481_Air_transportation,3028.3023468934807
482_Rail_transportation,27.369910522300064
483_Water_transportation,0
484_Truck_transportation,82.57104545026819
485_Transit_and_ground_passenger_transportation,-0
486_Pipeline_transportation,-0
487OS_Other_transportation_and_support_activities,-0
493_Warehousing_and_storage,-0
511_Publishing_industries_except_internet_includes_software,998.5849602169621
512_Motion_picture_and_sound_recording_industries,34.99628591282678
513_Broadcasting_and_telecommunications,-0
514_Data_processing_internet_publishing_and_other_information_services,-0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,93.43253917821076
523_Securities_commodity_contracts_and_investments,-0
524_Insurance_carriers_and_related_activities,1716.3963525725935
525_Funds_trusts_and_other_financial_vehicles,-0
531_Real_estate,-0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0.4956949569495695
5411_Legal_services,58.3091478547354
5412OP_Miscellaneous_professional_scientific_and_technical_services,88.41323900273657
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,-0
561_Administrative_and_support_services,17.732907895549108
562_Waste_management_and_remediation_services,-0
61_Educational_services,106.99659464362722
621_Ambulatory_health_care_services,-0
622HO_Hospitals_and_nursing_and_residential_care_facilities,2.972730548477595
624_Social_assistance,-0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,37.72120778135816
713_Amusements_gambling_and_recreation_industries,-0
721_Accommodation,-0
722_Food_services_and_drinking_places,-0
81_Other_services_except_government,506.6031945214913
GFE_Federal_government_enterprises,-0
GFG_Federal_general_government,-0
GSLE_State_and_local_government_enterprises,-0
GSLG_State_and_local_general_government,-0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-18479.481815255873
Used_Scrap_used_and_secondhand_goods,-35455.74980453479
