commodity,import_PCE
111CA_Farms,2638.269711176428
113FF_Forestry_fishing_and_related_activities,742.7892068091271
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,0
213_Support_activities_for_mining,0
22_Utilities,458.319222285659
23_Construction,-0
311FT_Food_and_beverage_and_tobacco_products,18948.40505677014
313TT_Textile_mills_and_textile_product_mills,1820.938389747405
315AL_Apparel_and_leather_and_allied_products,61653.60061087928
321_Wood_products,290.47002814355267
322_Paper_products,1506.4479168059027
323_Printing_and_related_support_activities,39.37844827586207
324_Petroleum_and_coal_products,9720.118851352754
325_Chemical_products,15145.220569442314
326_Plastics_and_rubber_products,1417.5234724600411
327_Nonmetallic_mineral_products,759.3112426035503
331_Primary_metals,225.88178213539038
332_Fabricated_metal_products,667.3562726751957
333_Machinery,1423.690666859419
334_Computer_and_electronic_products,13311.506743806583
335_Electrical_equipment_appliances_and_components,4683.952466484447
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,35463.565905390686
3364OT_Other_transportation_equipment,1531.9943205859952
337_Furniture_and_related_products,3610.495061868544
339_Miscellaneous_manufacturing,15509.547608418115
42_Wholesale_trade,0
441_Motor_vehicle_and_parts_dealers,-0
445_Food_and_beverage_stores,-0
452_General_merchandise_stores,-0
481_Air_transportation,10584.929717233797
482_Rail_transportation,0
483_Water_transportation,0
484_Truck_transportation,0
485_Transit_and_ground_passenger_transportation,-0
486_Pipeline_transportation,-0
487OS_Other_transportation_and_support_activities,0
493_Warehousing_and_storage,-0
4A0_Other_retail,-0
511_Publishing_industries_except_internet_includes_software,1218.2422569190778
512_Motion_picture_and_sound_recording_industries,195.27471739598022
513_Broadcasting_and_telecommunications,40.12780099967846
514_Data_processing_internet_publishing_and_other_information_services,14.724668661821292
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,9.541795488195119
523_Securities_commodity_contracts_and_investments,12.25653112968354
524_Insurance_carriers_and_related_activities,2726.2924899621107
525_Funds_trusts_and_other_financial_vehicles,-0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,-0
5411_Legal_services,223.98127340823967
5412OP_Miscellaneous_professional_scientific_and_technical_services,443.7944975760471
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,-0
561_Administrative_and_support_services,42.98595305832148
562_Waste_management_and_remediation_services,12.193208505236433
61_Educational_services,426.5985443042719
621_Ambulatory_health_care_services,-0
622_Hospitals,1221.812508574214
623_Nursing_and_residential_care_facilities,-0
624_Social_assistance,-0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,44.82774609703655
713_Amusements_gambling_and_recreation_industries,-0
721_Accommodation,-0
722_Food_services_and_drinking_places,-0
81_Other_services_except_government,706.8984272975291
GFGD_Federal_general_government_defense,-0
HS_Housing,-0
ORE_Other_real_estate,-0
