commodity,import_PCE
111CA_Farms,8958.712545429185
113FF_Forestry_fishing_and_related_activities,2255.0798919237322
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,0
213_Support_activities_for_mining,0
22_Utilities,993.0406490142774
23_Construction,-0
311FT_Food_and_beverage_and_tobacco_products,57013.07328815144
313TT_Textile_mills_and_textile_product_mills,9177.933541328319
315AL_Apparel_and_leather_and_allied_products,124381.23953617208
321_Wood_products,565.5340965654555
322_Paper_products,2768.0459564408065
323_Printing_and_related_support_activities,123.25186730648863
324_Petroleum_and_coal_products,17787.54395815986
325_Chemical_products,84606.22987875227
326_Plastics_and_rubber_products,7291.6872913317675
327_Nonmetallic_mineral_products,1895.3184930541856
331_Primary_metals,259.59773804291217
332_Fabricated_metal_products,3125.657281001138
333_Machinery,3122.3926778760933
334_Computer_and_electronic_products,53263.564645039965
335_Electrical_equipment_appliances_and_components,20184.41842653809
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,88181.72919316102
3364OT_Other_transportation_equipment,3764.603032863361
337_Furniture_and_related_products,20444.16549848404
339_Miscellaneous_manufacturing,43843.59624357603
42_Wholesale_trade,0
441_Motor_vehicle_and_parts_dealers,-0
445_Food_and_beverage_stores,-0
452_General_merchandise_stores,-0
481_Air_transportation,23993.103178629775
482_Rail_transportation,0
483_Water_transportation,0
484_Truck_transportation,0
485_Transit_and_ground_passenger_transportation,-0
486_Pipeline_transportation,-0
487OS_Other_transportation_and_support_activities,0
493_Warehousing_and_storage,-0
4A0_Other_retail,-0
511_Publishing_industries_except_internet_includes_software,1532.5838109739086
512_Motion_picture_and_sound_recording_industries,1729.7877100777955
513_Broadcasting_and_telecommunications,74.65806505343484
514_Data_processing_internet_publishing_and_other_information_services,285.2799061862512
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,15.974366085328727
523_Securities_commodity_contracts_and_investments,25.21218896805737
524_Insurance_carriers_and_related_activities,17450.394283418238
525_Funds_trusts_and_other_financial_vehicles,-0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,-0
5411_Legal_services,1167.363648371591
5412OP_Miscellaneous_professional_scientific_and_technical_services,3753.393259872919
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,-0
561_Administrative_and_support_services,134.0120027246637
562_Waste_management_and_remediation_services,53.91307384379525
61_Educational_services,1550.6890590470182
621_Ambulatory_health_care_services,-0
622_Hospitals,4396.56354235567
623_Nursing_and_residential_care_facilities,-0
624_Social_assistance,-0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,595.9623887469788
713_Amusements_gambling_and_recreation_industries,-0
721_Accommodation,-0
722_Food_services_and_drinking_places,-0
81_Other_services_except_government,3401.898479236658
GFGD_Federal_general_government_defense,-0
HS_Housing,-0
ORE_Other_real_estate,-0
