commodity,import_PCE
111CA_Farms,1113.8982620130794
113FF_Forestry_fishing_and_related_activities,237.53188213922843
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,3.20352110944454
213_Support_activities_for_mining,-0
22_Utilities,1954.7304858272719
23_Construction,-0
311FT_Food_and_beverage_and_tobacco_products,10078.667241667847
313TT_Textile_mills_and_textile_product_mills,672.2956685834328
315AL_Apparel_and_leather_and_allied_products,17212.506442815324
321_Wood_products,72.60019180170654
322_Paper_products,519.4961347988888
323_Printing_and_related_support_activities,9.262914005643843
324_Petroleum_and_coal_products,7648.23275261324
325_Chemical_products,3106.9770820407048
326_Plastics_and_rubber_products,564.3611489375178
327_Nonmetallic_mineral_products,203.8915287285675
331_Primary_metals,63.17035581824648
332_Fabricated_metal_products,211.49853880290073
333_Machinery,564.6626675708101
334_Computer_and_electronic_products,2407.111493419136
335_Electrical_equipment_appliances_and_components,1516.8635160808794
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,15282.090340184477
3364OT_Other_transportation_equipment,309.55357397835337
337_Furniture_and_related_products,784.728068101206
339_Miscellaneous_manufacturing,4564.500455511692
42_Wholesale_trade,0
44RT_Retail_trade,-0
481_Air_transportation,2641.001664462584
482_Rail_transportation,21.950829340213787
483_Water_transportation,0
484_Truck_transportation,-0
485_Transit_and_ground_passenger_transportation,-0
486_Pipeline_transportation,-0
487OS_Other_transportation_and_support_activities,-0
493_Warehousing_and_storage,-0
511_Publishing_industries_except_internet_includes_software,347.396229846042
512_Motion_picture_and_sound_recording_industries,20.640941072999123
513_Broadcasting_and_telecommunications,-0
514_Data_processing_internet_publishing_and_other_information_services,-0
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,6.891468477367392
523_Securities_commodity_contracts_and_investments,59.765196973649886
524_Insurance_carriers_and_related_activities,547.8037108491847
525_Funds_trusts_and_other_financial_vehicles,-0
531_Real_estate,-0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,-0
5411_Legal_services,0.38137744821471753
5412OP_Miscellaneous_professional_scientific_and_technical_services,10.037522350220993
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,-0
561_Administrative_and_support_services,0.2235084728017828
562_Waste_management_and_remediation_services,-0
61_Educational_services,0.8640458099328268
621_Ambulatory_health_care_services,-0
622HO_Hospitals_and_nursing_and_residential_care_facilities,-0
624_Social_assistance,-0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,1.608492382157197
713_Amusements_gambling_and_recreation_industries,-0
721_Accommodation,-0
722_Food_services_and_drinking_places,-0
81_Other_services_except_government,77.57458461733964
GFE_Federal_government_enterprises,-0
GFG_Federal_general_government,-0
GSLE_State_and_local_government_enterprises,-0
GSLG_State_and_local_general_government,-0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,-4576.813148249239
Used_Scrap_used_and_secondhand_goods,8755.041082648622
