commodity,import_PCE
111CA_Farms,6134.940619137645
113FF_Forestry_fishing_and_related_activities,1563.0651098120711
211_Oil_and_gas_extraction,0
212_Mining_except_oil_and_gas,0
213_Support_activities_for_mining,0
22_Utilities,1066.6871312902247
23_Construction,-0
311FT_Food_and_beverage_and_tobacco_products,46761.89323843417
313TT_Textile_mills_and_textile_product_mills,7970.734659090908
315AL_Apparel_and_leather_and_allied_products,122523.99914218314
321_Wood_products,629.4375656243437
322_Paper_products,2634.7274607384124
323_Printing_and_related_support_activities,178.61055146679251
324_Petroleum_and_coal_products,36509.42944388535
325_Chemical_products,58875.91763029335
326_Plastics_and_rubber_products,5909.150138065107
327_Nonmetallic_mineral_products,1774.0629650829994
331_Primary_metals,114.59072995725028
332_Fabricated_metal_products,2631.125501855449
333_Machinery,2409.3079087493984
334_Computer_and_electronic_products,47845.5663750926
335_Electrical_equipment_appliances_and_components,17487.754276061096
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,79597.782910979
3364OT_Other_transportation_equipment,3834.539663054712
337_Furniture_and_related_products,12969.001582244418
339_Miscellaneous_manufacturing,31345.011783693295
42_Wholesale_trade,0
441_Motor_vehicle_and_parts_dealers,-0
445_Food_and_beverage_stores,-0
452_General_merchandise_stores,-0
481_Air_transportation,24950.759892266095
482_Rail_transportation,0
483_Water_transportation,0
484_Truck_transportation,0
485_Transit_and_ground_passenger_transportation,-0
486_Pipeline_transportation,-0
487OS_Other_transportation_and_support_activities,0
493_Warehousing_and_storage,-0
4A0_Other_retail,-0
511_Publishing_industries_except_internet_includes_software,1341.2914950010613
512_Motion_picture_and_sound_recording_industries,1127.1332284377459
513_Broadcasting_and_telecommunications,78.07885379392863
514_Data_processing_internet_publishing_and_other_information_services,190.56278951530902
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,14.001340691316205
523_Securities_commodity_contracts_and_investments,27.656532571388748
524_Insurance_carriers_and_related_activities,18040.685033292706
525_Funds_trusts_and_other_financial_vehicles,-0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,-0
5411_Legal_services,738.6037780574856
5412OP_Miscellaneous_professional_scientific_and_technical_services,2927.20876818863
5415_Computer_systems_design_and_related_services,0
55_Management_of_companies_and_enterprises,-0
561_Administrative_and_support_services,83.61054282776621
562_Waste_management_and_remediation_services,32.748926604018145
61_Educational_services,1290.8221831805279
621_Ambulatory_health_care_services,-0
622_Hospitals,2576.946275149048
623_Nursing_and_residential_care_facilities,-0
624_Social_assistance,-0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,463.159993633246
713_Amusements_gambling_and_recreation_industries,-0
721_Accommodation,-0
722_Food_services_and_drinking_places,-0
81_Other_services_except_government,2380.116331449581
GFGD_Federal_general_government_defense,-0
HS_Housing,-0
ORE_Other_real_estate,-0
