industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,26725,536,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,1697,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,4716,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,5442,10,0,168,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,0,0,0,6538,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_Construction,0,0,0,0,0,0,28501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,3,4825,0,0,13,0,0,0,0,0,10,2,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,9,0,3961,0,5,3,0,2,0,0,0,0,0,0,0,3,0,1,1,1,40,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0
331_Primary_metals,0,0,0,0,0,0,21,0,5,12128,37,16,0,14,0,0,0,0,0,0,0,2,0,0,31,1,11,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,48,0
332_Fabricated_metal_products,0,0,0,0,0,0,32,8,2,213,11559,239,17,88,40,83,22,14,0,1,0,0,1,0,2,3,103,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,158,0
333_Machinery,0,0,0,0,0,0,15,0,2,3,121,9047,46,56,123,99,1,3,0,0,0,1,0,0,3,1,91,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,44,0
334_Computer_and_electronic_products,0,0,0,0,0,0,7,0,0,0,19,28,2964,85,26,8,24,2,0,0,0,0,0,0,10,0,143,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,22,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,3,0,3,33,86,71,62,4052,44,0,3,4,0,0,0,0,0,5,0,1,58,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,39,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,17,0,0,0,141,127,19,101,20019,152,7,0,0,1,0,0,0,0,0,1,88,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,200,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,19,0,0,0,62,132,23,10,29,4425,0,1,0,9,0,0,0,0,0,0,71,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,43,0
337_Furniture_and_related_products,0,0,0,0,0,0,1,2,0,0,10,1,16,0,0,0,2307,0,0,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,5,2,0,5,7,2,0,0,0,6,5465,0,18,0,1,1,1,12,38,64,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,24,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44058,0,3,0,0,0,62,0,357,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,6,1,0,13049,3,21,0,0,14,7,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13961,0,0,0,0,2,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0
322_Paper_products,0,0,0,0,0,0,6,0,0,0,2,0,5,0,0,0,0,1,0,3,0,6683,9,0,7,1,21,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,33,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21,770,0,0,0,53,0,0,0,0,0,0,0,2540,0,0,0,0,0,0,0,0,0,0,0,0,22,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,56,0,29,103,0,0,0,3,0,0,0,0,0,0,0,10,0,8022,158,0,42,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,38,0,3,0,0,0,1,0,0,0,0,6,88,0,0,0,0,34,11342,8,237,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,2,0,9,0,1,5,0,0,0,0,1,33,0,13,0,13,0,0,25,2254,29,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,9,0
42_Wholesale_trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,1,1319,0,0,0,0,0,0,0,17991,0,21,0,0,0,0,245,5,0,5,0,0,0,0,0,551,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,23,2658,0,0,0,3,0,0,0,0,33758,65,0,0,103,0,0,4,0,0,0,0,0,0,893,3597,0,0,0,0,0,0
48_Transportation,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,24086,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9613,0,0,0,3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52_Finance_and_insurance,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,5650,0,0,0,0,0,0,0,0,0,0,0,0,0
56_Administrative_and_waste_management_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,1,0,2099,0,0,0,0,0,30,0,0,0,0,0,0
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,127,0,0,1415,0,24,0,96,0,0,0,0,0,0,0
62_Health_care_and_social_assistance,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,0,0,0,6537,0,0,14,0,0,0,0,0,0,0
71_Arts_entertainment_and_recreation,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,9,0,0,2575,0,336,2,0,0,0,0,0,0
721_Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,433,0,0,0,0,0,0,0
722_Food_services_and_drinking_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,31,13,11598,0,0,0,0,0,7,0
81_Other_services_except_government,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,2,0,0,0,0,0,0,257,11252,0,0,0,0,0,0
GFG_Federal_general_government,0,50,0,51,0,0,26,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,547,0,0,8,19,0,0,0,0,24505,0,0,0,0,26
GFE_Federal_government_enterprises,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1763,0,0,0,0
GSLG_State_and_local_general_government,0,34,0,5,0,12,185,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,14,0,0,0,0,0,0,0,2,127,0,0,241,0,279,145,296,87,108,177,5,0,0,13988,0,80,0
GSLE_State_and_local_government_enterprises,0,0,0,0,0,595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,325,0,0,0,149,0,0,0,0,0,0,0,0,0,2,0,0,0,527,0,0
