industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
332_Fabricated_metal_products,0,0,0,0,0,0,65,15,12,377,19915,373,33,119,113,157,48,38,0,3,0,0,8,0,15,19,270,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,197,0
333_Machinery,0,0,0,0,0,0,30,0,8,10,222,14760,67,96,128,140,6,5,0,0,0,3,0,0,18,7,202,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,63,0
334_Computer_and_electronic_products,0,0,0,0,0,0,12,0,2,0,37,53,6832,133,36,53,25,15,0,0,0,0,0,0,20,0,266,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,71,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,7,0,5,42,122,109,140,6480,147,0,6,10,0,0,1,0,0,9,1,4,115,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,26,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,34,0,0,0,317,363,68,135,34662,222,20,0,0,1,0,0,0,0,0,2,212,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,247,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,38,0,0,0,153,285,210,35,57,11907,0,8,0,10,0,0,0,0,0,0,165,0,0,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,61,0
337_Furniture_and_related_products,0,0,0,0,0,0,2,14,3,0,26,2,19,0,3,0,4126,4,0,17,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,9,12,0,29,31,12,0,0,0,28,7352,0,16,0,5,7,5,21,39,131,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,31,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56443,0,1,0,0,0,88,1,724,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,11,4,0,14508,2,30,1,1,35,22,42,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,67,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,17129,0,0,0,0,8,37,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0
322_Paper_products,0,0,0,0,0,0,14,1,0,0,16,0,17,0,0,0,1,7,0,21,0,12186,66,0,24,7,55,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,39,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,7,0,0,3,41,2752,0,0,3,77,0,0,0,0,0,0,0,2813,0,0,0,0,0,0,0,0,0,0,0,0,33,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,114,0,31,117,0,0,0,10,0,0,0,0,0,0,0,7,0,14323,571,0,92,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,64,0,10,0,0,3,8,0,1,0,0,15,99,0,0,2,0,73,17036,58,450,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,3,1,21,0,6,14,1,0,0,0,4,52,0,24,0,17,1,0,56,4234,75,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,8,0
42_Wholesale_trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,4,2015,0,0,0,0,0,0,0,29526,0,33,0,0,0,0,472,10,0,7,0,0,0,0,0,928,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,31,3355,0,0,0,5,0,0,0,0,47116,91,0,0,144,0,0,10,0,0,0,0,0,0,1083,5311,0,0,0,0,0,0
48_Transportation,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,31461,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15088,0,0,0,4832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52_Finance_and_insurance,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,8919,0,0,0,0,0,0,0,0,0,0,0,0,0
56_Administrative_and_waste_management_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,1,0,3986,0,0,0,0,0,43,0,0,0,0,0,0
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,273,0,0,2279,0,29,0,132,1,0,0,0,0,0,0
62_Health_care_and_social_assistance,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,27,0,0,0,10529,0,0,19,0,0,0,0,0,0,0
71_Arts_entertainment_and_recreation,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,24,0,0,3080,0,419,3,0,0,0,0,0,0
721_Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2692,422,0,0,0,0,0,0,0
722_Food_services_and_drinking_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,40,17,15799,0,0,0,0,0,6,0
81_Other_services_except_government,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,4,0,0,0,0,0,0,327,16090,0,0,0,0,0,0
GFG_Federal_general_government,0,156,0,160,0,0,217,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,36,0,0,0,0,0,37,0,0,0,1223,0,0,24,58,0,0,0,0,46802,0,0,0,0,319
GFE_Federal_government_enterprises,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,2794,0,0,0,0
GSLG_State_and_local_general_government,0,46,0,6,0,16,404,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,19,0,0,0,0,0,0,0,3,173,0,0,423,0,381,279,571,119,148,273,7,0,0,21798,0,78,0
GSLE_State_and_local_government_enterprises,0,0,0,0,0,1110,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,585,0,0,0,326,0,0,0,0,0,0,0,0,0,13,0,0,0,897,0,0
