industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,111308,2015,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,4078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,22670,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,42963,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3429,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,31724,58,0,1056,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,843,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,16702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,94,0,0,94936,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
23_Construction,0,0,0,0,0,0,252296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,9,34522,0,0,112,0,0,0,0,0,90,20,0,0,0,0,0,0,0,42,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,24,0,38320,11,99,66,49,48,0,0,0,33,0,27,0,92,0,62,178,91,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
331_Primary_metals,0,0,0,0,0,0,282,0,113,106649,3154,338,0,624,0,0,3,0,0,0,0,21,0,0,644,74,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0
332_Fabricated_metal_products,0,0,0,0,0,0,104,74,112,1794,98496,1218,323,369,591,181,81,120,0,12,0,0,180,0,168,252,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0
333_Machinery,0,0,0,0,0,0,54,0,42,345,1633,101022,500,641,1498,208,44,93,0,0,0,14,0,0,242,112,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0
334_Computer_and_electronic_products,0,0,0,0,0,0,16,0,15,0,528,476,79480,658,208,399,41,263,0,0,0,0,0,0,215,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,7,0,48,378,468,580,521,42282,355,0,46,46,0,22,1,0,0,1,65,62,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,26,0,0,0,897,1224,225,1000,148233,237,135,0,0,43,0,0,0,0,0,63,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,21,0,0,0,419,898,685,178,524,55774,0,76,0,3,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
337_Furniture_and_related_products,0,0,0,0,0,0,13,113,75,0,98,42,55,0,64,0,20632,73,0,46,0,0,0,0,9,55,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,2,24,32,0,120,113,165,0,0,0,48,28400,0,68,0,51,26,0,292,151,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,216062,0,7,0,0,0,427,59,2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,7,0,0,0,0,0,0,0,26,0,43,93,0,45284,100,117,24,5,1332,138,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,0,307,45615,0,1,0,0,37,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
322_Paper_products,0,0,0,0,0,0,13,64,0,0,198,0,258,0,0,0,3,194,0,133,0,54586,271,0,365,472,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,2,0,0,0,67,0,0,0,0,0,0,46,0,4,6,227,20012,0,0,14,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,138,0,104,25,0,0,0,0,0,0,0,0,0,0,0,15,0,93716,7332,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,134,0,112,0,0,282,360,0,12,0,0,263,578,0,0,119,0,1152,117313,672,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,6,19,58,0,267,227,63,65,0,0,42,98,0,156,0,128,23,0,524,41904,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
42_Wholesale_trade,0,380,0,0,0,0,93,0,0,0,154,0,0,0,946,0,0,805,5522,0,0,0,0,0,0,0,188333,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,3855,0,559,140,0,55,0,0,0,0,0,0,0,0,0,6301,0,0,0,0,0,0
