industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,124228,2036,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,3587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,26002,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,110705,0,322,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6849,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,40648,73,0,529,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,689,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,32414,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,116,0,0,173047,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0
23_Construction,0,0,0,0,0,0,332852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,18,37568,0,0,101,0,0,0,0,0,123,26,0,0,0,0,0,0,0,73,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,51,0,44468,30,81,60,54,27,0,0,0,46,0,27,0,178,0,65,172,132,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
331_Primary_metals,0,0,0,0,0,0,797,0,42,101355,2810,332,0,553,0,0,3,0,0,0,0,2,0,0,564,27,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0
332_Fabricated_metal_products,0,0,0,0,0,0,766,91,81,2174,121504,1376,399,231,481,200,119,93,0,12,0,0,142,0,75,324,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0
333_Machinery,0,0,0,0,0,0,306,0,53,245,1541,112356,449,549,886,283,71,66,0,0,0,10,0,0,140,119,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
334_Computer_and_electronic_products,0,0,0,0,0,0,70,0,33,0,429,644,153909,913,82,433,27,420,0,0,0,0,0,0,162,0,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,9463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,9,0,96,304,450,556,598,53604,385,0,35,72,0,1,1,0,0,3,24,90,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,70,0,0,0,906,1210,307,1001,174665,248,153,0,0,24,0,0,0,0,0,173,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,100,0,0,0,572,1073,1407,384,808,82628,0,17,0,9,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,12962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
337_Furniture_and_related_products,0,0,0,0,0,0,67,127,83,0,103,29,49,0,126,0,27670,81,0,41,0,0,0,0,1,61,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,30,31,39,0,140,139,363,0,0,0,76,39639,0,165,0,119,67,0,154,173,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,292319,0,15,0,0,0,484,36,3878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,12,0,0,0,0,0,0,0,44,0,18,106,0,54135,143,102,7,1,1661,133,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,39,0,257,58965,0,2,0,0,26,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
322_Paper_products,0,0,0,0,0,0,29,75,0,0,195,0,250,0,0,0,16,262,0,121,0,79378,369,0,577,819,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,5,0,0,0,70,0,0,0,0,0,0,89,0,8,23,315,32855,0,0,25,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,11958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,642,0,90,186,0,0,0,0,0,0,0,0,0,0,0,12,0,173426,10671,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,144,0,101,0,0,172,445,0,1,0,0,409,312,0,0,101,0,751,168488,902,2232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,5130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,18,36,45,0,338,350,26,137,0,0,28,158,0,167,0,321,14,0,337,58862,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
42_Wholesale_trade,0,797,0,0,0,0,346,0,0,0,320,0,0,0,222,0,0,338,5924,0,0,0,0,0,0,0,262650,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,6222,0,773,274,0,76,0,0,0,0,0,0,0,0,0,10548,0,0,0,0,0,0
