industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFGD_Federal_general_government_defense,GFGN_Federal_general_government_nondefense,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,257065,4476,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,33,44942,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,160706,191,10706,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18425,167,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,1,59161,3195,0,2747,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,1272,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,295,69,39743,0,985,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,28,0,0,348669,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,0,0
23_Construction,0,0,0,0,0,0,1157125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,86,103032,104,0,402,0,0,0,0,0,838,27,0,12,0,85,0,0,183,274,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
327_Nonmetallic_mineral_products,0,0,4,589,4,0,250,99,98314,0,110,111,29,69,27,19,74,49,0,121,0,93,0,293,246,418,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
331_Primary_metals,0,0,0,0,0,0,81,0,195,175291,1636,335,111,491,0,0,15,0,0,125,0,57,0,990,750,126,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0
332_Fabricated_metal_products,0,0,0,0,0,0,808,306,187,4392,240090,3584,717,363,1030,322,320,461,0,17,0,37,89,13,650,1790,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,1562,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,714,0
333_Machinery,0,0,0,0,0,0,454,0,277,533,3361,243734,1192,1940,1595,670,106,599,186,0,0,45,0,2,742,582,4580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,558,4346,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,232,0
334_Computer_and_electronic_products,0,0,0,0,0,0,26,22,133,452,273,2385,351896,1204,385,3557,242,963,0,130,0,129,34,0,1005,377,3901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,29750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,25,0,112,729,802,1343,1577,93575,388,66,25,122,0,0,0,53,0,26,298,82,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,278,0,25,417,1242,2312,1882,388,487697,252,65,47,0,26,0,0,0,0,241,589,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,9792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,259,0,0,8,740,3002,654,802,373,148288,0,0,0,49,0,0,0,0,271,281,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,20964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
337_Furniture_and_related_products,0,0,0,0,0,0,162,540,266,14,379,218,0,66,74,0,74353,184,0,54,4,113,2,0,57,371,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
