industry,Total_Industry_Output
111CA_Farms,130024
113FF_Forestry_fishing_and_related_activities,26202
211_Oil_and_gas_extraction,118135
212_Mining_except_oil_and_gas,42269
213_Support_activities_for_mining,32776
22_Utilities,178865
23_Construction,332916
311FT_Food_and_beverage_and_tobacco_products,298011
313TT_Textile_mills_and_textile_product_mills,56657
315AL_Apparel_and_leather_and_allied_products,59905
321_Wood_products,38261
322_Paper_products,82822
323_Printing_and_related_support_activities,45703
324_Petroleum_and_coal_products,187010
325_Chemical_products,179290
326_Plastics_and_rubber_products,62024
327_Nonmetallic_mineral_products,46450
331_Primary_metals,107981
332_Fabricated_metal_products,129951
333_Machinery,121302
334_Computer_and_electronic_products,169302
335_Electrical_equipment_appliances_and_components,57566
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,185676
3364OT_Other_transportation_equipment,100572
337_Furniture_and_related_products,28716
339_Miscellaneous_manufacturing,44520
42_Wholesale_trade,288824
44RT_Retail_trade,361569
48_Transportation,222492
493_Warehousing_and_storage,9077
51_Information,260813
52_Finance_and_insurance,356526
531_Real_estate,459136
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,47908
54_Professional_scientific_and_technical_services,207861
55_Management_of_companies_and_enterprises,75363
56_Administrative_and_waste_management_services,79567
61_Educational_services,42427
62_Health_care_and_social_assistance,256822
71_Arts_entertainment_and_recreation,38533
721_Accommodation,38929
722_Food_services_and_drinking_places,132144
81_Other_services_except_government,127350
GFE_Federal_government_enterprises,34720
GFG_Federal_general_government,295870
GSLE_State_and_local_government_enterprises,50553
GSLG_State_and_local_general_government,381596
