industry,T008_Total_Industry_Output
111CA_Farms,152608
113FF_Forestry_fishing_and_related_activities,26136
211_Oil_and_gas_extraction,130048
212_Mining_except_oil_and_gas,49863
213_Support_activities_for_mining,46292
22_Utilities,148070
23_Construction,305771
311FT_Food_and_beverage_and_tobacco_products,279505
313TT_Textile_mills_and_textile_product_mills,54069
315AL_Apparel_and_leather_and_allied_products,55318
321_Wood_products,36595
322_Paper_products,76778
323_Printing_and_related_support_activities,37963
324_Petroleum_and_coal_products,219420
325_Chemical_products,173071
326_Plastics_and_rubber_products,54822
327_Nonmetallic_mineral_products,45596
331_Primary_metals,139519
332_Fabricated_metal_products,137249
333_Machinery,147002
334_Computer_and_electronic_products,139855
335_Electrical_equipment_appliances_and_components,56653
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,152927
3364OT_Other_transportation_equipment,96337
337_Furniture_and_related_products,25774
339_Miscellaneous_manufacturing,42285
42_Wholesale_trade,308177
44RT_Retail_trade,340363
48_Transportation,207747
493_Warehousing_and_storage,8628
51_Information,204929
52_Finance_and_insurance,239241
531_Real_estate,386079
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,38939
54_Professional_scientific_and_technical_services,167599
55_Management_of_companies_and_enterprises,64269
56_Administrative_and_waste_management_services,65362
61_Educational_services,35041
62_Health_care_and_social_assistance,204315
71_Arts_entertainment_and_recreation,32890
721_Accommodation,33572
722_Food_services_and_drinking_places,114492
81_Other_services_except_government,107738
GFE_Federal_government_enterprises,32126
GFG_Federal_general_government,247899
GSLE_State_and_local_government_enterprises,38221
GSLG_State_and_local_general_government,326364
