industry,Total_Industry_Output
111CA_Farms,94384
113FF_Forestry_fishing_and_related_activities,13780
211_Oil_and_gas_extraction,31801
212_Mining_except_oil_and_gas,27791
213_Support_activities_for_mining,8012
22_Utilities,63322
23_Construction,160754
311FT_Food_and_beverage_and_tobacco_products,178098
313TT_Textile_mills_and_textile_product_mills,34507
315AL_Apparel_and_leather_and_allied_products,35729
321_Wood_products,22569
322_Paper_products,41483
323_Printing_and_related_support_activities,18576
324_Petroleum_and_coal_products,66495
325_Chemical_products,87909
326_Plastics_and_rubber_products,28015
327_Nonmetallic_mineral_products,25833
331_Primary_metals,77116
332_Fabricated_metal_products,72694
333_Machinery,77708
334_Computer_and_electronic_products,54355
335_Electrical_equipment_appliances_and_components,31079
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,86956
3364OT_Other_transportation_equipment,50581
337_Furniture_and_related_products,13046
339_Miscellaneous_manufacturing,22630
42_Wholesale_trade,136074
44RT_Retail_trade,166679
48_Transportation,109333
493_Warehousing_and_storage,4417
51_Information,102467
52_Finance_and_insurance,134311
531_Real_estate,195016
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,17666
54_Professional_scientific_and_technical_services,73786
55_Management_of_companies_and_enterprises,33012
56_Administrative_and_waste_management_services,27291
61_Educational_services,19506
62_Health_care_and_social_assistance,90006
71_Arts_entertainment_and_recreation,16795
721_Accommodation,15818
722_Food_services_and_drinking_places,60541
81_Other_services_except_government,61399
GFE_Federal_government_enterprises,14913
GFG_Federal_general_government,142301
GSLE_State_and_local_government_enterprises,20284
GSLG_State_and_local_general_government,188483
