industry,Total_Industry_Output
111CA_Farms,99490
113FF_Forestry_fishing_and_related_activities,20100
211_Oil_and_gas_extraction,42317
212_Mining_except_oil_and_gas,29716
213_Support_activities_for_mining,12514
22_Utilities,85861
23_Construction,210702
311FT_Food_and_beverage_and_tobacco_products,196482
313TT_Textile_mills_and_textile_product_mills,46207
315AL_Apparel_and_leather_and_allied_products,43720
321_Wood_products,31767
322_Paper_products,52095
323_Printing_and_related_support_activities,24354
324_Petroleum_and_coal_products,95901
325_Chemical_products,116069
326_Plastics_and_rubber_products,40551
327_Nonmetallic_mineral_products,33745
331_Primary_metals,97835
332_Fabricated_metal_products,92676
333_Machinery,95091
334_Computer_and_electronic_products,76073
335_Electrical_equipment_appliances_and_components,41266
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,137306
3364OT_Other_transportation_equipment,57086
337_Furniture_and_related_products,18471
339_Miscellaneous_manufacturing,28634
42_Wholesale_trade,189881
44RT_Retail_trade,228664
48_Transportation,140172
493_Warehousing_and_storage,5657
51_Information,127767
52_Finance_and_insurance,163115
531_Real_estate,242086
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,20800
54_Professional_scientific_and_technical_services,91344
55_Management_of_companies_and_enterprises,42087
56_Administrative_and_waste_management_services,37096
61_Educational_services,22954
62_Health_care_and_social_assistance,117791
71_Arts_entertainment_and_recreation,21004
721_Accommodation,19539
722_Food_services_and_drinking_places,73784
81_Other_services_except_government,78112
GFE_Federal_government_enterprises,19540
GFG_Federal_general_government,160778
GSLE_State_and_local_government_enterprises,23141
GSLG_State_and_local_general_government,221390
