industry,Total_Industry_Output
111CA_Farms,146978
113FF_Forestry_fishing_and_related_activities,24186
211_Oil_and_gas_extraction,124345
212_Mining_except_oil_and_gas,42311
213_Support_activities_for_mining,48800
22_Utilities,160765
23_Construction,295765
311FT_Food_and_beverage_and_tobacco_products,290009
313TT_Textile_mills_and_textile_product_mills,50416
315AL_Apparel_and_leather_and_allied_products,57737
321_Wood_products,32769
322_Paper_products,78540
323_Printing_and_related_support_activities,42556
324_Petroleum_and_coal_products,205114
325_Chemical_products,162576
326_Plastics_and_rubber_products,56589
327_Nonmetallic_mineral_products,43065
331_Primary_metals,104702
332_Fabricated_metal_products,131128
333_Machinery,132899
334_Computer_and_electronic_products,155861
335_Electrical_equipment_appliances_and_components,54147
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,148027
3364OT_Other_transportation_equipment,94420
337_Furniture_and_related_products,25832
339_Miscellaneous_manufacturing,44391
42_Wholesale_trade,288014
44RT_Retail_trade,338408
48_Transportation,210053
493_Warehousing_and_storage,8273
51_Information,233481
52_Finance_and_insurance,280733
531_Real_estate,418669
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,43006
54_Professional_scientific_and_technical_services,185264
55_Management_of_companies_and_enterprises,67070
56_Administrative_and_waste_management_services,69931
61_Educational_services,38833
62_Health_care_and_social_assistance,226742
71_Arts_entertainment_and_recreation,35029
721_Accommodation,35749
722_Food_services_and_drinking_places,121987
81_Other_services_except_government,112966
GFE_Federal_government_enterprises,33173
GFG_Federal_general_government,273357
GSLE_State_and_local_government_enterprises,44707
GSLG_State_and_local_general_government,355647
