industry,T008_Total_Industry_Output
111CA_Farms,51782
113FF_Forestry_fishing_and_related_activities,7723
211_Oil_and_gas_extraction,14230
212_Mining_except_oil_and_gas,12643
213_Support_activities_for_mining,3024
22_Utilities,33014
23_Construction,108462
311FT_Food_and_beverage_and_tobacco_products,106024
313TT_Textile_mills_and_textile_product_mills,24467
315AL_Apparel_and_leather_and_allied_products,29499
321_Wood_products,13225
322_Paper_products,25143
323_Printing_and_related_support_activities,12254
324_Petroleum_and_coal_products,23952
325_Chemical_products,47527
326_Plastics_and_rubber_products,15781
327_Nonmetallic_mineral_products,16128
331_Primary_metals,49333
332_Fabricated_metal_products,45686
333_Machinery,45552
334_Computer_and_electronic_products,39811
335_Electrical_equipment_appliances_and_components,23057
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,57542
3364OT_Other_transportation_equipment,35339
337_Furniture_and_related_products,9130
339_Miscellaneous_manufacturing,14876
42_Wholesale_trade,83723
44RT_Retail_trade,118276
48_Transportation,71893
493_Warehousing_and_storage,2961
51_Information,62363
52_Finance_and_insurance,81082
531_Real_estate,123252
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,10813
54_Professional_scientific_and_technical_services,46198
55_Management_of_companies_and_enterprises,21321
56_Administrative_and_waste_management_services,16478
61_Educational_services,12828
62_Health_care_and_social_assistance,48730
71_Arts_entertainment_and_recreation,10123
721_Accommodation,10283
722_Food_services_and_drinking_places,37497
81_Other_services_except_government,43930
GFE_Federal_government_enterprises,9872
GFG_Federal_general_government,107743
GSLE_State_and_local_government_enterprises,12761
GSLG_State_and_local_general_government,105649
