industry,T008_Total_Industry_Output
111CA_Farms,191897
113FF_Forestry_fishing_and_related_activities,40788
211_Oil_and_gas_extraction,72273
212_Mining_except_oil_and_gas,54857
213_Support_activities_for_mining,15045
22_Utilities,243995
23_Construction,613725
311FT_Food_and_beverage_and_tobacco_products,491014
313TT_Textile_mills_and_textile_product_mills,86226
315AL_Apparel_and_leather_and_allied_products,82914
321_Wood_products,81164
322_Paper_products,166032
323_Printing_and_related_support_activities,92622
324_Petroleum_and_coal_products,149988
325_Chemical_products,380615
326_Plastics_and_rubber_products,145980
327_Nonmetallic_mineral_products,75675
331_Primary_metals,163136
332_Fabricated_metal_products,219311
333_Machinery,243943
334_Computer_and_electronic_products,386530
335_Electrical_equipment_appliances_and_components,102913
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,391430
3364OT_Other_transportation_equipment,128432
337_Furniture_and_related_products,55019
339_Miscellaneous_manufacturing,98269
42_Wholesale_trade,690848
44RT_Retail_trade,786192
48_Transportation,426539
493_Warehousing_and_storage,22468
51_Information,598644
52_Finance_and_insurance,838611
531_Real_estate,1113166
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,124940
54_Professional_scientific_and_technical_services,627710
55_Management_of_companies_and_enterprises,168352
56_Administrative_and_waste_management_services,283944
61_Educational_services,100747
62_Health_care_and_social_assistance,741005
71_Arts_entertainment_and_recreation,108666
721_Accommodation,101502
722_Food_services_and_drinking_places,276037
81_Other_services_except_government,321710
GFE_Federal_government_enterprises,70832
GFG_Federal_general_government,456198
GSLE_State_and_local_government_enterprises,116839
GSLG_State_and_local_general_government,904501
