industry,T008_Total_Industry_Output
111CA_Farms,49499
113FF_Forestry_fishing_and_related_activities,7703
211_Oil_and_gas_extraction,13424
212_Mining_except_oil_and_gas,10624
213_Support_activities_for_mining,3040
22_Utilities,30486
23_Construction,105354
311FT_Food_and_beverage_and_tobacco_products,100694
313TT_Textile_mills_and_textile_product_mills,25059
315AL_Apparel_and_leather_and_allied_products,30174
321_Wood_products,13108
322_Paper_products,24679
323_Printing_and_related_support_activities,11798
324_Petroleum_and_coal_products,23876
325_Chemical_products,46758
326_Plastics_and_rubber_products,15752
327_Nonmetallic_mineral_products,16164
331_Primary_metals,51051
332_Fabricated_metal_products,47484
333_Machinery,45033
334_Computer_and_electronic_products,40201
335_Electrical_equipment_appliances_and_components,23009
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,66125
3364OT_Other_transportation_equipment,37086
337_Furniture_and_related_products,9326
339_Miscellaneous_manufacturing,14879
42_Wholesale_trade,78502
44RT_Retail_trade,112004
48_Transportation,67372
493_Warehousing_and_storage,2808
51_Information,58128
52_Finance_and_insurance,74108
531_Real_estate,114198
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,9626
54_Professional_scientific_and_technical_services,41780
55_Management_of_companies_and_enterprises,20687
56_Administrative_and_waste_management_services,15108
61_Educational_services,11475
62_Health_care_and_social_assistance,43312
71_Arts_entertainment_and_recreation,9283
721_Accommodation,9466
722_Food_services_and_drinking_places,33460
81_Other_services_except_government,41711
GFE_Federal_government_enterprises,9549
GFG_Federal_general_government,105619
GSLE_State_and_local_government_enterprises,11619
GSLG_State_and_local_general_government,92702
