industry,Total_Industry_Output
111CA_Farms,263177
113FF_Forestry_fishing_and_related_activities,45377
211_Oil_and_gas_extraction,191027
212_Mining_except_oil_and_gas,67311
213_Support_activities_for_mining,41728
22_Utilities,351750
23_Construction,1158060
311FT_Food_and_beverage_and_tobacco_products,630000
313TT_Textile_mills_and_textile_product_mills,73717
315AL_Apparel_and_leather_and_allied_products,39188
321_Wood_products,106101
322_Paper_products,152972
323_Printing_and_related_support_activities,96289
324_Petroleum_and_coal_products,324962
325_Chemical_products,546681
326_Plastics_and_rubber_products,182974
327_Nonmetallic_mineral_products,102389
331_Primary_metals,181897
332_Fabricated_metal_products,260268
333_Machinery,265758
334_Computer_and_electronic_products,398171
335_Electrical_equipment_appliances_and_components,102449
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,507486
3364OT_Other_transportation_equipment,176874
337_Furniture_and_related_products,78380
339_Miscellaneous_manufacturing,133982
42_Wholesale_trade,1019313
44RT_Retail_trade,1190550
48_Transportation,642662
493_Warehousing_and_storage,49688
51_Information,1084594
52_Finance_and_insurance,1613256
531_Real_estate,2022143
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,230954
54_Professional_scientific_and_technical_services,1247571
55_Management_of_companies_and_enterprises,320801
56_Administrative_and_waste_management_services,531915
61_Educational_services,185313
62_Health_care_and_social_assistance,1297489
71_Arts_entertainment_and_recreation,191882
721_Accommodation,163140
722_Food_services_and_drinking_places,452160
81_Other_services_except_government,487601
GFE_Federal_government_enterprises,87641
GFG_Federal_general_government,718373
GSLE_State_and_local_government_enterprises,182398
GSLG_State_and_local_general_government,1490491
